"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;AUS;Australian Capital Territory;;;149.1;-35.3;6;
2;AUS;Australian Capital Territory;Belconnen;;149.0833333;-35.2166667;6;
2;AUS;Australian Capital Territory;Canberra;;149.22;-35.28;6;
2;AUS;Australian Capital Territory;Duntroon;;149.1666667;-35.3;6;
2;AUS;Australian Capital Territory;Fyshwick;;149.1666667;-35.3333333;6;
2;AUS;Australian Capital Territory;Gibraltar;;148.9833333;-35.45;6;
2;AUS;Australian Capital Territory;Ginninderra;;149.0833333;-35.2;6;
2;AUS;Australian Capital Territory;Gudgenby;;148.9833333;-35.75;6;
2;AUS;Australian Capital Territory;Hall;;149.0666667;-35.1666667;6;
2;AUS;Australian Capital Territory;Harman;;149.2;-35.35;6;
2;AUS;Australian Capital Territory;Jervis Bay;;150.7;-35.1333333;6;
2;AUS;Australian Capital Territory;Majura;;149.2;-35.2666667;6;
2;AUS;Australian Capital Territory;Molonglo;;149.1833333;-35.3333333;6;
2;AUS;Australian Capital Territory;Tharwa;;149.0666667;-35.5166667;6;
2;AUS;Australian Capital Territory;Tuggeranong;;149.15;-35.4333333;6;
2;AUS;Australian Capital Territory;Weetangerra;;149.05;-35.25;6;
2;AUS;Australian Capital Territory;Weston Creek;;149.05;-35.3333333;6;
