"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;AUS;New South Wales;;;145.9;-32.1;6;
2;AUS;New South Wales;Abbotsford;;151.1333333;-33.85;6;
2;AUS;New South Wales;Abercrombie;;149.3166667;-33.95;6;
2;AUS;New South Wales;Aberdare;;151.3666667;-32.8333333;6;
2;AUS;New South Wales;Aberdeen;;150.9;-32.1666667;6;
2;AUS;New South Wales;Aberfoyle;;152.0166667;-30.2666667;6;
2;AUS;New South Wales;Aberglasslyn;;151.5333333;-32.7;6;
2;AUS;New South Wales;Abermain;;151.4333333;-32.8166667;6;
2;AUS;New South Wales;Abernethy;;151.4;-32.9;6;
2;AUS;New South Wales;Abington Creek;;151.1833333;-30.2833333;6;
2;AUS;New South Wales;Abington;;151.1833333;-30.2833333;6;
2;AUS;New South Wales;Acacia Creek;;152.3166667;-28.3833333;6;
2;AUS;New South Wales;Adaminaby;;148.7166667;-36.05;6;
2;AUS;New South Wales;Adelong;;148.05;-35.3166667;6;
2;AUS;New South Wales;Adjungbilly;;148.3833333;-35.1;6;
2;AUS;New South Wales;Afterlee;;152.8166667;-28.5833333;6;
2;AUS;New South Wales;Alagala;;147.7;-32.4;6;
2;AUS;New South Wales;Albert;;147.5;-32.35;6;
2;AUS;New South Wales;Albion Park;;150.7833333;-34.5666667;6;
2;AUS;New South Wales;Albury;;146.9166667;-36.0833333;6;
2;AUS;New South Wales;Aldavilla;;152.7666667;-31.0833333;6;
2;AUS;New South Wales;Alectown;;148.25;-32.9333333;6;
2;AUS;New South Wales;Alfred Town;;147.5166667;-35.1666667;6;
2;AUS;New South Wales;Algalah;;147.7;-32.4;6;
2;AUS;New South Wales;Alice;;152.5833333;-29.05;6;
2;AUS;New South Wales;Allandale;;149.7;-33.1666667;6;
2;AUS;New South Wales;Alleena;;147.1333333;-34.0833333;6;
2;AUS;New South Wales;Allworth;;151.95;-32.55;6;
2;AUS;New South Wales;Alpine;;150.5166667;-34.4166667;6;
2;AUS;New South Wales;Alston;;148.9833333;-33.9833333;6;
2;AUS;New South Wales;Alstonville;;153.4333333;-28.8333333;6;
2;AUS;New South Wales;Alumny Creek;;152.95;-29.65;6;
2;AUS;New South Wales;Alumy Creek;;152.95;-29.65;6;
2;AUS;New South Wales;Amaroo;;148.9333333;-33.1833333;6;
2;AUS;New South Wales;Amosfield;;152.0666667;-28.65;6;
2;AUS;New South Wales;Ando;;149.25;-36.7166667;6;
2;AUS;New South Wales;Angledale;;149.8833333;-36.6166667;6;
2;AUS;New South Wales;Angledool;;147.9333333;-29.1166667;6;
2;AUS;New South Wales;Anna Bay;;152.0666667;-32.7666667;6;
2;AUS;New South Wales;Annalera;;143.9833333;-31.2833333;6;
2;AUS;New South Wales;Annandale;;151.1666667;-33.8833333;6;
2;AUS;New South Wales;Annelera;;143.9833333;-31.2833333;6;
2;AUS;New South Wales;Appin;;150.7833333;-34.2;6;
2;AUS;New South Wales;Apple Tree Flat;;149.7;-32.6833333;6;
2;AUS;New South Wales;Appleby;;150.85;-30.9666667;6;
2;AUS;New South Wales;Applecross;;115.8333333;-32.0166667;6;
2;AUS;New South Wales;Apsley;;148.9833333;-32.6;6;
2;AUS;New South Wales;Arable;;149.0333333;-36.35;6;
2;AUS;New South Wales;Arajoel;;146.8833333;-35.0333333;6;
2;AUS;New South Wales;Arakoon;;153.0666667;-30.9;6;
2;AUS;New South Wales;Araluen West;;149.8;-35.6166667;6;
2;AUS;New South Wales;Araluen;;149.8;-35.6166667;6;
2;AUS;New South Wales;Arcadia;;151.0333333;-33.6166667;6;
2;AUS;New South Wales;Ardglen;;150.7833333;-31.75;6;
2;AUS;New South Wales;Arding;;151.55;-30.5666667;6;
2;AUS;New South Wales;Ardlethan;;146.9;-34.35;6;
2;AUS;New South Wales;Argalong;;148.4333333;-35.3;6;
2;AUS;New South Wales;Argents Hill;;152.75;-30.6166667;6;
2;AUS;New South Wales;Argoon;;145.7;-34.9166667;6;
2;AUS;New South Wales;Ariah Park;;147.2166667;-34.35;6;
2;AUS;New South Wales;Armatree;;148.4666667;-31.4333333;6;
2;AUS;New South Wales;Armidale;;151.65;-30.5166667;6;
2;AUS;New South Wales;Artarman;;151.1833333;-33.8166667;6;
2;AUS;New South Wales;Artarmon;;151.1833333;-33.8166667;6;
2;AUS;New South Wales;Arthur;;149.3333333;-33.8166667;6;
2;AUS;New South Wales;Arthurs Seat;;151.0666667;-29.4;6;
2;AUS;New South Wales;Arthurville;;148.75;-32.5666667;6;
2;AUS;New South Wales;Ashbridge;;146.9666667;-34.6666667;6;
2;AUS;New South Wales;Ashby;;153.1833333;-29.4333333;6;
2;AUS;New South Wales;Ashfield;;151.1166667;-33.8833333;6;
2;AUS;New South Wales;Ashford;;151.1;-29.3333333;6;
2;AUS;New South Wales;Ashley;;149.8166667;-29.3166667;6;
2;AUS;New South Wales;Asquith;;151.1;-33.6833333;6;
2;AUS;New South Wales;Athol Glen;;153.0333333;-30.0333333;6;
2;AUS;New South Wales;Athol;;149.3;-33.55;6;
2;AUS;New South Wales;Atholwood;;151.05;-29.0166667;6;
2;AUS;New South Wales;Attunga;;150.8333333;-30.9333333;6;
2;AUS;New South Wales;Auburn Vale;;151.0333333;-29.8333333;6;
2;AUS;New South Wales;Auburn;;151.0333333;-33.85;6;
2;AUS;New South Wales;Austinmer;;150.9166667;-34.3;6;
2;AUS;New South Wales;Austral Eden;;152.9166667;-31.0333333;6;
2;AUS;New South Wales;Avalon;;151.3333333;-33.6333333;6;
2;AUS;New South Wales;Avenel;;148.7666667;-33.4166667;6;
2;AUS;New South Wales;Avisford;;149.4833333;-32.75;6;
2;AUS;New South Wales;Avoca Beach;;151.4333333;-33.4666667;6;
2;AUS;New South Wales;Avon Dam;;150.6333333;-34.35;6;
2;AUS;New South Wales;Awaba;;151.55;-33.0166667;6;
2;AUS;New South Wales;Aylmerton;;150.5166667;-34.4166667;6;
2;AUS;New South Wales;Baan Baa;;149.9333333;-30.6;6;
2;AUS;New South Wales;Backmede;;153.0166667;-28.75;6;
2;AUS;New South Wales;Backnede;;153.0166667;-28.75;6;
2;AUS;New South Wales;Backwater;;151.8833333;-30.0666667;6;
2;AUS;New South Wales;Badjerribong;;147.7;-33.35;6;
2;AUS;New South Wales;Baerami Creek;;150.4666667;-32.5;6;
2;AUS;New South Wales;Baerami;;150.4833333;-32.4;6;
2;AUS;New South Wales;Bagnoo;;152.5333333;-31.4666667;6;
2;AUS;New South Wales;Bago;;147.9666667;-35.5666667;6;
2;AUS;New South Wales;Bagotville;;153.4166667;-28.9833333;6;
2;AUS;New South Wales;Bakers Creek;;151.0166667;-30.2666667;6;
2;AUS;New South Wales;Bakers Swamp;;148.9333333;-32.7666667;6;
2;AUS;New South Wales;Bald Hill;;146.8333333;-34.4333333;6;
2;AUS;New South Wales;Bald Hills;;149.1;-36.7;6;
2;AUS;New South Wales;Baldersleigh;;151.4333333;-30.2666667;6;
2;AUS;New South Wales;Baldry;;148.5;-32.8666667;6;
2;AUS;New South Wales;Baldwin;;150.6;-30.8166667;6;
2;AUS;New South Wales;Balgowlah;;151.2666667;-33.8;6;
2;AUS;New South Wales;Balgownie;;150.9;-34.4;6;
2;AUS;New South Wales;Balladoran;;148.6666667;-31.8666667;6;
2;AUS;New South Wales;Balldale;;146.5166667;-35.85;6;
2;AUS;New South Wales;Ballengarra;;152.75;-31.3166667;6;
2;AUS;New South Wales;Ballimore;;148.9;-32.2;6;
2;AUS;New South Wales;Ballina;;153.5666667;-28.8666667;6;
2;AUS;New South Wales;Balmain;;151.1833333;-33.8666667;6;
2;AUS;New South Wales;Balmoral;;150.5166667;-34.2833333;6;
2;AUS;New South Wales;Balranald;;143.5666667;-34.6333333;6;
2;AUS;New South Wales;Bamarong;;150.5333333;-34.9;6;
2;AUS;New South Wales;Bandon;;148.3;-33.5;6;
2;AUS;New South Wales;Bangalow;;153.5166667;-28.7;6;
2;AUS;New South Wales;Bangaroo;;148.6333333;-33.6166667;6;
2;AUS;New South Wales;Bankstown;;151.0333333;-33.9166667;6;
2;AUS;New South Wales;Bannaby;;149.9833333;-34.45;6;
2;AUS;New South Wales;Bannister;;149.4833333;-34.6;6;
2;AUS;New South Wales;Bannockburn;;151.0333333;-29.6166667;6;
2;AUS;New South Wales;Baradine;;149.0666667;-30.9333333;6;
2;AUS;New South Wales;Baratta;;144.5333333;-35.2833333;6;
2;AUS;New South Wales;Barellan;;146.5833333;-34.2833333;6;
2;AUS;New South Wales;Bargo;;150.5833333;-34.3;6;
2;AUS;New South Wales;Barham;;144.1333333;-35.6333333;6;
2;AUS;New South Wales;Barkers Lodge;;150.55;-34.15;6;
2;AUS;New South Wales;Barkers Vale;;153.1166667;-28.5333333;6;
2;AUS;New South Wales;Barmedman;;147.3833333;-34.15;6;
2;AUS;New South Wales;Barnsley;;151.5833333;-32.9333333;6;
2;AUS;New South Wales;Baroma;;150.3166667;-29.1333333;6;
2;AUS;New South Wales;Barooga;;145.7;-35.9166667;6;
2;AUS;New South Wales;Barraba;;150.6;-30.3833333;6;
2;AUS;New South Wales;Barraganyatti;;152.9333333;-30.85;6;
2;AUS;New South Wales;Barrallier;;150.0666667;-34.3166667;6;
2;AUS;New South Wales;Barrengarry;;150.5166667;-34.6833333;6;
2;AUS;New South Wales;Barrington;;151.9;-31.9666667;6;
2;AUS;New South Wales;Barringun;;145.7166667;-29.0166667;6;
2;AUS;New South Wales;Barry;;151.3333333;-31.5833333;6;
2;AUS;New South Wales;Baryulgil;;152.6;-29.2166667;6;
2;AUS;New South Wales;Bass Hill;;151;-33.9666667;6;
2;AUS;New South Wales;Bass Hills;;151;-33.9666667;6;
2;AUS;New South Wales;Bateman;;150.1833333;-35.7166667;6;
2;AUS;New South Wales;Batemans Bay;;150.1833333;-35.7166667;6;
2;AUS;New South Wales;Batemans;;150.1833333;-35.7166667;6;
2;AUS;New South Wales;Bathurst;;149.5666667;-33.4166667;6;
2;AUS;New South Wales;Batlow;;148.1666667;-35.5166667;6;
2;AUS;New South Wales;Baulkham Hills;;151;-33.75;6;
2;AUS;New South Wales;Baw Baw;;149.6666667;-34.75;6;
2;AUS;New South Wales;Bay View;;151.3;-33.6666667;6;
2;AUS;New South Wales;Beaconsfield;;149.75;-33.8333333;6;
2;AUS;New South Wales;Beanbri;;148.4166667;-29.95;6;
2;AUS;New South Wales;Bear Hill;;152.1;-30.0333333;6;
2;AUS;New South Wales;Bearbung;;148.8666667;-31.6333333;6;
2;AUS;New South Wales;Beaumont;;150.5666667;-34.7833333;6;
2;AUS;New South Wales;Beckom;;146.9666667;-34.3333333;6;
2;AUS;New South Wales;Bective;;150.7333333;-30.9833333;6;
2;AUS;New South Wales;Bedgerebong;;147.7;-33.35;6;
2;AUS;New South Wales;Beechwood;;152.6833333;-31.3666667;6;
2;AUS;New South Wales;Beelbangera;;146.1;-34.2666667;6;
2;AUS;New South Wales;Beemunnel;;147.85;-31.6666667;6;
2;AUS;New South Wales;Bega;;149.8333333;-36.6666667;6;
2;AUS;New South Wales;Beggan Beggan;;148.2666667;-34.6833333;6;
2;AUS;New South Wales;Belar Creek;;149.1833333;-31.3833333;6;
2;AUS;New South Wales;Belaringar;;147.5833333;-31.7833333;6;
2;AUS;New South Wales;Belbora;;152.1833333;-32.0333333;6;
2;AUS;New South Wales;Belford;;151.2833333;-32.6666667;6;
2;AUS;New South Wales;Belgravia;;149.05;-33.1166667;6;
2;AUS;New South Wales;Bell;;150.2;-33.5166667;6;
2;AUS;New South Wales;Bellambi;;150.9166667;-34.3666667;6;
2;AUS;New South Wales;Bellangry;;152.6333333;-31.3666667;6;
2;AUS;New South Wales;Bellarwi;;147.2;-34.1;6;
2;AUS;New South Wales;Bellata;;149.7833333;-29.9166667;6;
