"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;AUS;Northern Territory;;;133.8;-19;6;
2;AUS;Northern Territory;Adelaide River;;131.1;-13.25;6;
2;AUS;Northern Territory;Alice Springs;;133.8833333;-23.7;6;
2;AUS;Northern Territory;Alligator Heads;;131.5833333;-12.4833333;6;
2;AUS;Northern Territory;Alyangula;;136.4191667;-13.8483333;6;
2;AUS;Northern Territory;Arltunga Mission;;134.6833333;-23.4333333;6;
2;AUS;Northern Territory;Arltunga Police Station;;134.6833333;-23.4333333;6;
2;AUS;Northern Territory;Arltunga;;134.6833333;-23.4333333;6;
2;AUS;Northern Territory;Bagot;;130.85;-12.4166667;6;
2;AUS;Northern Territory;Barrow Creek;;133.8833333;-21.55;6;
2;AUS;Northern Territory;Batchelor;;131.0166667;-13.0666667;6;
2;AUS;Northern Territory;Birdum;;133.2166667;-15.65;6;
2;AUS;Northern Territory;Borroloola;;136.2833333;-16.0666667;6;
2;AUS;Northern Territory;Brocks Creek;;131.4166667;-13.4666667;6;
2;AUS;Northern Territory;Burrundie;;131.7;-13.5333333;6;
2;AUS;Northern Territory;Charlotte Waters;;134.9166667;-25.9166667;6;
2;AUS;Northern Territory;Daly Waters;;133.3666667;-16.25;6;
2;AUS;Northern Territory;Dalys Waters;;133.3666667;-16.25;6;
2;AUS;Northern Territory;Darwin;;130.83;-12.47;6;
2;AUS;Northern Territory;Elliott;;133.5333333;-17.55;6;
2;AUS;Northern Territory;Fannie Bay;;130.8408333;-12.4205556;6;
2;AUS;Northern Territory;Finke Siding;;134.5833333;-25.5666667;6;
2;AUS;Northern Territory;Finke;;134.5833333;-25.5666667;6;
2;AUS;Northern Territory;Goulburn Island Mission;;133.3883333;-11.65;6;
2;AUS;Northern Territory;Goulburn Island;;133.3883333;-11.65;6;
2;AUS;Northern Territory;Gove;;136.7666667;-12.2333333;6;
2;AUS;Northern Territory;Gribble Settlement;;130.6666667;-11.4166667;6;
2;AUS;Northern Territory;Gribbles Settlement;;130.6666667;-11.4166667;6;
2;AUS;Northern Territory;Grove Hill;;131.55;-13.4833333;6;
2;AUS;Northern Territory;Hatches Creek;;135.2;-20.9333333;6;
2;AUS;Northern Territory;Katherine;;132.2666667;-14.4666667;6;
2;AUS;Northern Territory;Knuckeys Lagoon;;130.95;-12.45;6;
2;AUS;Northern Territory;Larrakeyah;;130.8166667;-12.45;6;
2;AUS;Northern Territory;Leanyer;;130.9;-12.3666667;6;
2;AUS;Northern Territory;Ludmilla;;130.85;-12.4166667;6;
2;AUS;Northern Territory;Maningrida;;134.2666667;-12.0666667;6;
2;AUS;Northern Territory;Maranboy Police Station;;132.7833333;-14.5333333;6;
2;AUS;Northern Territory;Maranboy;;132.7833333;-14.5333333;6;
2;AUS;Northern Territory;Mataranka;;133.1166667;-14.9333333;6;
2;AUS;Northern Territory;McMinns Lagoon;;131.05;-12.5333333;6;
2;AUS;Northern Territory;Murgenella Settlement;;132.925;-11.5527778;6;
2;AUS;Northern Territory;Newcastle Waters;;133.4;-17.4;6;
2;AUS;Northern Territory;Nhulunbuy;;136.7666667;-12.2333333;6;
2;AUS;Northern Territory;Nhulunby;;136.7666667;-12.2333333;6;
2;AUS;Northern Territory;Nightcliff;;130.8538889;-12.3805556;6;
2;AUS;Northern Territory;Nullumbuy;;136.7666667;-12.2333333;6;
2;AUS;Northern Territory;Numbulwah Mission;;135.7372222;-14.2761111;6;
2;AUS;Northern Territory;Numbulwar;;135.7372222;-14.2761111;6;
2;AUS;Northern Territory;Parap;;130.8333333;-12.4333333;6;
2;AUS;Northern Territory;Paraparap;;130.8333333;-12.4333333;6;
2;AUS;Northern Territory;Pine Creek;;131.8166667;-13.8166667;6;
2;AUS;Northern Territory;Playford;;131.8166667;-13.8166667;6;
2;AUS;Northern Territory;Port Keats;;129.55;-14.25;6;
2;AUS;Northern Territory;Stuart;;133.8833333;-23.7;6;
2;AUS;Northern Territory;Tanami;;129.7166667;-19.9833333;6;
2;AUS;Northern Territory;Tennant Creek;;134.2;-19.65;6;
2;AUS;Northern Territory;The Granites;;130.35;-20.5833333;6;
2;AUS;Northern Territory;The Palms;;130.7166667;-12.5666667;6;
2;AUS;Northern Territory;Urapunga;;134.5333333;-14.7333333;6;
2;AUS;Northern Territory;Yirkala;;136.9333333;-12.2333333;6;
2;AUS;Northern Territory;Yirrkala Methodist Mission;;136.9333333;-12.2333333;6;
2;AUS;Northern Territory;Yirrkala Mission;;136.9333333;-12.2333333;6;
2;AUS;Northern Territory;Yirrkala;;136.9333333;-12.2333333;6;
2;AUS;Northern Territory;Yuendumu Mission;;131.8166667;-22.2666667;6;
2;AUS;Northern Territory;Yuendumu;;131.8166667;-22.2666667;6;
