"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;AUS;Queensland;;;143.6;-22.6;6;
2;AUS;Queensland;Abercorn;;151.0333333;-25.15;6;
2;AUS;Queensland;Abermain;;152.7833333;-27.5666667;6;
2;AUS;Queensland;Acacia Ridge;;153.0333333;-27.5833333;6;
2;AUS;Queensland;Ackland;;151.6833333;-27.3;6;
2;AUS;Queensland;Adavale;;144.6;-25.9166667;6;
2;AUS;Queensland;Advancetown;;153.2666667;-28.0666667;6;
2;AUS;Queensland;Aitkenvale;;146.8;-19.2833333;6;
2;AUS;Queensland;Albany Creek;;152.9833333;-27.35;6;
2;AUS;Queensland;Alberton;;153.25;-27.7;6;
2;AUS;Queensland;Aldershot;;152.6666667;-25.4666667;6;
2;AUS;Queensland;Alexandra;;149.1;-21.1666667;6;
2;AUS;Queensland;Alexandra-Mooloolaba;;153.1166667;-26.6833333;6;
2;AUS;Queensland;Alice;;145.8;-23.5666667;6;
2;AUS;Queensland;Allan;;151.95;-28.2;6;
2;AUS;Queensland;Alligator Creek;;149.2;-21.3333333;6;
2;AUS;Queensland;Allingham;;146.25;-18.6666667;6;
2;AUS;Queensland;Allora;;151.9833333;-28.0333333;6;
2;AUS;Queensland;Alma Creek;;150.2833333;-23.9166667;6;
2;AUS;Queensland;Almaden;;144.6833333;-17.3333333;6;
2;AUS;Queensland;Aloomba;;145.8333333;-17.1166667;6;
2;AUS;Queensland;Alpha;;146.6333333;-23.65;6;
2;AUS;Queensland;Alton Downs;;150.35;-23.3;6;
2;AUS;Queensland;Alton;;149.3166667;-27.9833333;6;
2;AUS;Queensland;Alva;;147.4833333;-19.45;6;
2;AUS;Queensland;Amamoor;;152.6833333;-26.35;6;
2;AUS;Queensland;Amberley;;152.7;-27.6333333;6;
2;AUS;Queensland;Ambrose;;150.9333333;-23.8;6;
2;AUS;Queensland;Amby;;148.1833333;-26.55;6;
2;AUS;Queensland;Amhurst;;149.2333333;-21.0666667;6;
2;AUS;Queensland;Amiens;;151.8166667;-28.5833333;6;
2;AUS;Queensland;Amity Point;;153.4333333;-27.4;6;
2;AUS;Queensland;Amos Quarries;;150.8333333;-23.75;6;
2;AUS;Queensland;Anakie;;147.75;-23.55;6;
2;AUS;Queensland;Andergrove;;149.1833333;-21.0833333;6;
2;AUS;Queensland;Anduramba;;152.1;-27.15;6;
2;AUS;Queensland;Angellala;;146.9;-26.4;6;
2;AUS;Queensland;Anthony;;152.6666667;-27.8833333;6;
2;AUS;Queensland;Antigua;;152.6;-25.6333333;6;
2;AUS;Queensland;Antil Plains;;146.8333333;-19.45;6;
2;AUS;Queensland;Anyarro;;151.1166667;-25.0666667;6;
2;AUS;Queensland;Apple Tree Creek;;152.2333333;-25.2166667;6;
2;AUS;Queensland;Applethorpe;;151.9666667;-28.6166667;6;
2;AUS;Queensland;Apunyal;;151.1166667;-27.0666667;6;
2;AUS;Queensland;Aramac;;145.25;-22.9666667;6;
2;AUS;Queensland;Aramara;;152.3166667;-25.6166667;6;
2;AUS;Queensland;Aratula;;152.5333333;-27.9833333;6;
2;AUS;Queensland;Archer Siding;;150.5833333;-23.5833333;6;
2;AUS;Queensland;Archer;;150.5833333;-23.5833333;6;
2;AUS;Queensland;Argoon;;150.4333333;-24.25;6;
2;AUS;Queensland;Arkendeith;;147.3166667;-19.7166667;6;
2;AUS;Queensland;Armstrong Creek;;152.8333333;-27.2166667;6;
2;AUS;Queensland;Armstrong;;152.8333333;-27.2166667;6;
2;AUS;Queensland;Arrilalah;;143.8833333;-23.6833333;6;
2;AUS;Queensland;Ashgrove;;153.0333333;-27.45;6;
2;AUS;Queensland;Aspley;;153.0166667;-27.3666667;6;
2;AUS;Queensland;Atherton;;145.4833333;-17.2666667;6;
2;AUS;Queensland;Aubigney;;151.65;-27.5166667;6;
2;AUS;Queensland;Aubigny;;151.65;-27.5166667;6;
2;AUS;Queensland;Augathella;;146.5833333;-25.8;6;
2;AUS;Queensland;Avondale;;152.1666667;-24.7333333;6;
2;AUS;Queensland;Ayr;;147.4;-19.5833333;6;
2;AUS;Queensland;Ayton;;145.3666667;-15.9333333;6;
2;AUS;Queensland;Babinda;;145.9166667;-17.35;6;
2;AUS;Queensland;Back Plains;;151.7833333;-27.9;6;
2;AUS;Queensland;Baddow;;152.6833333;-25.5166667;6;
2;AUS;Queensland;Badgen;;153.2333333;-27.4833333;6;
2;AUS;Queensland;Badu;;142.1666667;-10.15;6;
2;AUS;Queensland;Baffle Creek;;151.9333333;-24.5;6;
2;AUS;Queensland;Bahrs Scrub;;153.1666667;-27.7333333;6;
2;AUS;Queensland;Bajool;;150.65;-23.6666667;6;
2;AUS;Queensland;Bakers Creek;;149.15;-21.2166667;6;
2;AUS;Queensland;Baking Board Siding;;150.55;-26.7166667;6;
2;AUS;Queensland;Baking Board;;150.55;-26.7166667;6;
2;AUS;Queensland;Balberra;;149.1166667;-21.3;6;
2;AUS;Queensland;Bald Mountain;;151.9166667;-28.9;6;
2;AUS;Queensland;Balfes Creek;;145.9166667;-20.2166667;6;
2;AUS;Queensland;Ballandean;;151.8333333;-28.8;6;
2;AUS;Queensland;Bamaga;;142.3833333;-10.8833333;6;
2;AUS;Queensland;Bambaroo;;146.2;-18.8666667;6;
2;AUS;Queensland;Bamford;;144.9166667;-17.3166667;6;
2;AUS;Queensland;Banana Pocket;;148.65;-20.5333333;6;
2;AUS;Queensland;Banana;;150.1333333;-24.4833333;6;
2;AUS;Queensland;Bancroft;;151.2333333;-24.7833333;6;
2;AUS;Queensland;Banna;;145.8166667;-17.1166667;6;
2;AUS;Queensland;Bapaume;;151.8333333;-28.5666667;6;
2;AUS;Queensland;Barakula;;150.5166667;-26.4333333;6;
2;AUS;Queensland;Baralaba;;149.8166667;-24.1833333;6;
2;AUS;Queensland;Barcaldine;;145.2833333;-23.5666667;6;
2;AUS;Queensland;Barcoo;;149.1166667;-21.0666667;6;
2;AUS;Queensland;Baree;;150.4;-23.6166667;6;
2;AUS;Queensland;Bargara;;152.4666667;-24.8166667;6;
2;AUS;Queensland;Barlil;;151.8833333;-26.2;6;
2;AUS;Queensland;Barmaryee;;150.7166667;-23.1333333;6;
2;AUS;Queensland;Barmundu;;151.2;-24.1333333;6;
2;AUS;Queensland;Barney View;;152.7833333;-28.2333333;6;
2;AUS;Queensland;Barrine;;145.6333333;-17.2;6;
2;AUS;Queensland;Barringha;;146.8333333;-19.55;6;
2;AUS;Queensland;Barringna;;146.8333333;-19.55;6;
2;AUS;Queensland;Bartle Frere;;145.8833333;-17.45;6;
2;AUS;Queensland;Batavia;;142.9666667;-13.1;6;
2;AUS;Queensland;Batcha;;144.9166667;-17.4666667;6;
2;AUS;Queensland;Bauple;;152.6166667;-25.8;6;
2;AUS;Queensland;Bayfield;;150.6666667;-22.8333333;6;
2;AUS;Queensland;Beachmere;;153.05;-27.1333333;6;
2;AUS;Queensland;Beaudesert;;152.9833333;-27.9833333;6;
2;AUS;Queensland;Bedourie;;139.4666667;-24.35;6;
2;AUS;Queensland;Beebo;;150.9666667;-28.7;6;
2;AUS;Queensland;Beecher;;151.2;-23.9;6;
2;AUS;Queensland;Beechmont;;153.2166667;-28.1;6;
2;AUS;Queensland;Beenleigh;;153.2;-27.7166667;6;
2;AUS;Queensland;Beerburrum;;152.9666667;-26.9666667;6;
2;AUS;Queensland;Beerwah;;152.9666667;-26.85;6;
2;AUS;Queensland;Belahville;;151.0166667;-26.7;6;
2;AUS;Queensland;Beldene;;148.6333333;-27.0666667;6;
2;AUS;Queensland;Belgian Gardens;;146.8;-19.25;6;
2;AUS;Queensland;Bell;;151.45;-26.9333333;6;
2;AUS;Queensland;Bellara;;153.1430556;-27.065;6;
2;AUS;Queensland;Bellenden Ker;;145.9166667;-17.2666667;6;
2;AUS;Queensland;Bellevue;;152.55;-27.3333333;6;
2;AUS;Queensland;Belmont;;153.1166667;-27.5;6;
2;AUS;Queensland;Bemerside;;146.2333333;-18.5666667;6;
2;AUS;Queensland;Benaraby;;151.3166667;-24.0166667;6;
2;AUS;Queensland;Benarkin;;152.1333333;-26.8833333;6;
2;AUS;Queensland;Benholme;;148.8166667;-21.1666667;6;
2;AUS;Queensland;Benobble;;153.1666667;-27.9833333;6;
