"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;AUS;South AUS;;;135;-29.7;6;
2;AUS;South AUS;Adelaide;;138.61;-34.93;6;
2;AUS;South AUS;Agery;;137.7333333;-34.1666667;6;
2;AUS;South AUS;Alawoona;;140.5166667;-34.7333333;6;
2;AUS;South AUS;Aldgate;;138.7333333;-35.0166667;6;
2;AUS;South AUS;Aldinga;;138.4833333;-35.2833333;6;
2;AUS;South AUS;Alford;;137.8166667;-33.8166667;6;
2;AUS;South AUS;Allandale North;;138.9166667;-34.3;6;
2;AUS;South AUS;Allendale East;;140.7;-38.0166667;6;
2;AUS;South AUS;Allendale North;;138.9166667;-34.3;6;
2;AUS;South AUS;Alma;;138.6333333;-34.2666667;6;
2;AUS;South AUS;Altona;;138.9166667;-34.6;6;
2;AUS;South AUS;Amata;;131.15;-26.1666667;6;
2;AUS;South AUS;American River;;137.7666667;-35.7833333;6;
2;AUS;South AUS;Amyton;;138.3333333;-32.6;6;
2;AUS;South AUS;Androssan;;137.9;-34.4333333;6;
2;AUS;South AUS;Angas Plains;;139;-35.35;6;
2;AUS;South AUS;Angas Valley;;139.3;-34.7666667;6;
2;AUS;South AUS;Angaston;;139.0333333;-34.5;6;
2;AUS;South AUS;Angle Vale;;138.65;-34.6333333;6;
2;AUS;South AUS;Annadale;;139.3333333;-34.4;6;
2;AUS;South AUS;Apoinga;;138.9333333;-33.95;6;
2;AUS;South AUS;Appila;;138.4166667;-33.05;6;
2;AUS;South AUS;Ardrossan;;137.9;-34.4333333;6;
2;AUS;South AUS;Arno Bay;;136.5666667;-33.9;6;
2;AUS;South AUS;Arthurton;;137.75;-34.2666667;6;
2;AUS;South AUS;Arwakurra;;138.4166667;-32.8833333;6;
2;AUS;South AUS;Ashbourne;;138.7666667;-35.3;6;
2;AUS;South AUS;Ashton;;138.7333333;-34.9333333;6;
2;AUS;South AUS;Ashville;;139.3666667;-35.5166667;6;
2;AUS;South AUS;Athenna;;133.4333333;-32.0166667;6;
2;AUS;South AUS;Auburn;;138.6833333;-34.0166667;6;
2;AUS;South AUS;Auld;;140.35;-34.8833333;6;
2;AUS;South AUS;Australia Plains;;139.1333333;-34.1;6;
2;AUS;South AUS;Avenue Range;;140.2333333;-36.9666667;6;
2;AUS;South AUS;Avenue;;140.2333333;-36.9666667;6;
2;AUS;South AUS;Avon;;138.3333333;-34.2833333;6;
2;AUS;South AUS;Bakara;;139.7666667;-34.6666667;6;
2;AUS;South AUS;Baker Gully;;138.6333333;-35.1333333;6;
2;AUS;South AUS;Bakers Gully;;138.6333333;-35.1333333;6;
2;AUS;South AUS;Balaklava;;138.4166667;-34.15;6;
2;AUS;South AUS;Bald Hills;;138.4166667;-35.5166667;6;
2;AUS;South AUS;Balgowan;;137.4833333;-34.3333333;6;
2;AUS;South AUS;Balhannah;;138.8333333;-34.9833333;6;
2;AUS;South AUS;Bangor;;138.15;-32.9666667;6;
2;AUS;South AUS;Barabba;;138.5833333;-34.35;6;
2;AUS;South AUS;Barmera;;140.4666667;-34.25;6;
2;AUS;South AUS;Baroota;;138.0333333;-32.85;6;
2;AUS;South AUS;Barossa;;138.8333333;-34.65;6;
2;AUS;South AUS;Barunga North;;138.0833333;-33.6833333;6;
2;AUS;South AUS;Barunga;;138.1333333;-33.7166667;6;
2;AUS;South AUS;Basket Range;;138.7666667;-34.9333333;6;
2;AUS;South AUS;Beachport;;140.0166667;-37.5;6;
2;AUS;South AUS;Beaufort;;138.2;-34.0833333;6;
2;AUS;South AUS;Beaumont;;138.65;-34.9333333;6;
2;AUS;South AUS;Bedford Park;;138.5666667;-35.0333333;6;
2;AUS;South AUS;Beetaloo Valley;;138.2333333;-33.2333333;6;
2;AUS;South AUS;Belair;;138.6333333;-35;6;
2;AUS;South AUS;Beltana;;138.4166667;-30.8;6;
2;AUS;South AUS;Belton;;138.7;-32.2333333;6;
2;AUS;South AUS;Belvidere;;138.9333333;-35.3;6;
2;AUS;South AUS;Bendleby;;138.7166667;-32.35;6;
2;AUS;South AUS;Berri;;140.6;-34.2833333;6;
2;AUS;South AUS;Bethany;;138.9666667;-34.5333333;6;
2;AUS;South AUS;Bethel;;138.8333333;-34.3333333;6;
2;AUS;South AUS;Bews;;137.8666667;-33.7333333;6;
2;AUS;South AUS;Biggs Flat;;138.7833333;-35.0666667;6;
2;AUS;South AUS;Binnum;;140.9333333;-36.8;6;
2;AUS;South AUS;Birdwood;;138.9666667;-34.8166667;6;
2;AUS;South AUS;Birkenhead;;138.5;-34.8333333;6;
2;AUS;South AUS;Black Hill;;139.45;-34.7;6;
2;AUS;South AUS;Black Rock;;138.7;-32.8333333;6;
2;AUS;South AUS;Black Springs;;138.9;-33.9;6;
2;AUS;South AUS;Blackford;;140.0166667;-36.7666667;6;
2;AUS;South AUS;Blackwood;;138.6166667;-35.0166667;6;
2;AUS;South AUS;Blakiston;;138.8833333;-35.05;6;
2;AUS;South AUS;Blanche Town;;139.6;-34.35;6;
2;AUS;South AUS;Bletchley;;138.9833333;-35.2333333;6;
2;AUS;South AUS;Blewitts Springs;;138.6;-35.1666667;6;
2;AUS;South AUS;Bligh;;136.5666667;-33.9;6;
2;AUS;South AUS;Blinman;;138.6666667;-31.1;6;
2;AUS;South AUS;Blyth;;138.4833333;-33.85;6;
2;AUS;South AUS;Bolivar;;138.6;-34.7666667;6;
2;AUS;South AUS;Bondleigh;;139.05;-35.0333333;6;
2;AUS;South AUS;Bonython;;139.2;-34.8;6;
2;AUS;South AUS;Bonythorn;;139.2;-34.8;6;
2;AUS;South AUS;Booborowie;;138.75;-33.5666667;6;
2;AUS;South AUS;Bookabie;;132.6833333;-31.8333333;6;
2;AUS;South AUS;Bool Lagoon;;140.7166667;-37.15;6;
2;AUS;South AUS;Boolcunda East;;138.3333333;-32.2666667;6;
2;AUS;South AUS;Booleroo Centre;;138.35;-32.8666667;6;
2;AUS;South AUS;Booleroo;;138.4166667;-32.8333333;6;
2;AUS;South AUS;Boothby;;136.5333333;-33.7666667;6;
2;AUS;South AUS;Boowillia;;138.4;-33.95;6;
2;AUS;South AUS;Bordertown;;140.7666667;-36.3166667;6;
2;AUS;South AUS;Borrika;;140.05;-35.0166667;6;
2;AUS;South AUS;Bow Hill;;139.6166667;-34.9;6;
2;AUS;South AUS;Bower;;139.35;-34.1333333;6;
2;AUS;South AUS;Bowillia;;138.4;-33.95;6;
2;AUS;South AUS;Bowmans;;138.2666667;-34.15;6;
2;AUS;South AUS;Bradbury;;138.7166667;-35.0666667;6;
2;AUS;South AUS;Brady Creek;;139;-33.9666667;6;
2;AUS;South AUS;Bramfield;;135.0166667;-33.6166667;6;
2;AUS;South AUS;Brentwood;;137.5;-34.8666667;6;
2;AUS;South AUS;Bridgewater;;138.75;-35;6;
2;AUS;South AUS;Bright;;139.0666667;-33.9;6;
2;AUS;South AUS;Brighton;;138.5166667;-35.0166667;6;
2;AUS;South AUS;Brimpton Lake;;135.5166667;-34.0666667;6;
2;AUS;South AUS;Brinkley;;139.2166667;-35.2333333;6;
2;AUS;South AUS;Brinkworth;;138.4;-33.7;6;
2;AUS;South AUS;Broad Creek;;138.1166667;-33.1;6;
2;AUS;South AUS;Brooker;;135.9;-34.1;6;
2;AUS;South AUS;Brownlow;;139.2666667;-34.25;6;
2;AUS;South AUS;Bruce;;138.2;-32.4666667;6;
2;AUS;South AUS;Brucefield;;137.7666667;-33.8;6;
2;AUS;South AUS;Buccleuch;;139.8833333;-35.35;6;
2;AUS;South AUS;Buckingham;;140.5833333;-36.35;6;
2;AUS;South AUS;Buckleboo;;136.2;-32.9166667;6;
2;AUS;South AUS;Bull Creek;;138.75;-35.2333333;6;
2;AUS;South AUS;Bull Island;;140.1833333;-36.95;6;
2;AUS;South AUS;Bulls Creek;;138.75;-35.2333333;6;
2;AUS;South AUS;Bumbunga;;138.2333333;-33.9166667;6;
2;AUS;South AUS;Bundaleer;;138.5333333;-33.4666667;6;
2;AUS;South AUS;Bungaree;;138.5666667;-33.75;6;
2;AUS;South AUS;Burra;;138.9333333;-33.6666667;6;
2;AUS;South AUS;Burrungule;;140.5666667;-37.7833333;6;
2;AUS;South AUS;Bute;;138.0166667;-33.8666667;6;
2;AUS;South AUS;Butler Tanks;;136.1666667;-34.1;6;
2;AUS;South AUS;Butler;;136.1;-34.1166667;6;
2;AUS;South AUS;Cadell;;139.75;-34.0333333;6;
2;AUS;South AUS;Calca;;134.35;-33.0833333;6;
2;AUS;South AUS;Caliph;;140.2833333;-34.6666667;6;
2;AUS;South AUS;Callington;;139.0166667;-35.1166667;6;
2;AUS;South AUS;Caloote;;139.2666667;-34.9666667;6;
2;AUS;South AUS;Calpatanna;;134.3666667;-33.0166667;6;
2;AUS;South AUS;Caltowie;;138.4833333;-33.1833333;6;
2;AUS;South AUS;Cambelltown;;138.6666667;-34.8833333;6;
2;AUS;South AUS;Cambrai;;139.2833333;-34.65;6;
2;AUS;South AUS;Campbell Park;;139.1833333;-35.6333333;6;
2;AUS;South AUS;Campbelltown;;138.6666667;-34.8833333;6;
2;AUS;South AUS;Cannawigara;;140.6666667;-36.25;6;
2;AUS;South AUS;Canowie Belt;;138.75;-33.1833333;6;
2;AUS;South AUS;Canowie;;138.75;-33.4;6;
2;AUS;South AUS;Caralue;;136.2;-33.3666667;6;
2;AUS;South AUS;Carawa;;134.2;-32.3833333;6;
2;AUS;South AUS;Carey Gully;;138.7666667;-34.9666667;6;
2;AUS;South AUS;Carey's Gully;;138.7666667;-34.9666667;6;
2;AUS;South AUS;Caroline;;140.9333333;-37.9;6;
2;AUS;South AUS;Carpa;;136.6833333;-33.75;6;
2;AUS;South AUS;Carrieton;;138.5333333;-32.4333333;6;
2;AUS;South AUS;Carripook;;138.75;-35.0166667;6;
2;AUS;South AUS;Carrow;;136.3333333;-34.1;6;
2;AUS;South AUS;Caurnamont;;139.5833333;-34.85;6;
2;AUS;South AUS;Ceduna;;133.6666667;-32.1166667;6;
2;AUS;South AUS;Chain of Ponds;;138.8333333;-34.8166667;6;
2;AUS;South AUS;Chandada;;134.6833333;-32.75;6;
2;AUS;South AUS;Chapman Bore;;139.55;-35.1333333;6;
2;AUS;South AUS;Charleston;;138.9;-34.9166667;6;
2;AUS;South AUS;Charra;;133.3333333;-32.0833333;6;
2;AUS;South AUS;Cheltenham;;138.5166667;-34.8666667;6;
2;AUS;South AUS;Cherry Gardens;;138.65;-35.0666667;6;
2;AUS;South AUS;Cherryville;;138.7666667;-34.9166667;6;
2;AUS;South AUS;Chinbingina;;134.2;-32.2166667;6;
2;AUS;South AUS;Chinta;;133.8;-31.9833333;6;
2;AUS;South AUS;Clapham;;138.6;-34.9913889;6;
2;AUS;South AUS;Clare;;138.6;-33.8333333;6;
2;AUS;South AUS;Clarendon;;138.6333333;-35.1166667;6;
2;AUS;South AUS;Claypans;;139.6666667;-34.8166667;6;
2;AUS;South AUS;Clements Gap;;138.0666667;-33.5166667;6;
2;AUS;South AUS;Cleve;;136.5;-33.7;6;
2;AUS;South AUS;Clinton Centre;;137.9166667;-34.2333333;6;
2;AUS;South AUS;Cobdog;;140.4;-34.25;6;
2;AUS;South AUS;Cockatoo Valley;;138.8333333;-34.6166667;6;
2;AUS;South AUS;Cockburn;;141;-32.0833333;6;
2;AUS;South AUS;Collinsville;;139.15;-33.3333333;6;
2;AUS;South AUS;Colton;;134.9333333;-33.4833333;6;
2;AUS;South AUS;Comaum;;140.95;-37.2666667;6;
2;AUS;South AUS;Compton;;140.6833333;-37.7666667;6;
2;AUS;South AUS;Concordia;;138.8;-34.5833333;6;
2;AUS;South AUS;Condada;;135.0666667;-32.8;6;
2;AUS;South AUS;Condowie;;138.3;-33.7666667;6;
2;AUS;South AUS;Conmurra;;140.2833333;-37.15;6;
2;AUS;South AUS;Coober Pedy;;134.7166667;-29.0166667;6;
2;AUS;South AUS;Coobowie;;137.7166667;-35.05;6;
2;AUS;South AUS;Cook;;130.4166667;-30.6166667;6;
2;AUS;South AUS;Cooke Plains;;139.55;-35.3833333;6;
2;AUS;South AUS;Cookes Plains;;139.55;-35.3833333;6;
2;AUS;South AUS;Coolcha;;139.5833333;-34.9166667;6;
2;AUS;South AUS;Coomandook;;139.7;-35.4833333;6;
2;AUS;South AUS;Coomunga;;135.7166667;-34.65;6;
2;AUS;South AUS;Coonalpyn;;139.85;-35.7;6;
2;AUS;South AUS;Coonawarra;;140.8166667;-37.3;6;
2;AUS;South AUS;Coontapoo;;135.7;-34.6333333;6;
2;AUS;South AUS;Coorabie;;132.3;-31.9;6;
2;AUS;South AUS;Coorara;;138.5166667;-35.1166667;6;
2;AUS;South AUS;Cootra;;135.8666667;-33.25;6;
2;AUS;South AUS;Copeville;;139.8333333;-34.8166667;6;
