"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;AUS;Western AUS;;;122.5;-25.7;6;
2;AUS;Western AUS;Abbotts;;118.3833333;-26.3166667;6;
2;AUS;Western AUS;Agnew;;120.5;-28.0833333;6;
2;AUS;Western AUS;Ajana;;114.6333333;-27.95;6;
2;AUS;Western AUS;Albany;;117.8916667;-35.0169444;6;
2;AUS;Western AUS;Aldersyde;;117.2666667;-32.3833333;6;
2;AUS;Western AUS;Allanson;;116.1;-33.3333333;6;
2;AUS;Western AUS;Amery;;117.0833333;-31.15;6;
2;AUS;Western AUS;Amphion;;116.2;-32.7666667;6;
2;AUS;Western AUS;Ardath;;118.1;-32.0333333;6;
2;AUS;Western AUS;Armadale;;116;-32.15;6;
2;AUS;Western AUS;Arrino;;115.6166667;-29.4333333;6;
2;AUS;Western AUS;Arthur River;;117.0333333;-33.3333333;6;
2;AUS;Western AUS;Arumvale;;115.0833333;-34.1666667;6;
2;AUS;Western AUS;Attadale;;115.7958333;-32.0236111;6;
2;AUS;Western AUS;Augusta;;115.1666667;-34.3166667;6;
2;AUS;Western AUS;Australind;;115.7166667;-33.2666667;6;
2;AUS;Western AUS;Baandee;;117.9666667;-31.5833333;6;
2;AUS;Western AUS;Babakin;;118.0166667;-32.1166667;6;
2;AUS;Western AUS;Baddera;;114.6333333;-28.2833333;6;
2;AUS;Western AUS;Badgebup;;117.9;-33.6333333;6;
2;AUS;Western AUS;Badjaling;;117.5;-32;6;
2;AUS;Western AUS;Bakers Hill;;116.45;-31.75;6;
2;AUS;Western AUS;Baladjie;;118.9333333;-30.9833333;6;
2;AUS;Western AUS;Balbarrup;;116.2;-34.2333333;6;
2;AUS;Western AUS;Balgarri;;121.1166667;-30.4833333;6;
2;AUS;Western AUS;Balgo Hill;;127.9666667;-20.15;6;
2;AUS;Western AUS;Balgo;;127.9666667;-20.15;6;
2;AUS;Western AUS;Balingup;;115.9666667;-33.8;6;
2;AUS;Western AUS;Balkuling;;117.1333333;-31.9833333;6;
2;AUS;Western AUS;Ballaying;;117.55;-33.3;6;
2;AUS;Western AUS;Ballidu;;116.7666667;-30.6;6;
2;AUS;Western AUS;Bally Bally;;117.1;-32.1666667;6;
2;AUS;Western AUS;Bamboo Creek;;120.2166667;-20.9333333;6;
