"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Berkshire;Aldermaston;;W1.15;N51.38;10;
2;ENG;Berkshire;Aldermaston Soke;;W1.12;N51.36;10;
2;ENG;Berkshire;Aldermaston Wharf;;W1.13;N51.39;10;
2;ENG;Berkshire;Aldworth;;W1.20;N51.50;10;
2;ENG;Berkshire;Altmore;;W.77;N51.50;10;
2;ENG;Berkshire;Amen Corner;;W.79;N51.40;10;
2;ENG;Berkshire;Anvilles;;W1.51;N51.38;10;
2;ENG;Berkshire;Applehouse Hill;;W.80;N51.53;10;
2;ENG;Berkshire;Arborfield;;W.92;N51.39;10;
2;ENG;Berkshire;Arborfield Cross;;W.90;N51.39;10;
2;ENG;Berkshire;Arborfield Garrison;;W.90;N51.37;10;
2;ENG;Berkshire;Ascot;;W.67;N51.40;10;
2;ENG;Berkshire;Ashampstead;;W1.19;N51.48;10;
2;ENG;Berkshire;Ashampstead Green;;W1.19;N51.48;10;
2;ENG;Berkshire;Ashmore Green;;W1.28;N51.41;10;
2;ENG;Berkshire;Aston;;W.87;N51.54;10;
2;ENG;Berkshire;Avington;;W1.46;N51.41;10;
2;ENG;Berkshire;Bagnor;;W1.35;N51.41;10;
2;ENG;Berkshire;Barkham;;W.88;N51.39;10;
2;ENG;Berkshire;Beaumont;;W.57;N51.44;10;
2;ENG;Berkshire;Beech Hill;;W1.01;N51.37;10;
2;ENG;Berkshire;Beedon;;W1.30;N51.49;10;
2;ENG;Berkshire;Beedon Hill;;W1.30;N51.49;10;
2;ENG;Berkshire;Beenham;;W1.16;N51.40;10;
2;ENG;Berkshire;Beenham Stocks;;W1.15;N51.40;10;
2;ENG;Berkshire;Beenham's Heath;;W.79;N51.46;10;
2;ENG;Berkshire;Bigfrith;;W.77;N51.54;10;
2;ENG;Berkshire;Binfield;;W.79;N51.43;10;
2;ENG;Berkshire;Birch Hill;;W.75;N51.38;10;
2;ENG;Berkshire;Bisham;;W.77;N51.55;10;
2;ENG;Berkshire;Blacknest;;W.63;N51.40;10;
2;ENG;Berkshire;Blackwater;;W.83;N51.35;10;
2;ENG;Berkshire;Borough Marsh;;W.89;N51.48;10;
2;ENG;Berkshire;Bothampstead;;W1.28;N51.48;10;
2;ENG;Berkshire;Boveney;;W.66;N51.48;10;
2;ENG;Berkshire;Bowsey Hill;;W.84;N51.51;10;
2;ENG;Berkshire;Boxford;;W1.39;N51.43;10;
2;ENG;Berkshire;Boyn Hill;;W.74;N51.51;10;
2;ENG;Berkshire;Bracknell;;W.76;N51.40;10;
2;ENG;Berkshire;Bradfield;;W1.13;N51.44;10;
2;ENG;Berkshire;Brands Hill;;W.54;N51.48;10;
2;ENG;Berkshire;Bray;;W.70;N51.50;10;
2;ENG;Berkshire;Bray Wick;;W.71;N51.50;10;
2;ENG;Berkshire;Braywoodside;;W.74;N51.46;10;
2;ENG;Berkshire;Brightwalton;;W1.39;N51.50;10;
2;ENG;Berkshire;Brightwalton Green;;W1.39;N51.49;10;
2;ENG;Berkshire;Brightwalton Holt;;W1.38;N51.49;10;
2;ENG;Berkshire;Brimpton;;W1.21;N51.37;10;
2;ENG;Berkshire;Britwell;;W.63;N51.52;10;
2;ENG;Berkshire;Brookside;;W.69;N51.42;10;
2;ENG;Berkshire;Bucklebury;;W1.21;N51.42;10;
2;ENG;Berkshire;Bucklebury Alley;;W1.26;N51.42;10;
2;ENG;Berkshire;Bullbrook;;W.73;N51.41;10;
2;ENG;Berkshire;Burchett's Green;;W.80;N51.52;10;
2;ENG;Berkshire;Burghfield;;W1.05;N51.40;10;
2;ENG;Berkshire;Burghfield Common;;W1.06;N51.38;10;
2;ENG;Berkshire;Burghfield Hill;;W1.06;N51.39;10;
2;ENG;Berkshire;Burnt Hill;;W1.19;N51.46;10;
2;ENG;Berkshire;Bury's Bank;;W1.29;N51.38;10;
2;ENG;Berkshire;Cabbage Hill;;W.76;N51.43;10;
2;ENG;Berkshire;Calcot;;W1.05;N51.43;10;
2;ENG;Berkshire;Calcot Row;;W1.05;N51.43;10;
2;ENG;Berkshire;Carter's Hill;;W.90;N51.41;10;
2;ENG;Berkshire;Catmore;;W1.35;N51.51;10;
2;ENG;Berkshire;Caversham;;W.97;N51.46;10;
2;ENG;Berkshire;Caversham Heights;;W.99;N51.46;10;
2;ENG;Berkshire;Chaddleworth;;W1.41;N51.49;10;
2;ENG;Berkshire;Chalvey;;W.61;N51.50;10;
2;ENG;Berkshire;Chapel Row;;W1.18;N51.41;10;
2;ENG;Berkshire;Charvil;;W.89;N51.47;10;
2;ENG;Berkshire;Chavey Down;;W.72;N51.41;10;
2;ENG;Berkshire;Cheapside;;W.64;N51.41;10;
2;ENG;Berkshire;Chieveley;;W1.32;N51.45;10;
2;ENG;Berkshire;Churchend;;W1.03;N51.44;10;
2;ENG;Berkshire;Cippenham;;W.64;N51.51;10;
2;ENG;Berkshire;Clapton;;W1.45;N51.42;10;
2;ENG;Berkshire;Clay Hill;;W1.18;N51.42;10;
2;ENG;Berkshire;Clewer Green;;W.64;N51.46;10;
2;ENG;Berkshire;Clewer New Town;;W.63;N51.47;10;
2;ENG;Berkshire;Clewer Village;;W.63;N51.48;10;
2;ENG;Berkshire;Cockpole Green;;W.86;N51.52;10;
2;ENG;Berkshire;Cold Ash;;W1.26;N51.41;10;
2;ENG;Berkshire;Cold Harbour;;W.80;N51.49;10;
2;ENG;Berkshire;Coley;;W.97;N51.44;10;
2;ENG;Berkshire;College Town;;W.78;N51.34;10;
2;ENG;Berkshire;Colnbrook;;W.53;N51.48;10;
2;ENG;Berkshire;Colne Brook;;W.53;N51.45;10;
2;ENG;Berkshire;Colthrop;;W1.23;N51.39;10;
2;ENG;Berkshire;Combe;;W1.47;N51.33;10;
2;ENG;Berkshire;Compton;;W1.25;N51.51;10;
2;ENG;Berkshire;Cookham;;W.71;N51.55;10;
2;ENG;Berkshire;Cookham Dean;;W.76;N51.54;10;
2;ENG;Berkshire;Cookham Rise;;W.73;N51.54;10;
2;ENG;Berkshire;Cox Green;;W.74;N51.50;10;
2;ENG;Berkshire;Cranbourne;;W.67;N51.43;10;
