"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Buckinghamshire;Addington;;W0.92;N51.94;10;
2;ENG;Buckinghamshire;Adstock;;W0.93;N51.96;10;
2;ENG;Buckinghamshire;Akeley;;W0.98;N52.02;10;
2;ENG;Buckinghamshire;Alscot;;W0.84;N51.72;10;
2;ENG;Buckinghamshire;Amersham;;W0.61;N51.67;10;
2;ENG;Buckinghamshire;Amersham Common;;W0.61;N51.66;10;
2;ENG;Buckinghamshire;Amersham Old Town;;W0.62;N51.66;10;
2;ENG;Buckinghamshire;Amersham on the Hill;;W0.61;N51.67;10;
2;ENG;Buckinghamshire;Ashendon;;W0.98;N51.82;10;
2;ENG;Buckinghamshire;Asheridge;;W0.65;N51.72;10;
2;ENG;Buckinghamshire;Ashley Green;;W0.59;N51.73;10;
2;ENG;Buckinghamshire;Askett;;W0.82;N51.73;10;
2;ENG;Buckinghamshire;Aston Abbotts;;W0.78;N51.87;10;
2;ENG;Buckinghamshire;Aston Clinton;;W0.73;N51.80;10;
2;ENG;Buckinghamshire;Aston Sandford;;W0.91;N51.75;10;
2;ENG;Buckinghamshire;Astrope;;W0.71;N51.81;10;
2;ENG;Buckinghamshire;Austenwood;;W0.57;N51.59;10;
2;ENG;Buckinghamshire;Aylesbury;;W0.82;N51.81;10;
2;ENG;Buckinghamshire;Baker's Wood;;W0.52;N51.57;10;
2;ENG;Buckinghamshire;Ballinger Bottom;;W0.68;N51.71;10;
2;ENG;Buckinghamshire;Ballinger Bottom (South);;W0.68;N51.70;10;
2;ENG;Buckinghamshire;Ballinger Common;;W0.68;N51.71;10;
2;ENG;Buckinghamshire;Barley End;;W0.60;N51.81;10;
2;ENG;Buckinghamshire;Barton Hartshorn;;W01.06;N51.97;10;
2;ENG;Buckinghamshire;Beachampton;;W0.87;N52.01;10;
2;ENG;Buckinghamshire;Beacon Hill;;W0.70;N51.62;10;
2;ENG;Buckinghamshire;Beacon's Bottom;;W0.87;N51.64;10;
2;ENG;Buckinghamshire;Beaconsfield;;W0.62;N51.59;10;
2;ENG;Buckinghamshire;Beaconsfield;;W0.65;N51.60;10;
2;ENG;Buckinghamshire;Beamond End;;W0.68;N51.65;10;
2;ENG;Buckinghamshire;Bedgrove;;W0.78;N51.80;10;
2;ENG;Buckinghamshire;Bellingdon;;W0.64;N51.73;10;
2;ENG;Buckinghamshire;Belmont;;W0.32;N51.59;10;
2;ENG;Buckinghamshire;Bennett End;;W0.87;N51.65;10;
2;ENG;Buckinghamshire;Berghers Hill;;W0.68;N51.57;10;
2;ENG;Buckinghamshire;Biddlesden;;W01.08;N52.04;10;
2;ENG;Buckinghamshire;Bierton;;W0.79;N51.82;10;
2;ENG;Buckinghamshire;Bishopstone;;W0.84;N51.78;10;
2;ENG;Buckinghamshire;Bledlow;;W0.88;N51.71;10;
2;ENG;Buckinghamshire;Bledlow Ridge;;W0.85;N51.66;10;
2;ENG;Buckinghamshire;Boarstall;;W01.10;N51.82;10;
2;ENG;Buckinghamshire;Bockmer End;;W0.83;N51.56;10;
2;ENG;Buckinghamshire;Bolter End;;W0.86;N51.62;10;
2;ENG;Buckinghamshire;Booker;;W0.80;N51.61;10;
2;ENG;Buckinghamshire;Botley;;W0.58;N51.70;10;
2;ENG;Buckinghamshire;Botolph Claydon;;W0.94;N51.91;10;
2;ENG;Buckinghamshire;Bottrells Close;;W0.58;N51.62;10;
2;ENG;Buckinghamshire;Bourne End;;W0.71;N51.57;10;
2;ENG;Buckinghamshire;Bourton;;W0.98;N51.99;10;
2;ENG;Buckinghamshire;Bovingdon Green;;W0.80;N51.56;10;
2;ENG;Buckinghamshire;Bradenham;;W0.81;N51.66;10;
2;ENG;Buckinghamshire;Bragenham;;W0.69;N51.94;10;
2;ENG;Buckinghamshire;Brill;;W01.05;N51.81;10;
2;ENG;Buckinghamshire;Broughton;;W0.78;N51.80;10;
2;ENG;Buckinghamshire;Bryant's Bottom;;W0.77;N51.68;10;
2;ENG;Buckinghamshire;Buckingham;;W0.99;N51.99;10;
2;ENG;Buckinghamshire;Buckland;;W0.72;N51.79;10;
