"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Cornwall;Addington;;W4.46;N50.45;10;
2;ENG;Cornwall;Alfardisworthy;;W4.43;N50.87;10;
2;ENG;Cornwall;Allen;;W5.04;N50.29;10;
2;ENG;Cornwall;Allet;;W5.10;N50.29;10;
2;ENG;Cornwall;Altarnun;;W4.51;N50.60;10;
2;ENG;Cornwall;Amalebra;;W5.51;N50.17;10;
2;ENG;Cornwall;Amalveor;;W5.53;N50.17;10;
2;ENG;Cornwall;Anderton;;W4.22;N50.33;10;
2;ENG;Cornwall;Angarrack;;W5.39;N50.19;10;
2;ENG;Cornwall;Angarrick;;W5.09;N50.19;10;
2;ENG;Cornwall;Anthony;;W4.26;N50.36;10;
2;ENG;Cornwall;Antony Passage;;W4.23;N50.39;10;
2;ENG;Cornwall;Ashill;;W5.20;N50.13;10;
2;ENG;Cornwall;Ashton;;W5.35;N50.10;10;
2;ENG;Cornwall;Badgall;;W4.50;N50.64;10;
2;ENG;Cornwall;Badharlick;;W4.46;N50.64;10;
2;ENG;Cornwall;Bakesdown;;W4.49;N50.77;10;
2;ENG;Cornwall;Baldhu;;W5.12;N50.23;10;
2;ENG;Cornwall;Ball;;W4.82;N50.52;10;
2;ENG;Cornwall;Balwest;;W5.37;N50.12;10;
2;ENG;Cornwall;Bangors;;W4.55;N50.76;10;
2;ENG;Cornwall;Banns;;W5.23;N50.28;10;
2;ENG;Cornwall;Barcelona;;W4.51;N50.34;10;
2;ENG;Cornwall;Bareppa;;W5.10;N50.11;10;
2;ENG;Cornwall;Barkla Shop;;W5.18;N50.30;10;
2;ENG;Cornwall;Barripper;;W5.32;N50.19;10;
2;ENG;Cornwall;Bathpool;;W4.42;N50.54;10;
2;ENG;Cornwall;Beacon;;W5.29;N50.20;10;
2;ENG;Cornwall;Bealbury;;W4.29;N50.47;10;
2;ENG;Cornwall;Bealsmill;;W4.33;N50.56;10;
2;ENG;Cornwall;Beeny;;W4.67;N50.69;10;
2;ENG;Cornwall;Belowda;;W4.87;N50.41;10;
2;ENG;Cornwall;Bennacott;;W4.42;N50.70;10;
2;ENG;Cornwall;Berepper;;W5.28;N50.05;10;
2;ENG;Cornwall;Berriowbridge;;W4.44;N50.54;10;
2;ENG;Cornwall;Bethany;;W4.36;N50.40;10;
2;ENG;Cornwall;Bethel;;W4.76;N50.33;10;
2;ENG;Cornwall;Bilberry;;W4.78;N50.40;10;
2;ENG;Cornwall;Billacott;;W4.47;N50.68;10;
2;ENG;Cornwall;Biscovey;;W4.72;N50.34;10;
2;ENG;Cornwall;Bishop's Quay;;W5.18;N50.08;10;
