"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Cumberland;Abbeytown;;W3.29;N54.83;10;
2;ENG;Cumberland;Ackenthwaite;;W2.76;N54.22;10;
2;ENG;Cumberland;Aglionby;;W2.87;N54.89;10;
2;ENG;Cumberland;Aiketgate;;W2.81;N54.80;10;
2;ENG;Cumberland;Aikton;;W3.13;N54.86;10;
2;ENG;Cumberland;Ainstable;;W2.73;N54.80;10;
2;ENG;Cumberland;Albyfield;;W2.71;N54.86;10;
2;ENG;Cumberland;Aldingham;;W3.10;N54.13;10;
2;ENG;Cumberland;Aldoth;;W3.34;N54.81;10;
2;ENG;Cumberland;Allenwood;;W2.79;N54.88;10;
2;ENG;Cumberland;Allerby;;W3.43;N54.73;10;
2;ENG;Cumberland;Allithwaite;;W2.95;N54.17;10;
2;ENG;Cumberland;Allonby;;W3.43;N54.77;10;
2;ENG;Cumberland;Alston;;W2.45;N54.80;10;
2;ENG;Cumberland;Angerton;;W3.21;N54.90;10;
2;ENG;Cumberland;Annas;;W3.39;N54.27;10;
2;ENG;Cumberland;Annaside;;W3.39;N54.26;10;
2;ENG;Cumberland;Anthorn;;W3.26;N54.91;10;
2;ENG;Cumberland;Appleby-in-Westmorland;;W2.49;N54.57;10;
2;ENG;Cumberland;Arkleby;;W3.33;N54.73;10;
2;ENG;Cumberland;Arlecdon;;W3.48;N54.55;10;
2;ENG;Cumberland;Armathwaite;;W2.77;N54.80;10;
2;ENG;Cumberland;Arnaby;;W3.26;N54.24;10;
2;ENG;Cumberland;Arrad Foot;;W3.07;N54.21;10;
2;ENG;Cumberland;Askam in Furness;;W3.21;N54.18;10;
2;ENG;Cumberland;Aspatria;;W3.33;N54.75;10;
2;ENG;Cumberland;Aughertree;;W3.16;N54.73;10;
2;ENG;Cumberland;Ayside;;W2.93;N54.23;10;
2;ENG;Cumberland;Backbarrow;;W2.99;N54.24;10;
2;ENG;Cumberland;Baggrow;;W3.29;N54.75;10;
2;ENG;Cumberland;Baldwinholme;;W3.04;N54.84;10;
2;ENG;Cumberland;Bampton;;W2.75;N54.55;10;
2;ENG;Cumberland;Bampton Grange;;W2.74;N54.55;10;
2;ENG;Cumberland;Bandrake Head;;W3.06;N54.27;10;
2;ENG;Cumberland;Bank End;;W3.24;N54.28;10;
2;ENG;Cumberland;Bank End;;W3.49;N54.72;10;
2;ENG;Cumberland;Banks;;W2.68;N54.96;10;
2;ENG;Cumberland;Barber Green;;W2.93;N54.23;10;
2;ENG;Cumberland;Barbon;;W2.58;N54.23;10;
2;ENG;Cumberland;Barclose;;W2.87;N54.95;10;
2;ENG;Cumberland;Bardsea;;W3.07;N54.15;10;
2;ENG;Cumberland;Barepot;;W3.53;N54.64;10;
2;ENG;Cumberland;Barras;;W2.24;N54.50;10;
2;ENG;Cumberland;Barrow in Furness;;W3.24;N54.11;10;
2;ENG;Cumberland;Barrows Green;;W2.73;N54.28;10;
2;ENG;Cumberland;Bassenthwaite;;W3.19;N54.67;10;
2;ENG;Cumberland;Bassenthwaite Lake;;W3.21;N54.65;10;
2;ENG;Cumberland;Baycliff;;W3.10;N54.13;10;
2;ENG;Cumberland;Bayles;;W2.46;N54.79;10;
2;ENG;Cumberland;Beacon Hill;;W3.21;N54.12;10;
2;ENG;Cumberland;Beanthwaite;;W3.16;N54.24;10;
2;ENG;Cumberland;Beaumont;;W3.03;N54.92;10;
2;ENG;Cumberland;Beck Bottom;;W3.09;N54.24;10;
2;ENG;Cumberland;Beck Foot;;W2.60;N54.35;10;
