"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Derbyshire;Abney;;W1.71;N53.30;10;
2;ENG;Derbyshire;Ainsdale;;W3.04;N53.60;10;
2;ENG;Derbyshire;Aintree;;W2.95;N53.47;10;
2;ENG;Derbyshire;Albert Village;;W1.55;N52.75;10;
2;ENG;Derbyshire;Aldercar;;W1.34;N53.01;10;
2;ENG;Derbyshire;Alderwasley;;W1.53;N53.07;10;
2;ENG;Derbyshire;Aldwark;;W1.67;N53.11;10;
2;ENG;Derbyshire;Alfreton;;W1.38;N53.09;10;
2;ENG;Derbyshire;Alkmonton;;W1.73;N52.93;10;
2;ENG;Derbyshire;Allenton;;W1.46;N52.88;10;
2;ENG;Derbyshire;Allestree;;W1.49;N52.94;10;
2;ENG;Derbyshire;Alport;;W1.67;N53.17;10;
2;ENG;Derbyshire;Alsop en le Dale;;W1.76;N53.09;10;
2;ENG;Derbyshire;Alt;;W2.97;N53.51;10;
2;ENG;Derbyshire;Alton;;W1.46;N53.17;10;
2;ENG;Derbyshire;Alvaston;;W1.43;N52.89;10;
2;ENG;Derbyshire;Ambaston;;W1.37;N52.88;10;
2;ENG;Derbyshire;Amber Valley;;W1.48;N53.06;10;
2;ENG;Derbyshire;Apperknowle;;W1.43;N53.29;10;
2;ENG;Derbyshire;Arkwright Town;;W1.37;N53.22;10;
2;ENG;Derbyshire;Ashford in the Water;;W1.71;N53.21;10;
2;ENG;Derbyshire;Ashgate;;W1.46;N53.23;10;
2;ENG;Derbyshire;Ashobourne;;W1.73;N53.01;10;
2;ENG;Derbyshire;Ashop;;W1.83;N53.40;10;
2;ENG;Derbyshire;Ashopton;;W1.71;N53.37;10;
2;ENG;Derbyshire;Ashover;;W1.49;N53.16;10;
2;ENG;Derbyshire;Ashover Hay;;W1.47;N53.14;10;
2;ENG;Derbyshire;Aston;;W1.73;N53.34;10;
2;ENG;Derbyshire;Aston-on-Trent;;W1.39;N52.85;10;
2;ENG;Derbyshire;Astwith;;W1.34;N53.17;10;
2;ENG;Derbyshire;Atlow;;W1.65;N53.02;10;
2;ENG;Derbyshire;Ault Hucknall;;W1.31;N53.18;10;
2;ENG;Derbyshire;Bagshaw;;W1.89;N53.32;10;
2;ENG;Derbyshire;Bakestone Moor;;W1.22;N53.27;10;
2;ENG;Derbyshire;Bakewell;;W1.68;N53.20;10;
2;ENG;Derbyshire;Ballidon;;W1.70;N53.08;10;
2;ENG;Derbyshire;Bamford;;W1.70;N53.34;10;
2;ENG;Derbyshire;Barber Booth;;W1.83;N53.35;10;
2;ENG;Derbyshire;Bargate;;W1.46;N53.01;10;
2;ENG;Derbyshire;Barlborough;;W1.29;N53.28;10;
2;ENG;Derbyshire;Barlow;;W1.49;N53.26;10;
2;ENG;Derbyshire;Barrow Hill;;W1.38;N53.27;10;
2;ENG;Derbyshire;Barrow upon Trent;;W1.48;N52.84;10;
2;ENG;Derbyshire;Baslow;;W1.62;N53.24;10;
2;ENG;Derbyshire;Beeley;;W1.61;N53.19;10;
2;ENG;Derbyshire;Beighton Hill;;W1.56;N53.05;10;
2;ENG;Derbyshire;Belper;;W1.47;N53.01;10;
