"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Devon;Abbey;;W3.22;N50.88;10;
2;ENG;Devon;Abbey Gate;;W3.00;N50.76;10;
2;ENG;Devon;Abbots Bickington;;W4.30;N50.89;10;
2;ENG;Devon;Abbotsham;;W4.25;N51.01;10;
2;ENG;Devon;Abbotskerswell;;W3.62;N50.50;10;
2;ENG;Devon;Abbotsleigh;;W3.68;N50.31;10;
2;ENG;Devon;Aish;;W3.63;N50.41;10;
2;ENG;Devon;Aish;;W3.84;N50.42;10;
2;ENG;Devon;Alfington;;W3.26;N50.77;10;
2;ENG;Devon;All Saints;;W2.99;N50.80;10;
2;ENG;Devon;Allaleigh;;W3.68;N50.36;10;
2;ENG;Devon;Aller;;W3.59;N50.50;10;
2;ENG;Devon;Aller;;W3.35;N50.84;10;
2;ENG;Devon;Aller Grove;;W3.34;N50.75;10;
2;ENG;Devon;Aller Park;;W3.59;N50.50;10;
2;ENG;Devon;Allercombe;;W3.36;N50.73;10;
2;ENG;Devon;Alminstone Cross;;W4.36;N50.95;10;
2;ENG;Devon;Alphington;;W3.54;N50.69;10;
2;ENG;Devon;Alston;;W2.99;N50.81;10;
2;ENG;Devon;Alswear;;W3.82;N50.98;10;
2;ENG;Devon;Alverdiscott;;W4.12;N51.00;10;
2;ENG;Devon;Alwington;;W4.28;N50.98;10;
2;ENG;Devon;Appledore;;W3.33;N50.91;10;
2;ENG;Devon;Appledore;;W4.19;N51.04;10;
2;ENG;Devon;Arlington;;W3.98;N51.14;10;
2;ENG;Devon;Arlington Beccott;;W3.98;N51.15;10;
2;ENG;Devon;Ash;;W3.64;N50.32;10;
2;ENG;Devon;Ash Hill;;W3.53;N50.54;10;
2;ENG;Devon;Ash Mill;;W3.73;N50.99;10;
2;ENG;Devon;Ash Moor;;W3.72;N50.95;10;
2;ENG;Devon;Ash Thomas;;W3.42;N50.88;10;
2;ENG;Devon;Ashburton;;W3.76;N50.51;10;
2;ENG;Devon;Ashbury;;W4.12;N50.76;10;
2;ENG;Devon;Ashcombe;;W3.54;N50.60;10;
2;ENG;Devon;Ashculme;;W3.22;N50.91;10;
2;ENG;Devon;Ashford;;W4.10;N51.09;10;
2;ENG;Devon;Ashford;;W3.85;N50.31;10;
2;ENG;Devon;Ashill;;W3.30;N50.89;10;
2;ENG;Devon;Ashmansworthy;;W4.37;N50.93;10;
2;ENG;Devon;Ashmill;;W4.28;N50.73;10;
2;ENG;Devon;Ashprington;;W3.67;N50.40;10;
2;ENG;Devon;Ashreigney;;W3.96;N50.90;10;
2;ENG;Devon;Ashridge Court;;W3.90;N50.81;10;
2;ENG;Devon;Ashwater;;W4.29;N50.73;10;
2;ENG;Devon;Ashwell;;W3.56;N50.55;10;
2;ENG;Devon;Atherington;;W4.01;N50.98;10;
2;ENG;Devon;Aunk;;W3.36;N50.79;10;
2;ENG;Devon;Aveton Gifford;;W3.84;N50.30;10;
2;ENG;Devon;Avon;;W3.80;N50.40;10;
2;ENG;Devon;Avonwick;;W3.81;N50.40;10;
2;ENG;Devon;Awliscombe;;W3.23;N50.80;10;
2;ENG;Devon;Axe;;W3.05;N50.72;10;
2;ENG;Devon;Axminster;;W3.00;N50.77;10;
2;ENG;Devon;Axmouth;;W3.06;N50.71;10;
2;ENG;Devon;Axtown;;W4.10;N50.48;10;
2;ENG;Devon;Aylesbeare;;W3.37;N50.71;10;
2;ENG;Devon;Ayshford;;W3.36;N50.92;10;
2;ENG;Devon;Babbacombe;;W3.52;N50.47;10;
2;ENG;Devon;Babeny;;W3.87;N50.55;10;
2;ENG;Devon;Badworthy;;W3.86;N50.43;10;
2;ENG;Devon;Baggy Point;;W4.25;N51.14;10;
2;ENG;Devon;Ballhill;;W4.48;N50.98;10;
2;ENG;Devon;Bampton;;W3.49;N50.98;10;
2;ENG;Devon;Bantham;;W3.88;N50.27;10;
2;ENG;Devon;Barbican;;W4.13;N50.36;10;
2;ENG;Devon;Barbrook;;W3.84;N51.20;10;
2;ENG;Devon;Barne Barton;;W4.19;N50.39;10;
2;ENG;Devon;Barnstaple;;W4.05;N51.07;10;
2;ENG;Devon;Barton;;W3.55;N50.49;10;
2;ENG;Devon;Barton Gate;;W3.88;N51.15;10;
2;ENG;Devon;Barton Town;;W3.88;N51.14;10;
2;ENG;Devon;Barwick;;W4.00;N50.84;10;
2;ENG;Devon;Batherm;;W3.46;N51.00;10;
2;ENG;Devon;Batson;;W3.78;N50.23;10;
2;ENG;Devon;Batsworthy;;W3.68;N50.95;10;
2;ENG;Devon;Battledown Cross;;W4.20;N50.85;10;
2;ENG;Devon;Batworthy;;W3.82;N50.65;10;
2;ENG;Devon;Beacon;;W3.18;N50.83;10;
2;ENG;Devon;Beacon;;W3.09;N50.86;10;
2;ENG;Devon;Beaford;;W4.06;N50.90;10;
2;ENG;Devon;Beare;;W3.44;N50.79;10;
2;ENG;Devon;Beaworthy;;W4.19;N50.76;10;
2;ENG;Devon;Beer;;W3.10;N50.69;10;
2;ENG;Devon;Beer Head;;W3.09;N50.68;10;
2;ENG;Devon;Beesands;;W3.67;N50.24;10;
2;ENG;Devon;Beeson;;W3.67;N50.24;10;
2;ENG;Devon;Bellever;;W3.90;N50.57;10;
2;ENG;Devon;Belsford;;W3.74;N50.41;10;
2;ENG;Devon;Belstone;;W3.97;N50.72;10;
2;ENG;Devon;Belstone Corner;;W3.95;N50.76;10;
2;ENG;Devon;Bennah;;W3.65;N50.64;10;
2;ENG;Devon;Benton;;W3.92;N51.10;10;
2;ENG;Devon;Bentwichen;;W3.81;N51.08;10;
2;ENG;Devon;Bere Alston;;W4.20;N50.47;10;
2;ENG;Devon;Bere Ferrers;;W4.18;N50.44;10;
2;ENG;Devon;Berner's Cross;;W3.94;N50.86;10;
2;ENG;Devon;Berry Cross;;W4.17;N50.90;10;
2;ENG;Devon;Berry Down Cross;;W4.04;N51.16;10;
2;ENG;Devon;Berry Head;;W3.48;N50.39;10;
2;ENG;Devon;Berry Pomeroy;;W3.66;N50.43;10;
2;ENG;Devon;Berrynarbor;;W4.06;N51.19;10;
2;ENG;Devon;Berrysbridge;;W3.53;N50.79;10;
2;ENG;Devon;Bickerton;;W3.66;N50.23;10;
2;ENG;Devon;Bickingcott;;W3.75;N51.03;10;
2;ENG;Devon;Bickington;;W3.70;N50.53;10;
2;ENG;Devon;Bickington;;W4.09;N51.06;10;
2;ENG;Devon;Bickleigh;;W4.08;N50.43;10;
2;ENG;Devon;Bickleigh;;W3.50;N50.85;10;
2;ENG;Devon;Bickleton;;W4.14;N51.05;10;
2;ENG;Devon;Bideford;;W4.22;N51.01;10;
2;ENG;Devon;Bidlake;;W4.13;N50.67;10;
2;ENG;Devon;Bigbury;;W3.88;N50.29;10;
2;ENG;Devon;Bigbury on Sea;;W3.89;N50.28;10;
2;ENG;Devon;Billacombe;;W4.08;N50.36;10;
2;ENG;Devon;Bilsdon;;W3.67;N50.70;10;
2;ENG;Devon;Birchill;;W2.99;N50.82;10;
2;ENG;Devon;Bish Mill;;W3.79;N51.01;10;
2;ENG;Devon;Bishop's Nympton;;W3.78;N50.99;10;
2;ENG;Devon;Bishop's Tawton;;W4.05;N51.05;10;
2;ENG;Devon;Bishopsteignton;;W3.55;N50.54;10;
2;ENG;Devon;Bishopswood;;W3.06;N50.90;10;
2;ENG;Devon;Bittadon;;W4.08;N51.14;10;
2;ENG;Devon;Bittaford;;W3.88;N50.39;10;
2;ENG;Devon;Black Dog;;W3.70;N50.86;10;
2;ENG;Devon;Black Torrington;;W4.18;N50.82;10;
2;ENG;Devon;Blackawton;;W3.68;N50.33;10;
2;ENG;Devon;Blackborough;;W3.29;N50.87;10;
2;ENG;Devon;Blackhorse;;W3.46;N50.72;10;
2;ENG;Devon;Blackmoor Gate;;W3.94;N51.17;10;
2;ENG;Devon;Blackpool;;W3.61;N50.31;10;
2;ENG;Devon;Blackpool;;W4.02;N50.36;10;
2;ENG;Devon;Blackpool;;W3.68;N50.55;10;
2;ENG;Devon;Blackpool Corner;;W2.95;N50.77;10;
2;ENG;Devon;Blackwell;;W3.42;N51.02;10;
2;ENG;Devon;Blagdon;;W3.62;N50.43;10;
2;ENG;Devon;Blannicombe;;W3.20;N50.76;10;
2;ENG;Devon;Blegbury;;W4.52;N51.00;10;
2;ENG;Devon;Boasley Cross;;W4.12;N50.71;10;
2;ENG;Devon;Bocombe;;W4.30;N50.96;10;
2;ENG;Devon;Bodley;;W3.91;N51.18;10;
2;ENG;Devon;Bodmiscombe;;W3.28;N50.87;10;
2;ENG;Devon;Bolberry;;W3.83;N50.23;10;
2;ENG;Devon;Bolham;;W3.49;N50.91;10;
2;ENG;Devon;Bolham Water;;W3.19;N50.90;10;
2;ENG;Devon;Bolt Head;;W3.78;N50.20;10;
2;ENG;Devon;Bolt Tail;;W3.86;N50.23;10;
2;ENG;Devon;Bondleigh;;W3.91;N50.81;10;
2;ENG;Devon;Bonehill;;W3.80;N50.57;10;
2;ENG;Devon;Boode;;W4.14;N51.12;10;
2;ENG;Devon;Bottreaux Mill;;W3.68;N51.02;10;
2;ENG;Devon;Bovey;;W3.81;N50.65;10;
2;ENG;Devon;Bovey Tracey;;W3.68;N50.58;10;
2;ENG;Devon;Bow;;W3.67;N50.39;10;
2;ENG;Devon;Bow;;W3.81;N50.79;10;
2;ENG;Devon;Bowd;;W3.27;N50.70;10;
2;ENG;Devon;Bowden;;W3.63;N50.32;10;
2;ENG;Devon;Bradaford;;W4.28;N50.72;10;
2;ENG;Devon;Bradfield;;W3.35;N50.87;10;
2;ENG;Devon;Bradford;;W4.24;N50.84;10;
2;ENG;Devon;Bradiford;;W4.07;N51.08;10;
2;ENG;Devon;Bradninch;;W3.43;N50.81;10;
2;ENG;Devon;Bradstone;;W4.29;N50.59;10;
2;ENG;Devon;Bradwell;;W4.16;N51.15;10;
2;ENG;Devon;Bradworthy;;W4.39;N50.89;10;
2;ENG;Devon;Brampford Speke;;W3.53;N50.77;10;
2;ENG;Devon;Brandis Corner;;W4.25;N50.80;10;
2;ENG;Devon;Branscombe;;W3.14;N50.68;10;
2;ENG;Devon;Bratton Clovelly;;W4.18;N50.69;10;
2;ENG;Devon;Bratton Fleming;;W3.94;N51.11;10;
2;ENG;Devon;Braunton;;W4.17;N51.10;10;
2;ENG;Devon;Bray;;W3.88;N51.03;10;
2;ENG;Devon;Brayford;;W3.88;N51.09;10;
2;ENG;Devon;Brayfordhill;;W3.88;N51.09;10;
2;ENG;Devon;Brealeys;;W4.07;N50.91;10;
2;ENG;Devon;Brendon;;W4.33;N50.83;10;
2;ENG;Devon;Brendon;;W4.34;N50.89;10;
2;ENG;Devon;Brendon;;W3.77;N51.20;10;
2;ENG;Devon;Brent Mill;;W3.84;N50.41;10;
2;ENG;Devon;Bridestowe;;W4.11;N50.68;10;
2;ENG;Devon;Bridford;;W3.68;N50.66;10;
2;ENG;Devon;Bridfordmills;;W3.65;N50.67;10;
2;ENG;Devon;Bridge Ball;;W3.80;N51.19;10;
2;ENG;Devon;Bridge End;;W3.84;N50.29;10;
2;ENG;Devon;Bridge End;;W3.28;N50.69;10;
2;ENG;Devon;Bridge Reeve;;W3.90;N50.90;10;
2;ENG;Devon;Bridgend;;W4.03;N50.31;10;
2;ENG;Devon;Bridgerule;;W4.45;N50.79;10;
2;ENG;Devon;Bridgetown;;W3.67;N50.42;10;
2;ENG;Devon;Brightley;;W4.00;N50.75;10;
2;ENG;Devon;Brimley;;W3.71;N50.58;10;
2;ENG;Devon;Brimley;;W2.95;N50.79;10;
2;ENG;Devon;Brinsworthy;;W3.78;N51.05;10;
2;ENG;Devon;Brithem Bottom;;W3.40;N50.88;10;
2;ENG;Devon;Brixham;;W3.52;N50.38;10;
2;ENG;Devon;Brixton;;W4.03;N50.35;10;
2;ENG;Devon;Broad Oak;;W3.33;N50.72;10;
2;ENG;Devon;Broad Parkham;;W4.32;N50.97;10;
2;ENG;Devon;Broadbury;;W4.17;N50.74;10;
2;ENG;Devon;Broadclyst;;W3.44;N50.76;10;
2;ENG;Devon;Broadhembury;;W3.27;N50.82;10;
2;ENG;Devon;Broadhempston;;W3.69;N50.48;10;
2;ENG;Devon;Broadlands;;W3.62;N50.52;10;
2;ENG;Devon;Broadsands;;W3.56;N50.40;10;
2;ENG;Devon;Broadwoodkelly;;W3.97;N50.82;10;
2;ENG;Devon;Broadwoodwidger;;W4.25;N50.67;10;
2;ENG;Devon;Brockfield;;W2.99;N50.84;10;
2;ENG;Devon;Brockscombe;;W4.18;N50.72;10;
2;ENG;Devon;Brook;;W4.16;N50.52;10;
2;ENG;Devon;Brook;;W3.70;N50.70;10;
2;ENG;Devon;Brookleigh;;W3.49;N50.77;10;
2;ENG;Devon;Broom;;W2.96;N50.81;10;
2;ENG;Devon;Brownheath;;W3.22;N50.92;10;
2;ENG;Devon;Brownston;;W3.84;N50.35;10;
2;ENG;Devon;Brushford;;W3.89;N50.84;10;
2;ENG;Devon;Brynsworthy;;W4.09;N51.05;10;
2;ENG;Devon;Buckerell;;W3.25;N50.79;10;
2;ENG;Devon;Buckfast;;W3.79;N50.48;10;
2;ENG;Devon;Buckfastleigh;;W3.79;N50.48;10;
2;ENG;Devon;Buckhorn;;W4.31;N50.76;10;
2;ENG;Devon;Buckland;;W3.86;N50.27;10;
2;ENG;Devon;Buckland;;W3.59;N50.52;10;
2;ENG;Devon;Buckland Brewer;;W4.26;N50.95;10;
2;ENG;Devon;Buckland Filleigh;;W4.18;N50.86;10;
2;ENG;Devon;Buckland in the Moor;;W3.80;N50.54;10;
2;ENG;Devon;Buckland Monachorum;;W4.14;N50.49;10;
2;ENG;Devon;Buckleigh;;W4.24;N51.03;10;
2;ENG;Devon;Buck's Cross;;W4.36;N50.98;10;
2;ENG;Devon;Buck's Mills;;W4.35;N50.98;10;
2;ENG;Devon;Budlake;;W3.44;N50.79;10;
2;ENG;Devon;Budleigh Salterton;;W3.33;N50.63;10;
2;ENG;Devon;Bugford;;W4.00;N51.16;10;
2;ENG;Devon;Bulkworthy;;W4.29;N50.90;10;
2;ENG;Devon;Bull Point;;W4.19;N51.19;10;
2;ENG;Devon;Bulverton;;W3.26;N50.68;10;
2;ENG;Devon;Burford;;W4.42;N50.97;10;
2;ENG;Devon;Burlescombe;;W3.32;N50.93;10;
2;ENG;Devon;Burlestone;;W3.65;N50.32;10;
2;ENG;Devon;Burnard's Ho;;W4.40;N50.81;10;
2;ENG;Devon;Burnstone;;W4.39;N50.98;10;
2;ENG;Devon;Burridge;;W2.98;N50.84;10;
2;ENG;Devon;Burridge;;W4.05;N51.09;10;
2;ENG;Devon;Burrington;;W3.95;N50.92;10;
2;ENG;Devon;Burrow;;W3.31;N50.69;10;
2;ENG;Devon;Burrow;;W3.43;N50.76;10;
2;ENG;Devon;Burscott;;W4.40;N50.99;10;
2;ENG;Devon;Bursdon;;W4.47;N50.94;10;
2;ENG;Devon;Burston;;W3.83;N50.80;10;
2;ENG;Devon;Butterleigh;;W3.46;N50.86;10;
2;ENG;Devon;Butts;;W3.70;N50.68;10;
2;ENG;Devon;Cabbacott;;W4.28;N50.96;10;
2;ENG;Devon;Cadbury;;W3.54;N50.82;10;
2;ENG;Devon;Cadeleigh;;W3.55;N50.85;10;
2;ENG;Devon;Caen;;W4.16;N51.08;10;
2;ENG;Devon;Calstock;;W4.21;N50.49;10;
2;ENG;Devon;Calverleigh;;W3.53;N50.91;10;
2;ENG;Devon;Capton;;W3.64;N50.36;10;
2;ENG;Devon;Carey;;W4.32;N50.64;10;
2;ENG;Devon;Carlingwark;;W3.19;N50.91;10;
2;ENG;Devon;Carrhouse;;W3.74;N50.84;10;
2;ENG;Devon;Castle;;W2.95;N50.80;10;
2;ENG;Devon;Caton;;W3.72;N50.52;10;
2;ENG;Devon;Cattedown;;W4.12;N50.35;10;
2;ENG;Devon;Caute;;W4.23;N50.86;10;
2;ENG;Devon;Chaddlehanger;;W4.17;N50.57;10;
2;ENG;Devon;Chaddlewood;;W4.04;N50.38;10;
2;ENG;Devon;Chagford;;W3.84;N50.66;10;
2;ENG;Devon;Challaborough;;W3.89;N50.28;10;
2;ENG;Devon;Challacombe;;W3.87;N51.14;10;
2;ENG;Devon;Chambercombe;;W4.12;N51.20;10;
2;ENG;Devon;Champson;;W3.71;N51.03;10;
2;ENG;Devon;Chantry;;W4.02;N50.98;10;
2;ENG;Devon;Chapelton;;W4.04;N51.01;10;
2;ENG;Devon;Chapmans Well;;W4.33;N50.71;10;
2;ENG;Devon;Chardstock;;W2.99;N50.83;10;
2;ENG;Devon;Charles;;W3.88;N51.07;10;
2;ENG;Devon;Charles Bottom;;W3.88;N51.06;10;
2;ENG;Devon;Chasty;;W4.35;N50.79;10;
2;ENG;Devon;Chawleigh;;W3.83;N50.89;10;
2;ENG;Devon;Cheglinch;;W4.13;N51.16;10;
2;ENG;Devon;Cheldon;;W3.80;N50.90;10;
2;ENG;Devon;Chelfham;;W3.98;N51.09;10;
2;ENG;Devon;Chelston;;W3.56;N50.46;10;
2;ENG;Devon;Cheristow;;W4.49;N50.99;10;
2;ENG;Devon;Cheriton;;W3.81;N51.19;10;
2;ENG;Devon;Cheriton Bishop;;W3.74;N50.72;10;
2;ENG;Devon;Cheriton Cross;;W3.74;N50.71;10;
