"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Dorset;Abbotsbury;;W2.60;N50.66;10;
2;ENG;Dorset;Acton;;W2.02;N50.60;10;
2;ENG;Dorset;Adam's Green;;W2.65;N50.86;10;
2;ENG;Dorset;Adber;;W2.58;N50.97;10;
2;ENG;Dorset;Affpuddle;;W2.28;N50.73;10;
2;ENG;Dorset;Alcester;;W2.21;N50.99;10;
2;ENG;Dorset;Alderholt;;W1.83;N50.90;10;
2;ENG;Dorset;Alderney;;W1.94;N50.74;10;
2;ENG;Dorset;Allen;;W1.98;N50.88;10;
2;ENG;Dorset;Aller;;W2.34;N50.81;10;
2;ENG;Dorset;Allington;;W2.76;N50.73;10;
2;ENG;Dorset;Almer;;W2.12;N50.78;10;
2;ENG;Dorset;Alton Pancras;;W2.44;N50.81;10;
2;ENG;Dorset;Alweston;;W2.48;N50.92;10;
2;ENG;Dorset;Ameysford;;W1.90;N50.81;10;
2;ENG;Dorset;Ammerham;;W2.91;N50.84;10;
2;ENG;Dorset;Anderson;;W2.18;N50.77;10;
2;ENG;Dorset;Ansty Cross;;W2.34;N50.82;10;
2;ENG;Dorset;Arne;;W2.04;N50.69;10;
2;ENG;Dorset;Ash (near Salway);;W2.76;N50.76;10;
2;ENG;Dorset;Ash (near Stourpaine);;W2.20;N50.88;10;
2;ENG;Dorset;Ashford;;W1.81;N50.92;10;
2;ENG;Dorset;Ashington;;W2.00;N50.78;10;
2;ENG;Dorset;Ashley;;W1.81;N50.83;10;
2;ENG;Dorset;Ashley Heath;;W1.84;N50.83;10;
2;ENG;Dorset;Ashmore;;W2.12;N50.95;10;
2;ENG;Dorset;Askerswell;;W2.68;N50.72;10;
2;ENG;Dorset;Athelhampton;;W2.32;N50.74;10;
2;ENG;Dorset;Atrim;;W2.79;N50.75;10;
2;ENG;Dorset;Avon;;W1.79;N50.77;10;
2;ENG;Dorset;Avon;;W1.80;N50.78;10;
2;ENG;Dorset;Axe;;W2.81;N50.84;10;
2;ENG;Dorset;Bagber;;W2.35;N50.91;10;
2;ENG;Dorset;Barrow Hill;;W2.07;N50.76;10;
2;ENG;Dorset;Batcombe;;W2.55;N50.83;10;
2;ENG;Dorset;Bay;;W2.27;N51.03;10;
2;ENG;Dorset;Beacon Hill;;W2.04;N50.74;10;
2;ENG;Dorset;Beaminster;;W2.75;N50.80;10;
2;ENG;Dorset;Bear Cross;;W1.93;N50.76;10;
2;ENG;Dorset;Bearwood;;W1.93;N50.77;10;
2;ENG;Dorset;Beaulieu Wood;;W2.42;N50.85;10;
2;ENG;Dorset;Bedchester;;W2.21;N50.95;10;
2;ENG;Dorset;Beer Hackett;;W2.58;N50.89;10;
2;ENG;Dorset;Belchalwell;;W2.29;N50.88;10;
2;ENG;Dorset;Belchalwell Street;;W2.29;N50.88;10;
2;ENG;Dorset;Benville;;W2.65;N50.82;10;
2;ENG;Dorset;Bere Regis;;W2.22;N50.75;10;
2;ENG;Dorset;Bettiscombe;;W2.86;N50.79;10;
2;ENG;Dorset;Bill Of Portland;;W2.45;N50.51;10;
2;ENG;Dorset;Bincombe;;W2.45;N50.65;10;
2;ENG;Dorset;Binnegar;;W2.18;N50.68;10;
2;ENG;Dorset;Birdsmoorgate;;W2.86;N50.79;10;
2;ENG;Dorset;Bishop's Caundle;;W2.44;N50.91;10;
2;ENG;Dorset;Bishop's Down;;W2.47;N50.90;10;
2;ENG;Dorset;Bittles Green;;W2.21;N51.01;10;
2;ENG;Dorset;Blackdown;;W2.86;N50.82;10;
2;ENG;Dorset;Blackney;;W2.82;N50.78;10;
2;ENG;Dorset;Blacknoll;;W2.28;N50.67;10;
2;ENG;Dorset;Blandford Camp;;W2.11;N50.87;10;
2;ENG;Dorset;Blandford Forum;;W2.17;N50.85;10;
2;ENG;Dorset;Blandford St Mary;;W2.17;N50.84;10;
2;ENG;Dorset;Bloxworth;;W2.17;N50.74;10;
2;ENG;Dorset;Bluntshay;;W2.83;N50.76;10;
2;ENG;Dorset;Bookham;;W2.42;N50.83;10;
2;ENG;Dorset;Borough The;;W2.42;N50.89;10;
2;ENG;Dorset;Bothenhampton;;W2.76;N50.71;10;
2;ENG;Dorset;Bourne Valley;;W1.91;N50.73;10;
2;ENG;Dorset;Bourton;;W2.34;N51.06;10;
2;ENG;Dorset;Boveridge;;W1.91;N50.92;10;
2;ENG;Dorset;Bovington Camp;;W2.24;N50.70;10;
2;ENG;Dorset;Bowden;;W2.32;N51.00;10;
2;ENG;Dorset;Bowridge Hill;;W2.27;N51.04;10;
2;ENG;Dorset;Boys Hill;;W2.47;N50.88;10;
2;ENG;Dorset;Bradford Abbas;;W2.59;N50.92;10;
2;ENG;Dorset;Bradford Peverell;;W2.49;N50.72;10;
2;ENG;Dorset;Bradpole;;W2.75;N50.74;10;
2;ENG;Dorset;Bramblecombe;;W2.32;N50.79;10;
2;ENG;Dorset;Branksome;;W1.93;N50.72;10;
2;ENG;Dorset;Branksome Park;;W1.93;N50.70;10;
2;ENG;Dorset;Bransgore;;W1.74;N50.77;10;
2;ENG;Dorset;Braytown;;W2.24;N50.67;10;
