"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Durham;Annfield Plain;;W1.73;N54.85;10;
2;ENG;Durham;Archdeacon Newton;;W1.61;N54.54;10;
2;ENG;Durham;Arn Gill;;W1.91;N54.61;10;
2;ENG;Durham;Aukside;;W2.09;N54.62;10;
2;ENG;Durham;Aycliffe Village;;W1.56;N54.59;10;
2;ENG;Durham;Aykley Heads;;W1.59;N54.78;10;
2;ENG;Durham;Balder;;W2.04;N54.57;10;
2;ENG;Durham;Balderhead Reservoir;;W2.14;N54.55;10;
2;ENG;Durham;Barley Mow;;W1.58;N54.88;10;
2;ENG;Durham;Barmpton;;W1.52;N54.55;10;
2;ENG;Durham;Barnard Castle;;W1.92;N54.53;10;
2;ENG;Durham;Barningham;;W1.87;N54.48;10;
2;ENG;Durham;Beamish;;W1.65;N54.87;10;
2;ENG;Durham;Bearpark;;W1.64;N54.78;10;
2;ENG;Durham;Beaumont Hill;;W1.55;N54.55;10;
2;ENG;Durham;Bedburn;;W1.84;N54.67;10;
2;ENG;Durham;Belmont;;W1.53;N54.78;10;
2;ENG;Durham;Benfieldside;;W1.86;N54.86;10;
2;ENG;Durham;Bildershaw;;W1.69;N54.61;10;
2;ENG;Durham;Billy Row;;W1.75;N54.72;10;
2;ENG;Durham;Binchester Blocks;;W1.66;N54.68;10;
2;ENG;Durham;Bishop Auckland;;W1.69;N54.64;10;
2;ENG;Durham;Bishop Auckland;;W1.70;N54.64;10;
2;ENG;Durham;Bishop Middleham;;W1.48;N54.67;10;
2;ENG;Durham;Bishopton;;W1.44;N54.58;10;
2;ENG;Durham;Black Banks;;W1.55;N54.50;10;
2;ENG;Durham;Blackgill Burn;;W1.74;N54.81;10;
2;ENG;Durham;Blackhall Colliery;;W1.30;N54.74;10;
2;ENG;Durham;Blackhall Mill;;W1.82;N54.89;10;
2;ENG;Durham;Blackhall Rocks;;W1.28;N54.73;10;
2;ENG;Durham;Blackhill;;W1.86;N54.85;10;
2;ENG;Durham;Bolam;;W1.70;N54.59;10;
2;ENG;Durham;Boldron;;W1.95;N54.52;10;
2;ENG;Durham;Bollihope;;W2.00;N54.70;10;
2;ENG;Durham;Boltshope Park;;W2.09;N54.81;10;
2;ENG;Durham;Bournmoor;;W1.51;N54.85;10;
2;ENG;Durham;Bowbank;;W2.09;N54.60;10;
2;ENG;Durham;Bowburn;;W1.53;N54.73;10;
2;ENG;Durham;Bowes;;W2.01;N54.51;10;
2;ENG;Durham;Bowlees;;W2.15;N54.64;10;
2;ENG;Durham;Bradbury;;W1.52;N54.64;10;
2;ENG;Durham;Brafferton;;W1.55;N54.58;10;
