"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Hampshire;Abbots Worthy;;W1.30;N51.08;10;
2;ENG;Hampshire;Abbotstone;;W1.20;N51.10;10;
2;ENG;Hampshire;Abbotswood;;W1.48;N51.00;10;
2;ENG;Hampshire;Abbotts Ann;;W1.54;N51.18;10;
2;ENG;Hampshire;Abshot;;W1.27;N50.84;10;
2;ENG;Hampshire;Aldermoor;;W1.44;N50.93;10;
2;ENG;Hampshire;Aldershot;;W0.76;N51.24;10;
2;ENG;Hampshire;Allbrook;;W1.36;N50.98;10;
2;ENG;Hampshire;Alton;;W0.98;N51.14;10;
2;ENG;Hampshire;Alverstoke;;W1.16;N50.77;10;
2;ENG;Hampshire;Ampfield;;W1.43;N51.00;10;
2;ENG;Hampshire;Amport;;W1.58;N51.19;10;
2;ENG;Hampshire;Anchorage Park;;W1.05;N50.82;10;
2;ENG;Hampshire;Andover;;W1.48;N51.20;10;
2;ENG;Hampshire;Andover Down;;W1.44;N51.20;10;
2;ENG;Hampshire;Andwell;;W1.01;N51.26;10;
2;ENG;Hampshire;Anmore;;W1.04;N50.89;10;
2;ENG;Hampshire;Anna Valley;;W1.51;N51.18;10;
2;ENG;Hampshire;Ann's Hill;;W1.16;N50.79;10;
2;ENG;Hampshire;Anthill Common;;W1.09;N50.90;10;
2;ENG;Hampshire;Anton;;W1.37;N51.21;10;
2;ENG;Hampshire;Applemore;;W1.44;N50.86;10;
2;ENG;Hampshire;Appleshaw;;W1.57;N51.23;10;
2;ENG;Hampshire;Arford;;W0.82;N51.11;10;
2;ENG;Hampshire;Ashansworth;;W1.41;N51.31;10;
2;ENG;Hampshire;Ashe;;W1.24;N51.24;10;
2;ENG;Hampshire;Ashfield;;W1.48;N50.96;10;
2;ENG;Hampshire;Ashford Hill;;W1.21;N51.35;10;
2;ENG;Hampshire;Ashlett;;W1.34;N50.82;10;
2;ENG;Hampshire;Ashley;;W1.64;N50.75;10;
2;ENG;Hampshire;Ashley;;W1.45;N51.06;10;
2;ENG;Hampshire;Ashley Clinton;;W1.63;N50.73;10;
2;ENG;Hampshire;Ashton;;W1.23;N50.96;10;
2;ENG;Hampshire;Ashurst;;W1.53;N50.88;10;
2;ENG;Hampshire;Ashurst Bridge;;W1.51;N50.90;10;
2;ENG;Hampshire;Avington;;W1.24;N51.08;10;
2;ENG;Hampshire;Avon;;W1.77;N50.94;10;
2;ENG;Hampshire;Avon Water;;W1.61;N50.78;10;
2;ENG;Hampshire;Awbridge;;W1.53;N51.00;10;
2;ENG;Hampshire;Axford;;W1.12;N51.18;10;
2;ENG;Hampshire;Axmansford;;W1.19;N51.34;10;
2;ENG;Hampshire;Baffins;;W1.06;N50.80;10;
2;ENG;Hampshire;Bagmore;;W1.05;N51.19;10;
2;ENG;Hampshire;Bailey Green;;W1.05;N51.03;10;
2;ENG;Hampshire;Ball Hill;;W1.39;N51.36;10;
2;ENG;Hampshire;Balmerlawn;;W1.57;N50.82;10;
2;ENG;Hampshire;Bank;;W1.60;N50.86;10;
2;ENG;Hampshire;Bar End;;W1.31;N51.04;10;
2;ENG;Hampshire;Barford;;W0.78;N51.12;10;
2;ENG;Hampshire;Bartley;;W1.57;N50.91;10;
2;ENG;Hampshire;Barton on Sea;;W1.67;N50.73;10;
2;ENG;Hampshire;Barton Stacey;;W1.38;N51.16;10;
2;ENG;Hampshire;Bashley;;W1.66;N50.77;10;
2;ENG;Hampshire;Bashley Park;;W1.66;N50.77;10;
2;ENG;Hampshire;Basingstoke;;W1.09;N51.26;10;
2;ENG;Hampshire;Basingstoke Canal;;W1.00;N51.26;10;
2;ENG;Hampshire;Bassett;;W1.41;N50.94;10;
2;ENG;Hampshire;Bassett Green;;W1.40;N50.94;10;
2;ENG;Hampshire;Battramsley;;W1.57;N50.78;10;
2;ENG;Hampshire;Battramsley Cross;;W1.56;N50.78;10;
2;ENG;Hampshire;Batt's Corner;;W0.84;N51.16;10;
2;ENG;Hampshire;Baughurst;;W1.16;N51.33;10;
2;ENG;Hampshire;Baybridge;;W1.26;N51.00;10;
2;ENG;Hampshire;Beaulieu;;W1.46;N50.81;10;
2;ENG;Hampshire;Beauworth;;W1.18;N51.02;10;
2;ENG;Hampshire;Beckley;;W1.68;N50.76;10;
2;ENG;Hampshire;Bedhampton;;W1.00;N50.84;10;
2;ENG;Hampshire;Beech;;W1.01;N51.13;10;
2;ENG;Hampshire;Bell Hill;;W0.94;N51.01;10;
2;ENG;Hampshire;Bentley;;W0.88;N51.19;10;
2;ENG;Hampshire;Bentworth;;W1.05;N51.15;10;
