"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Hertfordshire;Abbots Langley;;W0.42;N51.69;10;
2;ENG;Hertfordshire;Adeyfield;;W0.45;N51.75;10;
2;ENG;Hertfordshire;Albury;;E0.07;N51.89;10;
2;ENG;Hertfordshire;Albury End;;E0.06;N51.88;10;
2;ENG;Hertfordshire;Aldbury;;W0.60;N51.79;10;
2;ENG;Hertfordshire;Aldenham;;W0.36;N51.66;10;
2;ENG;Hertfordshire;Aley Green;;W0.46;N51.85;10;
2;ENG;Hertfordshire;Allen's Green;;E0.10;N51.82;10;
2;ENG;Hertfordshire;Amwell;;W0.31;N51.80;10;
2;ENG;Hertfordshire;Ansells End;;W0.33;N51.84;10;
2;ENG;Hertfordshire;Anstey;;E0.03;N51.96;10;
2;ENG;Hertfordshire;Apsley;;W0.48;N51.73;10;
2;ENG;Hertfordshire;Ardeley;;W0.11;N51.92;10;
2;ENG;Hertfordshire;Arkley;;W0.23;N51.64;10;
2;ENG;Hertfordshire;Ashwell;;W0.16;N52.03;10;
2;ENG;Hertfordshire;Ashwell End;;W0.17;N52.04;10;
2;ENG;Hertfordshire;Aspenden;;W0.03;N51.93;10;
2;ENG;Hertfordshire;Aston;;W0.15;N51.88;10;
2;ENG;Hertfordshire;Aston End;;W0.15;N51.90;10;
2;ENG;Hertfordshire;Ayot Green;;W0.24;N51.81;10;
2;ENG;Hertfordshire;Ayot St Lawrence;;W0.27;N51.83;10;
2;ENG;Hertfordshire;Ayot St Peter;;W0.24;N51.82;10;
2;ENG;Hertfordshire;Ayres End;;W0.33;N51.79;10;
2;ENG;Hertfordshire;Babbs Green;;E0.01;N51.82;10;
2;ENG;Hertfordshire;Bakers End;;E0.01;N51.82;10;
2;ENG;Hertfordshire;Baldock;;W0.19;N51.98;10;
2;ENG;Hertfordshire;Baldock;;W0.19;N51.99;10;
2;ENG;Hertfordshire;Barkway;;E0.01;N51.99;10;
2;ENG;Hertfordshire;Barley;;E0.03;N52.02;10;
2;ENG;Hertfordshire;Barleycroft End;;E0.07;N51.92;10;
2;ENG;Hertfordshire;Barnet Gate;;W0.25;N51.64;10;
2;ENG;Hertfordshire;Barwick;;E0.00;N51.85;10;
2;ENG;Hertfordshire;Bassus Green;;W0.11;N51.90;10;
2;ENG;Hertfordshire;Batchworth;;W0.46;N51.63;10;
2;ENG;Hertfordshire;Batchworth Heath;;W0.45;N51.61;10;
2;ENG;Hertfordshire;Batford;;W0.34;N51.82;10;
2;ENG;Hertfordshire;Batlers Green;;W0.33;N51.66;10;
2;ENG;Hertfordshire;Bayford;;W0.11;N51.75;10;
2;ENG;Hertfordshire;Beane;;W0.09;N51.83;10;
2;ENG;Hertfordshire;Bedmond;;W0.42;N51.71;10;
2;ENG;Hertfordshire;Bedwell;;W0.19;N51.90;10;
2;ENG;Hertfordshire;Bell Bar;;W0.19;N51.73;10;
2;ENG;Hertfordshire;Belsize;;W0.51;N51.68;10;
2;ENG;Hertfordshire;Bendish;;W0.31;N51.87;10;
2;ENG;Hertfordshire;Bengeo;;W0.08;N51.80;10;
2;ENG;Hertfordshire;Benington;;W0.11;N51.89;10;
2;ENG;Hertfordshire;Bennetts End;;W0.46;N51.73;10;
2;ENG;Hertfordshire;Bentley Heath;;W0.20;N51.67;10;
2;ENG;Hertfordshire;Berkhamsted;;W0.58;N51.76;10;
2;ENG;Hertfordshire;Bernards Heath;;W0.33;N51.75;10;
2;ENG;Hertfordshire;Birch Green;;W0.13;N51.78;10;
2;ENG;Hertfordshire;Birchwood;;W0.23;N51.76;10;
2;ENG;Hertfordshire;Bishop's Stortford;;E0.16;N51.86;10;
2;ENG;Hertfordshire;Blackmore End;;W0.31;N51.83;10;
2;ENG;Hertfordshire;Blue Hill;;W0.12;N51.86;10;
2;ENG;Hertfordshire;Borehamwood;;W0.28;N51.65;10;
2;ENG;Hertfordshire;Bourne End;;W0.52;N51.74;10;
2;ENG;Hertfordshire;Bovingdon;;W0.53;N51.71;10;
2;ENG;Hertfordshire;Bovingdon Green;;W0.53;N51.70;10;
2;ENG;Hertfordshire;Bower Heath;;W0.34;N51.83;10;
2;ENG;Hertfordshire;Boxmoor;;W0.49;N51.74;10;
2;ENG;Hertfordshire;Bozen Green;;E0.03;N51.92;10;
2;ENG;Hertfordshire;Bragbury End;;W0.17;N51.87;10;
2;ENG;Hertfordshire;Bramfield;;W0.12;N51.81;10;
2;ENG;Hertfordshire;Braughing;;E0.01;N51.89;10;
2;ENG;Hertfordshire;Braughing Friars;;E0.04;N51.89;10;
2;ENG;Hertfordshire;Breachwood Green;;W0.33;N51.88;10;
2;ENG;Hertfordshire;Brent Pelham;;E0.07;N51.95;10;
2;ENG;Hertfordshire;Brent Reservoir;;W0.24;N51.57;10;
2;ENG;Hertfordshire;Brickendon;;W0.08;N51.74;10;
2;ENG;Hertfordshire;Bricket Wood;;W0.36;N51.70;10;
2;ENG;Hertfordshire;Broad Colney;;W0.30;N51.71;10;
2;ENG;Hertfordshire;Broadgreen Wood;;W0.10;N51.76;10;
2;ENG;Hertfordshire;Broadoak End;;W0.11;N51.80;10;
2;ENG;Hertfordshire;Broadwater;;W0.18;N51.88;10;
2;ENG;Hertfordshire;Broken Green;;E0.04;N51.87;10;
2;ENG;Hertfordshire;Bromley;;E0.04;N51.87;10;
2;ENG;Hertfordshire;Brook End;;W0.08;N51.93;10;
2;ENG;Hertfordshire;Brookmans Park;;W0.20;N51.72;10;
2;ENG;Hertfordshire;Broxbourne;;W0.03;N51.74;10;
2;ENG;Hertfordshire;Brunswick Park;;W0.15;N51.62;10;
2;ENG;Hertfordshire;Buckland;;W0.03;N51.97;10;
2;ENG;Hertfordshire;Bucks Hill;;W0.48;N51.68;10;
2;ENG;Hertfordshire;Bulbourne;;W0.65;N51.80;10;
2;ENG;Hertfordshire;Bullen's Green;;W0.24;N51.73;10;
2;ENG;Hertfordshire;Bull's Green;;W0.15;N51.83;10;
2;ENG;Hertfordshire;Bulstrode;;W0.51;N51.70;10;
2;ENG;Hertfordshire;Buntingford;;W0.02;N51.94;10;
2;ENG;Hertfordshire;Burge End;;W0.34;N51.97;10;
2;ENG;Hertfordshire;Burnham Green;;W0.17;N51.82;10;
2;ENG;Hertfordshire;Burn's Green;;W0.11;N51.88;10;
2;ENG;Hertfordshire;Burnt Oak;;W0.26;N51.60;10;
2;ENG;Hertfordshire;Bury Green;;W0.06;N51.69;10;
2;ENG;Hertfordshire;Bury Green;;E0.10;N51.86;10;
2;ENG;Hertfordshire;Bushey;;W0.36;N51.64;10;
2;ENG;Hertfordshire;Bushey Heath;;W0.33;N51.63;10;
2;ENG;Hertfordshire;Bygrave;;W0.16;N51.99;10;
2;ENG;Hertfordshire;Cadwell;;W0.28;N51.97;10;
2;ENG;Hertfordshire;Caldecote;;W0.20;N52.02;10;
2;ENG;Hertfordshire;Caldecote Hill;;W0.33;N51.63;10;
2;ENG;Hertfordshire;Cam (Rhee);;W0.19;N52.04;10;
2;ENG;Hertfordshire;Carpenders Park;;W0.38;N51.62;10;
2;ENG;Hertfordshire;Chandler's Cross;;W0.46;N51.67;10;
2;ENG;Hertfordshire;Chapel Green;;W0.04;N51.99;10;
2;ENG;Hertfordshire;Chapmore End;;W0.08;N51.82;10;
2;ENG;Hertfordshire;Charlton;;W0.29;N51.93;10;
2;ENG;Hertfordshire;Chaulden;;W0.50;N51.74;10;
