"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Isle of Wight;Adgestone;;W1.16;N50.66;10;
2;ENG;Isle of Wight;Afton;;W1.52;N50.67;10;
2;ENG;Isle of Wight;Alverstone;;W1.19;N50.66;10;
2;ENG;Isle of Wight;Appley;;W1.15;N50.72;10;
2;ENG;Isle of Wight;Apse Heath;;W1.20;N50.64;10;
2;ENG;Isle of Wight;Arreton;;W1.23;N50.67;10;
2;ENG;Isle of Wight;Ashey;;W1.19;N50.69;10;
2;ENG;Isle of Wight;Atherfield Green;;W1.35;N50.60;10;
2;ENG;Isle of Wight;Barton;;W1.29;N50.69;10;
2;ENG;Isle of Wight;Bembridge;;W1.09;N50.67;10;
2;ENG;Isle of Wight;Bierley;;W1.28;N50.59;10;
2;ENG;Isle of Wight;Binstead;;W1.19;N50.72;10;
2;ENG;Isle of Wight;Blackgang;;W1.32;N50.58;10;
2;ENG;Isle of Wight;Blackwater;;W1.29;N50.67;10;
2;ENG;Isle of Wight;Bonchurch;;W1.19;N50.59;10;
2;ENG;Isle of Wight;Bouldnor;;W1.47;N50.69;10;
2;ENG;Isle of Wight;Bowcombe;;W1.35;N50.67;10;
2;ENG;Isle of Wight;Brading;;W1.15;N50.67;10;
2;ENG;Isle of Wight;Branstone;;W1.22;N50.64;10;
2;ENG;Isle of Wight;Brighstone;;W1.40;N50.63;10;
2;ENG;Isle of Wight;Brook;;W1.44;N50.64;10;
2;ENG;Isle of Wight;Brookgreen;;W1.46;N50.64;10;
2;ENG;Isle of Wight;Calbourne;;W1.40;N50.67;10;
2;ENG;Isle of Wight;Carisbrooke;;W1.32;N50.68;10;
2;ENG;Isle of Wight;Chale;;W1.32;N50.59;10;
2;ENG;Isle of Wight;Chale Green;;W1.32;N50.60;10;
2;ENG;Isle of Wight;Chillerton;;W1.32;N50.65;10;
2;ENG;Isle of Wight;Clatterford;;W1.32;N50.68;10;
2;ENG;Isle of Wight;Cowes;;W1.30;N50.75;10;
2;ENG;Isle of Wight;Cranmore;;W1.44;N50.70;10;
2;ENG;Isle of Wight;Cridmore;;W1.30;N50.63;10;
2;ENG;Isle of Wight;Dallimores;;W1.26;N50.73;10;
