"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Isles of Scilly;Annet;;W6.36;N49.89;10;
2;ENG;Isles of Scilly;Borough;;W6.33;N49.94;10;
2;ENG;Isles of Scilly;Bryher;;W6.35;N49.95;10;
2;ENG;Isles of Scilly;Gugh;;W6.32;N49.89;10;
2;ENG;Isles of Scilly;Higher Town;;W6.29;N49.95;10;
2;ENG;Isles of Scilly;Holy Vale;;W6.29;N49.91;10;
2;ENG;Isles of Scilly;Hugh Town;;W6.31;N49.90;10;
2;ENG;Isles of Scilly;;;W6.29;N49.92;10;
2;ENG;Isles of Scilly;Lower Town;;W6.31;N49.96;10;
2;ENG;Isles of Scilly;Maypole;;W6.29;N49.91;10;
2;ENG;Isles of Scilly;Middle Town;;W6.29;N49.96;10;
2;ENG;Isles of Scilly;New Grimsby;;W6.35;N49.95;10;
2;ENG;Isles of Scilly;Northward;;W6.31;N49.95;10;
2;ENG;Isles of Scilly;Northward;;W6.33;N49.95;10;
2;ENG;Isles of Scilly;Old Grimsby;;W6.33;N49.95;10;
2;ENG;Isles of Scilly;Old Town;;W6.30;N49.91;10;
2;ENG;Isles of Scilly;Pool;;W6.36;N49.94;10;
2;ENG;Isles of Scilly;Porthloo;;W6.32;N49.91;10;
2;ENG;Isles of Scilly;Rocky Hill;;W6.30;N49.91;10;
2;ENG;Isles of Scilly;Samson;;W6.34;N49.93;10;
2;ENG;Isles of Scilly;St Agnes;;W6.34;N49.89;10;
2;ENG;Isles of Scilly;St Helen;;W6.32;N49.97;10;
2;ENG;Isles of Scilly;St Martin's;;W6.27;N49.96;10;
2;ENG;Isles of Scilly;St Mary's;;W6.29;N49.92;10;
2;ENG;Isles of Scilly;Tean;;W6.31;N49.96;10;
2;ENG;Isles of Scilly;The Town;;W6.36;N49.95;10;
2;ENG;Isles of Scilly;Tresco;;W6.33;N49.95;10;
2;ENG;Isles of Scilly;White Island;;W6.28;N49.97;10;
