"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Kent;Abbey Gate;;E0.50;N51.29;10;
2;ENG;Kent;Abbey Wood;;E0.10;N51.48;10;
2;ENG;Kent;Acol;;E1.30;N51.35;10;
2;ENG;Kent;Addington;;E0.36;N51.30;10;
2;ENG;Kent;Adisham;;E1.17;N51.23;10;
2;ENG;Kent;Aldington;;E0.94;N51.08;10;
2;ENG;Kent;Aldington Frith;;E0.91;N51.08;10;
2;ENG;Kent;Alkham;;E1.21;N51.13;10;
2;ENG;Kent;Allhallows;;E0.63;N51.46;10;
2;ENG;Kent;Allhallows-on-Sea;;E0.63;N51.47;10;
2;ENG;Kent;Allington;;E0.49;N51.28;10;
2;ENG;Kent;Anvil Green;;E1.00;N51.20;10;
2;ENG;Kent;Appledore;;E0.77;N51.02;10;
2;ENG;Kent;Appledore Heath;;E0.78;N51.03;10;
2;ENG;Kent;Arpinge;;E1.12;N51.10;10;
2;ENG;Kent;Ash (near Sandwich);;E1.28;N51.27;10;
2;ENG;Kent;Ashbank;;E0.60;N51.24;10;
2;ENG;Kent;Ash-cum-Ridley;;E0.29;N51.35;10;
2;ENG;Kent;Ashford;;E0.85;N51.14;10;
2;ENG;Kent;Ashley;;E1.29;N51.18;10;
2;ENG;Kent;Ashurst;;E0.15;N51.12;10;
2;ENG;Kent;Avery Hill;;E0.07;N51.44;10;
2;ENG;Kent;Aycliff;;E1.28;N51.11;10;
2;ENG;Kent;Aylesford;;E0.46;N51.29;10;
2;ENG;Kent;Aylesham;;E1.19;N51.22;10;
2;ENG;Kent;Badgers Mount;;E0.13;N51.33;10;
2;ENG;Kent;Badlesmere;;E0.86;N51.24;10;
2;ENG;Kent;Bagham;;E0.96;N51.23;10;
2;ENG;Kent;Baker's Cross;;E0.54;N51.08;10;
2;ENG;Kent;Bapchild;;E0.75;N51.32;10;
2;ENG;Kent;Barden Park;;E0.24;N51.19;10;
2;ENG;Kent;Barfrestone;;E1.23;N51.20;10;
2;ENG;Kent;Barham;;E1.14;N51.20;10;
2;ENG;Kent;Barming Heath;;E0.46;N51.26;10;
2;ENG;Kent;Barnehurst;;E0.15;N51.45;10;
2;ENG;Kent;Barnes Cray;;E0.18;N51.45;10;
2;ENG;Kent;Barnes Street;;E0.34;N51.20;10;
2;ENG;Kent;Barnfield;;E0.74;N51.19;10;
2;ENG;Kent;Barnsole;;E1.25;N51.25;10;
2;ENG;Kent;Barrow Green;;E0.79;N51.33;10;
2;ENG;Kent;Barrowhill;;E0.99;N51.09;10;
2;ENG;Kent;Basted;;E0.29;N51.27;10;
2;ENG;Kent;Bay View;;E0.88;N51.39;10;
2;ENG;Kent;Bayley's Hill;;E0.16;N51.23;10;
2;ENG;Kent;Beacon Hill;;E0.59;N51.05;10;
