"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Lancashire;Abbey Village;;W2.54;N53.69;10;
2;ENG;Lancashire;Abbeystead;;W2.67;N53.98;10;
2;ENG;Lancashire;Abraham Heights;;W2.82;N54.04;10;
2;ENG;Lancashire;Abram;;W2.60;N53.50;10;
2;ENG;Lancashire;Accrington;;W2.38;N53.74;10;
2;ENG;Lancashire;Adlington;;W2.60;N53.61;10;
2;ENG;Lancashire;Adlington Park;;W2.63;N53.59;10;
2;ENG;Lancashire;Adswood;;W2.18;N53.38;10;
2;ENG;Lancashire;Affetside;;W2.37;N53.61;10;
2;ENG;Lancashire;Aigburth;;W2.93;N53.36;10;
2;ENG;Lancashire;Ainsworth;;W2.36;N53.58;10;
2;ENG;Lancashire;Aldcliffe;;W2.82;N54.03;10;
2;ENG;Lancashire;Alkrington Garden Village;;W2.19;N53.53;10;
2;ENG;Lancashire;Allerton;;W2.88;N53.36;10;
2;ENG;Lancashire;Alt;;W2.87;N53.50;10;
2;ENG;Lancashire;Altham;;W2.35;N53.78;10;
2;ENG;Lancashire;Altrincham;;W2.36;N53.37;10;
2;ENG;Lancashire;Anchorsholme;;W3.03;N53.87;10;
2;ENG;Lancashire;Anderton;;W2.60;N53.61;10;
2;ENG;Lancashire;Andertons Mill;;W2.74;N53.62;10;
2;ENG;Lancashire;Anfield;;W2.94;N53.43;10;
2;ENG;Lancashire;Ansdell;;W3.00;N53.74;10;
2;ENG;Lancashire;Appley Bridge;;W2.72;N53.57;10;
2;ENG;Lancashire;Arden Park;;W2.13;N53.41;10;
2;ENG;Lancashire;Arkholme;;W2.64;N54.13;10;
2;ENG;Lancashire;Arrowe Hill;;W3.09;N53.37;10;
2;ENG;Lancashire;Artle Beck;;W2.65;N54.04;10;
2;ENG;Lancashire;Ashton Upon Mersey;;W2.33;N53.42;10;
2;ENG;Lancashire;Ashton-in-Makerfield;;W2.64;N53.48;10;
2;ENG;Lancashire;Ashurst;;W2.78;N53.55;10;
2;ENG;Lancashire;Aspull;;W2.59;N53.56;10;
2;ENG;Lancashire;Aspult Common;;W2.55;N53.47;10;
2;ENG;Lancashire;Astley;;W2.45;N53.49;10;
2;ENG;Lancashire;Astley Bridge;;W2.43;N53.60;10;
