"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Lincolnshire;Aby;;E0.11;N53.28;10;
2;ENG;Lincolnshire;Addlethorpe;;E0.30;N53.18;10;
2;ENG;Lincolnshire;Ailby;;E0.14;N53.26;10;
2;ENG;Lincolnshire;Aire;;W1.02;N53.69;10;
2;ENG;Lincolnshire;Aire and Calder Navigation;;W1.00;N53.66;10;
2;ENG;Lincolnshire;Aisby;;W0.49;N52.93;10;
2;ENG;Lincolnshire;Aisby;;W0.69;N53.41;10;
2;ENG;Lincolnshire;Aisthorpe;;W0.59;N53.30;10;
2;ENG;Lincolnshire;Alford;;E0.17;N53.25;10;
2;ENG;Lincolnshire;Algakirk;;W0.08;N52.89;10;
2;ENG;Lincolnshire;Alkborough;;W0.66;N53.67;10;
2;ENG;Lincolnshire;Allington;;W0.73;N52.95;10;
2;ENG;Lincolnshire;Althorpe;;W0.74;N53.57;10;
2;ENG;Lincolnshire;Alvingham;;E0.04;N53.39;10;
2;ENG;Lincolnshire;Amcotts;;W0.71;N53.61;10;
2;ENG;Lincolnshire;Ancaster;;W0.54;N52.97;10;
2;ENG;Lincolnshire;Anderby;;E0.27;N53.25;10;
2;ENG;Lincolnshire;Anderby Creek;;E0.30;N53.25;10;
2;ENG;Lincolnshire;Anton's Gowt;;W0.06;N53.00;10;
2;ENG;Lincolnshire;Anwick;;W0.34;N53.03;10;
2;ENG;Lincolnshire;Apley;;W0.35;N53.26;10;
2;ENG;Lincolnshire;Appleby;;W0.56;N53.61;10;
2;ENG;Lincolnshire;Asgarby;;W0.34;N52.99;10;
2;ENG;Lincolnshire;Asgarby;;W0.01;N53.17;10;
2;ENG;Lincolnshire;Ashby;;W0.65;N53.56;10;
2;ENG;Lincolnshire;Ashby by Partney;;E0.12;N53.17;10;
2;ENG;Lincolnshire;Ashby cum Fenby;;W0.11;N53.48;10;
2;ENG;Lincolnshire;Ashby de la Launde;;W0.43;N53.08;10;
2;ENG;Lincolnshire;Ashby Hill;;W0.13;N53.48;10;
2;ENG;Lincolnshire;Ashby Puerorum;;W0.02;N53.22;10;
2;ENG;Lincolnshire;Ashington End;;E0.27;N53.16;10;
2;ENG;Lincolnshire;Aslackby;;W0.39;N52.85;10;
2;ENG;Lincolnshire;Asperton;;W0.12;N52.91;10;
2;ENG;Lincolnshire;Asserby;;E0.23;N53.26;10;
2;ENG;Lincolnshire;Asserby Turn;;E0.20;N53.27;10;
2;ENG;Lincolnshire;Asterby;;W0.11;N53.29;10;
2;ENG;Lincolnshire;Aswarby;;W0.42;N52.93;10;
2;ENG;Lincolnshire;Aswardby;;E0.05;N53.20;10;
2;ENG;Lincolnshire;Atterby;;W0.52;N53.41;10;
2;ENG;Lincolnshire;Aubourn;;W0.62;N53.14;10;
2;ENG;Lincolnshire;Aunby;;W0.49;N52.71;10;
2;ENG;Lincolnshire;Aunsby;;W0.45;N52.92;10;
2;ENG;Lincolnshire;Austen Fen;;E0.06;N53.42;10;
2;ENG;Lincolnshire;Austendike;;W0.08;N52.77;10;
2;ENG;Lincolnshire;Authorpe;;E0.09;N53.30;10;
2;ENG;Lincolnshire;Authorpe Row;;E0.29;N53.23;10;
2;ENG;Lincolnshire;Aylesby;;W0.19;N53.54;10;
2;ENG;Lincolnshire;Bag Enderby;;E0.01;N53.22;10;
2;ENG;Lincolnshire;Bain;;W0.13;N53.36;10;
2;ENG;Lincolnshire;Bardney;;W0.33;N53.20;10;
2;ENG;Lincolnshire;Barholm;;W0.38;N52.67;10;
2;ENG;Lincolnshire;Barkston;;W0.61;N52.95;10;
2;ENG;Lincolnshire;Barlings;;W0.39;N53.25;10;
2;ENG;Lincolnshire;Barlings Eau;;W0.36;N53.23;10;
2;ENG;Lincolnshire;Barnetby le Wold;;W0.41;N53.56;10;
2;ENG;Lincolnshire;Barnoldby le Beck;;W0.14;N53.50;10;
2;ENG;Lincolnshire;Barrow Hann;;W0.36;N53.68;10;
2;ENG;Lincolnshire;Barrow Haven;;W0.39;N53.68;10;
2;ENG;Lincolnshire;Barrow upon Humber;;W0.38;N53.66;10;
2;ENG;Lincolnshire;Barrowby;;W0.69;N52.91;10;
2;ENG;Lincolnshire;Barton Upon Humber;;W0.44;N53.68;10;
2;ENG;Lincolnshire;Barton Waterside;;W0.45;N53.69;10;
2;ENG;Lincolnshire;Bassingham;;W0.64;N53.12;10;
2;ENG;Lincolnshire;Bassingthorpe;;W0.57;N52.84;10;
2;ENG;Lincolnshire;Baston;;W0.35;N52.71;10;
2;ENG;Lincolnshire;Baumber;;W0.18;N53.24;10;
2;ENG;Lincolnshire;Baythorpe;;W0.15;N52.95;10;
2;ENG;Lincolnshire;Beelsby;;W0.19;N53.49;10;
2;ENG;Lincolnshire;Beesby;;E0.18;N53.29;10;
2;ENG;Lincolnshire;Belchford;;W0.06;N53.25;10;
2;ENG;Lincolnshire;Belleau;;E0.09;N53.28;10;
2;ENG;Lincolnshire;Belnie;;W0.14;N52.85;10;
2;ENG;Lincolnshire;Beltoft;;W0.79;N53.54;10;
2;ENG;Lincolnshire;Belton;;W0.63;N52.94;10;
2;ENG;Lincolnshire;Belton;;W0.82;N53.54;10;
2;ENG;Lincolnshire;Benington;;E0.06;N52.99;10;
2;ENG;Lincolnshire;Benington Sea End;;E0.08;N52.99;10;
2;ENG;Lincolnshire;Benniworth;;W0.20;N53.31;10;
2;ENG;Lincolnshire;Bicker;;W0.18;N52.91;10;
2;ENG;Lincolnshire;Bicker Bar;;W0.17;N52.92;10;
2;ENG;Lincolnshire;Bicker Gauntlet;;W0.20;N52.93;10;
2;ENG;Lincolnshire;Bigby;;W0.41;N53.54;10;
2;ENG;Lincolnshire;Billingborough;;W0.35;N52.89;10;
2;ENG;Lincolnshire;Billinghay;;W0.28;N53.07;10;
