"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;London;Balham;;W0.15;N51.44;10;
2;ENG;London;Barnet;;W0.20;N51.64;10;
2;ENG;London;Barnsbury;;W0.12;N51.54;10;
2;ENG;London;Battersea;;W0.15;N51.46;10;
2;ENG;London;Bayswater;;W0.20;N51.50;10;
2;ENG;London;Belgravia;;W0.15;N51.49;10;
2;ENG;London;Bermondsey;;W0.08;N51.49;10;
2;ENG;London;Bethnal Green;;W0.06;N51.52;10;
2;ENG;London;Blackwall;;W0.01;N51.50;10;
2;ENG;London;Bloomsbury;;W0.12;N51.52;10;
2;ENG;London;Bow;;W0.04;N51.52;10;
2;ENG;London;Bow Common;;W0.02;N51.51;10;
2;ENG;London;Bowes Park;;W0.12;N51.60;10;
2;ENG;London;Brixton;;W0.11;N51.45;10;
2;ENG;London;Bromley;;W0.02;N51.52;10;
2;ENG;London;Brompton;;W0.17;N51.49;10;
2;ENG;London;Camberwell;;W0.08;N51.47;10;
2;ENG;London;Camden Town;;W0.14;N51.54;10;
2;ENG;London;Chelsea;;W0.17;N51.47;10;
2;ENG;London;Clapham;;W0.14;N51.45;10;
2;ENG;London;Clapham Park;;W0.14;N51.45;10;
2;ENG;London;Clerkenwell;;W0.11;N51.52;10;
2;ENG;London;Cranley Gardens;;W0.15;N51.58;10;
2;ENG;London;Crouch End;;W0.13;N51.57;10;
2;ENG;London;Cubitt Town;;W0.01;N51.49;10;
2;ENG;London;Dartmouth Park;;W0.15;N51.55;10;
2;ENG;London;Dulwich;;W0.07;N51.43;10;
2;ENG;London;Dulwich Village;;W0.08;N51.44;10;
2;ENG;London;Earlsfield;;W0.18;N51.44;10;
2;ENG;London;East Dulwich;;W0.07;N51.44;10;
2;ENG;London;Finsbury;;W0.11;N51.52;10;
2;ENG;London;Globe Town;;W0.05;N51.52;10;
2;ENG;London;Gospel Oak;;W0.15;N51.54;10;
2;ENG;London;Hackney Wick;;W0.02;N51.53;10;
2;ENG;London;Hampstead;;W0.18;N51.55;10;
2;ENG;London;Harringay;;W0.11;N51.57;10;
2;ENG;London;Herne Hill;;W0.10;N51.44;10;
2;ENG;London;Highgate;;W0.15;N51.56;10;
2;ENG;London;Holborn;;W0.12;N51.51;10;
2;ENG;London;Hornsey;;W0.12;N51.58;10;
2;ENG;London;Hornsey Vale;;W0.12;N51.57;10;
2;ENG;London;Kennington;;W0.12;N51.47;10;
