"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Middlesex;Acton;;W0.27;N51.50;10;
2;ENG;Middlesex;Acton Green;;W0.27;N51.49;10;
2;ENG;Middlesex;Alperton;;W0.29;N51.53;10;
2;ENG;Middlesex;Bedford Park;;W0.25;N51.49;10;
2;ENG;Middlesex;Botany Bay;;W0.13;N51.67;10;
2;ENG;Middlesex;Brent;;W0.30;N51.53;10;
2;ENG;Middlesex;Brimsdown;;W0.03;N51.65;10;
2;ENG;Middlesex;Brondesbury;;W0.21;N51.54;10;
2;ENG;Middlesex;Brondesbury Park;;W0.22;N51.53;10;
2;ENG;Middlesex;Brook Green;;W0.22;N51.49;10;
2;ENG;Middlesex;Bulls Cross;;W0.06;N51.67;10;
2;ENG;Middlesex;Bush Hill Park;;W0.07;N51.63;10;
2;ENG;Middlesex;Bushey Mead;;W0.23;N51.39;10;
2;ENG;Middlesex;Canonbury;;W0.09;N51.53;10;
2;ENG;Middlesex;Church End;;W0.25;N51.54;10;
2;ENG;Middlesex;Clapton Park;;W0.05;N51.54;10;
2;ENG;Middlesex;Clay Hill;;W0.09;N51.66;10;
2;ENG;Middlesex;Colham Green;;W0.45;N51.51;10;
2;ENG;Middlesex;College Park;;W0.24;N51.52;10;
2;ENG;Middlesex;Collier's Wood;;W0.17;N51.41;10;
2;ENG;Middlesex;Copse Hill;;W0.24;N51.41;10;
2;ENG;Middlesex;Cowley;;W0.48;N51.52;10;
2;ENG;Middlesex;Cowley Peachy;;W0.48;N51.51;10;
2;ENG;Middlesex;Crane;;W0.40;N51.50;10;
2;ENG;Middlesex;Cranford;;W0.41;N51.47;10;
2;ENG;Middlesex;Crews Hill;;W0.10;N51.67;10;
2;ENG;Middlesex;Cricklewood;;W0.22;N51.55;10;
2;ENG;Middlesex;Crooked Billet;;W0.23;N51.41;10;
2;ENG;Middlesex;Dalston;;W0.06;N51.53;10;
2;ENG;Middlesex;De Beauvoir Town;;W0.08;N51.53;10;
2;ENG;Middlesex;Dollis Hill;;W0.24;N51.55;10;
2;ENG;Middlesex;Dormer's Wells;;W0.37;N51.50;10;
2;ENG;Middlesex;Dudden Hill;;W0.24;N51.55;10;
2;ENG;Middlesex;Ealing;;W0.31;N51.50;10;
2;ENG;Middlesex;Earl's Court;;W0.20;N51.48;10;
2;ENG;Middlesex;East Acton;;W0.25;N51.50;10;
2;ENG;Middlesex;Eastbury;;W0.42;N51.61;10;
2;ENG;Middlesex;Eastcote;;W0.39;N51.58;10;
2;ENG;Middlesex;Eastcote Village;;W0.41;N51.58;10;
2;ENG;Middlesex;Edmonton;;W0.08;N51.61;10;
2;ENG;Middlesex;Enfield;;W0.07;N51.64;10;
2;ENG;Middlesex;Enfield Highway;;W0.04;N51.65;10;
2;ENG;Middlesex;Enfield Lock;;W0.03;N51.66;10;
2;ENG;Middlesex;Enfield Town;;W0.09;N51.64;10;
2;ENG;Middlesex;Enfield Wash;;W0.04;N51.66;10;
2;ENG;Middlesex;Finsbury Park;;W0.12;N51.55;10;
2;ENG;Middlesex;Forty Hill;;W0.07;N51.65;10;
2;ENG;Middlesex;Freezy Water;;W0.03;N51.67;10;
2;ENG;Middlesex;Fulham;;W0.21;N51.46;10;
2;ENG;Middlesex;Furzedown;;W0.16;N51.41;10;
2;ENG;Middlesex;Grand Union Canal;;W0.32;N51.54;10;
2;ENG;Middlesex;Grange Park;;W0.10;N51.63;10;
2;ENG;Middlesex;Greenford;;W0.37;N51.52;10;
2;ENG;Middlesex;Hackney;;W0.06;N51.53;10;
2;ENG;Middlesex;Haggerston;;W0.08;N51.53;10;
2;ENG;Middlesex;Hammersmith;;W0.24;N51.49;10;
2;ENG;Middlesex;Hanwell;;W0.34;N51.50;10;
2;ENG;Middlesex;Harefield;;W0.48;N51.59;10;
2;ENG;Middlesex;Harefield Grove;;W0.48;N51.60;10;
2;ENG;Middlesex;Harlesden;;W0.25;N51.53;10;
2;ENG;Middlesex;Harlington;;W0.44;N51.48;10;
2;ENG;Middlesex;Harmondsworth;;W0.48;N51.48;10;
2;ENG;Middlesex;Harrow;;W0.35;N51.57;10;
2;ENG;Middlesex;Hatton;;W0.43;N51.46;10;
2;ENG;Middlesex;Hayes;;W0.43;N51.50;10;
2;ENG;Middlesex;Hayes End;;W0.44;N51.52;10;
