"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Norfolk;Acle;;E1.54;N52.63;10;
2;ENG;Norfolk;Alburgh;;E1.33;N52.42;10;
2;ENG;Norfolk;Alby Hill;;E1.25;N52.85;10;
2;ENG;Norfolk;Aldborough;;E1.23;N52.85;10;
2;ENG;Norfolk;Aldeby;;E1.60;N52.48;10;
2;ENG;Norfolk;Alderford;;E1.13;N52.71;10;
2;ENG;Norfolk;Alpington;;E1.37;N52.55;10;
2;ENG;Norfolk;Anchor Corner;;E0.94;N52.54;10;
2;ENG;Norfolk;Anchor Street;;E1.42;N52.76;10;
2;ENG;Norfolk;Anmer;;E0.58;N52.83;10;
2;ENG;Norfolk;Ant;;E1.49;N52.73;10;
2;ENG;Norfolk;Antingham;;E1.34;N52.84;10;
2;ENG;Norfolk;Arminghall;;E1.32;N52.58;10;
2;ENG;Norfolk;Ashby St Mary;;E1.42;N52.56;10;
2;ENG;Norfolk;Ashill;;E0.77;N52.60;10;
2;ENG;Norfolk;Ashmanhaugh;;E1.42;N52.73;10;
2;ENG;Norfolk;Ashwellthorpe;;E1.15;N52.52;10;
2;ENG;Norfolk;Ashwicken;;E0.51;N52.74;10;
2;ENG;Norfolk;Aslacton;;E1.16;N52.46;10;
2;ENG;Norfolk;Attleborough;;E1.00;N52.51;10;
2;ENG;Norfolk;Attlebridge;;E1.13;N52.70;10;
2;ENG;Norfolk;Audley End;;E1.14;N52.39;10;
2;ENG;Norfolk;Aylmerton;;E1.24;N52.90;10;
2;ENG;Norfolk;Aylsham;;E1.24;N52.79;10;
2;ENG;Norfolk;Babingley;;E0.38;N52.80;10;
2;ENG;Norfolk;Babingley;;E0.47;N52.80;10;
2;ENG;Norfolk;Baconsthorpe;;E1.15;N52.88;10;
2;ENG;Norfolk;Bacton;;E1.47;N52.84;10;
2;ENG;Norfolk;Bacton Green;;E1.47;N52.85;10;
2;ENG;Norfolk;Bagthorpe;;E0.65;N52.85;10;
2;ENG;Norfolk;Bale;;E0.98;N52.88;10;
2;ENG;Norfolk;Banham;;E1.03;N52.45;10;
2;ENG;Norfolk;Banningham;;E1.27;N52.81;10;
2;ENG;Norfolk;Barford;;E1.11;N52.62;10;
2;ENG;Norfolk;Barmer;;E0.68;N52.86;10;
2;ENG;Norfolk;Barney;;E0.95;N52.84;10;
2;ENG;Norfolk;Barnham Broom;;E1.05;N52.62;10;
2;ENG;Norfolk;Barningham Green;;E1.14;N52.85;10;
2;ENG;Norfolk;Barroway Drove;;E0.30;N52.60;10;
2;ENG;Norfolk;Barton Bendish;;E0.52;N52.61;10;
2;ENG;Norfolk;Barton Turf;;E1.48;N52.74;10;
2;ENG;Norfolk;Bastwick;;E1.58;N52.69;10;
2;ENG;Norfolk;Bawburgh;;E1.17;N52.62;10;
2;ENG;Norfolk;Bawdeswell;;E1.02;N52.73;10;
2;ENG;Norfolk;Bawsey;;E0.48;N52.74;10;
2;ENG;Norfolk;Beachamwell;;E0.58;N52.61;10;
2;ENG;Norfolk;Beckett End;;E0.60;N52.55;10;
2;ENG;Norfolk;Bedingham Green;;E1.35;N52.47;10;
2;ENG;Norfolk;Beeston;;E0.81;N52.69;10;
2;ENG;Norfolk;Beeston Regis;;E1.21;N52.93;10;
2;ENG;Norfolk;Beeston St Lawrence;;E1.43;N52.73;10;
2;ENG;Norfolk;Beetley;;E0.91;N52.71;10;
2;ENG;Norfolk;Beighton;;E1.51;N52.60;10;
2;ENG;Norfolk;Belaugh;;E1.37;N52.71;10;
2;ENG;Norfolk;Bellmount;;E0.28;N52.76;10;
2;ENG;Norfolk;Belton;;E1.65;N52.55;10;
2;ENG;Norfolk;Bengate;;E1.41;N52.79;10;
2;ENG;Norfolk;Bergh Apton;;E1.39;N52.55;10;
2;ENG;Norfolk;Bessingham;;E1.20;N52.87;10;
2;ENG;Norfolk;Besthorpe;;E1.03;N52.51;10;
2;ENG;Norfolk;Bexfield;;E0.99;N52.78;10;
2;ENG;Norfolk;Bexwell;;E0.40;N52.60;10;
2;ENG;Norfolk;Billingford;;E0.97;N52.74;10;
2;ENG;Norfolk;Billockby;;E1.57;N52.66;10;
2;ENG;Norfolk;Binham;;E0.94;N52.91;10;
2;ENG;Norfolk;Bintree;;E0.97;N52.76;10;
2;ENG;Norfolk;Bircham Newton;;E0.61;N52.86;10;
2;ENG;Norfolk;Bircham Tofts;;E0.62;N52.85;10;
2;ENG;Norfolk;Bittering;;E0.85;N52.71;10;
2;ENG;Norfolk;Black Carr;;E1.07;N52.51;10;
2;ENG;Norfolk;Blackborough;;E0.47;N52.69;10;
2;ENG;Norfolk;Blackborough End;;E0.45;N52.69;10;
2;ENG;Norfolk;Blackwater;;E1.09;N52.73;10;
2;ENG;Norfolk;Blakeney;;E1.00;N52.94;10;
2;ENG;Norfolk;Blickling;;E1.21;N52.80;10;
2;ENG;Norfolk;Blofield;;E1.44;N52.62;10;
2;ENG;Norfolk;Blofield Heath;;E1.42;N52.64;10;
2;ENG;Norfolk;Bodham;;E1.15;N52.91;10;
2;ENG;Norfolk;Bodney;;E0.69;N52.54;10;
2;ENG;Norfolk;Booton;;E1.12;N52.75;10;
2;ENG;Norfolk;Boughton;;E0.50;N52.58;10;
2;ENG;Norfolk;Bow Street;;E0.96;N52.53;10;
2;ENG;Norfolk;Bowthorpe;;E1.20;N52.63;10;
2;ENG;Norfolk;Boyland Common;;E1.05;N52.41;10;
2;ENG;Norfolk;Bracon Ash;;E1.21;N52.54;10;
2;ENG;Norfolk;Bradenham;;E0.83;N52.63;10;
2;ENG;Norfolk;Bradfield;;E1.36;N52.84;10;
2;ENG;Norfolk;Bradwell;;E1.68;N52.57;10;
2;ENG;Norfolk;Brakefield Green;;E0.98;N52.64;10;
2;ENG;Norfolk;Bramerton;;E1.38;N52.59;10;
2;ENG;Norfolk;Brampton;;E1.28;N52.76;10;
2;ENG;Norfolk;Brancaster;;E0.63;N52.95;10;
2;ENG;Norfolk;Brancaster Staithe;;E0.66;N52.96;10;
2;ENG;Norfolk;Brandiston;;E1.15;N52.74;10;
2;ENG;Norfolk;Brandon Parva;;E1.05;N52.62;10;
2;ENG;Norfolk;Breckles;;E0.87;N52.50;10;
2;ENG;Norfolk;Bressingham;;E1.04;N52.37;10;
