"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Northamptonshire;Abington;;W0.87;N52.24;10;
2;ENG;Northamptonshire;Abington Vale;;W0.85;N52.24;10;
2;ENG;Northamptonshire;Abthorpe;;W1.06;N52.10;10;
2;ENG;Northamptonshire;Achurch;;W0.50;N52.42;10;
2;ENG;Northamptonshire;Adstone;;W1.13;N52.15;10;
2;ENG;Northamptonshire;Alderton;;W0.92;N52.10;10;
2;ENG;Northamptonshire;Aldwincle;;W0.53;N52.41;10;
2;ENG;Northamptonshire;Apethorpe;;W0.49;N52.54;10;
2;ENG;Northamptonshire;Armston;;W0.44;N52.45;10;
2;ENG;Northamptonshire;Arthingworth;;W0.89;N52.42;10;
2;ENG;Northamptonshire;Ashby St Ledgers;;W1.16;N52.30;10;
2;ENG;Northamptonshire;Ashley;;W0.83;N52.50;10;
2;ENG;Northamptonshire;Ashton;;W0.89;N52.13;10;
2;ENG;Northamptonshire;Ashton;;W0.45;N52.48;10;
2;ENG;Northamptonshire;Astcote;;W1.02;N52.17;10;
2;ENG;Northamptonshire;Aston le Walls;;W1.28;N52.14;10;
2;ENG;Northamptonshire;Astrop;;W1.27;N52.02;10;
2;ENG;Northamptonshire;Avon;;W1.04;N52.41;10;
2;ENG;Northamptonshire;Aynho;;W1.25;N51.99;10;
2;ENG;Northamptonshire;Badby;;W1.18;N52.21;10;
2;ENG;Northamptonshire;Barby;;W1.20;N52.32;10;
2;ENG;Northamptonshire;Barby Nortoft;;W1.19;N52.34;10;
2;ENG;Northamptonshire;Barnwell;;W0.47;N52.44;10;
2;ENG;Northamptonshire;Barton Seagrave;;W0.69;N52.38;10;
2;ENG;Northamptonshire;Blakesley;;W1.09;N52.14;10;
2;ENG;Northamptonshire;Blatherwycke;;W0.57;N52.54;10;
2;ENG;Northamptonshire;Blisworth;;W0.94;N52.17;10;
2;ENG;Northamptonshire;Boothville;;W0.85;N52.26;10;
2;ENG;Northamptonshire;Boughton;;W0.90;N52.27;10;
2;ENG;Northamptonshire;Bozeat;;W0.68;N52.21;10;
2;ENG;Northamptonshire;Brackley;;W1.15;N52.02;10;
2;ENG;Northamptonshire;Bradden;;W1.06;N52.12;10;
2;ENG;Northamptonshire;Brafield on the Green;;W0.80;N52.21;10;
2;ENG;Northamptonshire;Brampton Ash;;W0.83;N52.47;10;
2;ENG;Northamptonshire;Braunston;;W1.20;N52.28;10;
2;ENG;Northamptonshire;Braybrooke;;W0.88;N52.44;10;
2;ENG;Northamptonshire;Briar Hill;;W0.93;N52.22;10;
2;ENG;Northamptonshire;Brigstock;;W0.61;N52.45;10;
2;ENG;Northamptonshire;Brixworth;;W0.91;N52.32;10;
2;ENG;Northamptonshire;Brockhall;;W1.07;N52.25;10;
2;ENG;Northamptonshire;Broughton;;W0.78;N52.36;10;
2;ENG;Northamptonshire;Bugbrooke;;W1.02;N52.20;10;
2;ENG;Northamptonshire;Burton Latimer;;W0.69;N52.35;10;
2;ENG;Northamptonshire;Byfield;;W1.25;N52.17;10;
2;ENG;Northamptonshire;Caldecote;;W1.00;N52.15;10;
2;ENG;Northamptonshire;Caldecott;;W0.56;N52.30;10;
2;ENG;Northamptonshire;Canons Ashby;;W1.16;N52.14;10;
2;ENG;Northamptonshire;Carlton Purlieus;;W0.77;N52.47;10;
2;ENG;Northamptonshire;Castle Ashby;;W0.74;N52.22;10;
2;ENG;Northamptonshire;Castlethorpe;;W0.84;N52.08;10;
2;ENG;Northamptonshire;Cattle End;;W1.03;N52.08;10;
2;ENG;Northamptonshire;Chacombe;;W1.28;N52.08;10;
2;ENG;Northamptonshire;Chadstone;;W0.75;N52.21;10;
2;ENG;Northamptonshire;Chapel Brampton;;W0.94;N52.28;10;
2;ENG;Northamptonshire;Chapel End;;W0.36;N52.46;10;
2;ENG;Northamptonshire;Charlton;;W1.24;N52.02;10;
2;ENG;Northamptonshire;Charwelton;;W1.22;N52.19;10;
2;ENG;Northamptonshire;Chelveston;;W0.54;N52.31;10;
2;ENG;Northamptonshire;Cherwell;;W1.29;N51.98;10;
2;ENG;Northamptonshire;Chipping Warden;;W1.28;N52.12;10;
2;ENG;Northamptonshire;Church Brampton;;W0.96;N52.27;10;
2;ENG;Northamptonshire;Church Charwelton;;W1.21;N52.19;10;
2;ENG;Northamptonshire;Church Stowe;;W1.07;N52.20;10;
2;ENG;Northamptonshire;Clay Coton;;W1.13;N52.38;10;
