"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Nottinghamshire;Adbolton;;W1.10;N52.93;10;
2;ENG;Nottinghamshire;Alma;;W1.30;N53.06;10;
2;ENG;Nottinghamshire;Alverton;;W0.82;N52.96;10;
2;ENG;Nottinghamshire;Annesley;;W1.25;N53.07;10;
2;ENG;Nottinghamshire;Annesley Woodhouse;;W1.27;N53.07;10;
2;ENG;Nottinghamshire;Arnold;;W1.12;N52.99;10;
2;ENG;Nottinghamshire;Askerton Hill;;W0.80;N53.00;10;
2;ENG;Nottinghamshire;Askham;;W0.89;N53.25;10;
2;ENG;Nottinghamshire;Aslockton;;W0.89;N52.95;10;
2;ENG;Nottinghamshire;Aspley;;W1.21;N52.97;10;
2;ENG;Nottinghamshire;Attenborough;;W1.24;N52.90;10;
2;ENG;Nottinghamshire;Averham;;W0.86;N53.07;10;
2;ENG;Nottinghamshire;Awsworth;;W1.28;N52.98;10;
2;ENG;Nottinghamshire;Babbington;;W1.27;N52.98;10;
2;ENG;Nottinghamshire;Babworth;;W0.98;N53.31;10;
2;ENG;Nottinghamshire;Bagthorpe;;W1.30;N53.05;10;
2;ENG;Nottinghamshire;Balderton;;W0.79;N53.05;10;
2;ENG;Nottinghamshire;Balk Field;;W0.93;N53.32;10;
2;ENG;Nottinghamshire;Barnby in the Willows;;W0.73;N53.05;10;
2;ENG;Nottinghamshire;Barnby Moor;;W1.00;N53.34;10;
2;ENG;Nottinghamshire;Barnstone;;W0.91;N52.90;10;
2;ENG;Nottinghamshire;Barrows Green;;W1.32;N53.06;10;
2;ENG;Nottinghamshire;Barton in Fabis;;W1.22;N52.88;10;
2;ENG;Nottinghamshire;Bassingfield;;W1.07;N52.92;10;
2;ENG;Nottinghamshire;Bathley;;W0.85;N53.12;10;
2;ENG;Nottinghamshire;Beacon Hill;;W0.79;N53.06;10;
2;ENG;Nottinghamshire;Beauvale;;W1.28;N53.00;10;
2;ENG;Nottinghamshire;Beauvale;;W1.22;N53.02;10;
2;ENG;Nottinghamshire;Beckingham;;W0.70;N53.06;10;
2;ENG;Nottinghamshire;Beckingham;;W0.84;N53.40;10;
2;ENG;Nottinghamshire;Beeston;;W1.22;N52.91;10;
2;ENG;Nottinghamshire;Beeston Canal;;W1.18;N52.92;10;
2;ENG;Nottinghamshire;Belle Eau Park;;W1.01;N53.12;10;
2;ENG;Nottinghamshire;Besthorpe;;W0.77;N53.16;10;
2;ENG;Nottinghamshire;Bestwood;;W1.16;N52.99;10;
