"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Oxfordshire;Abingdon;;W1.29;N51.66;10;
2;ENG;Oxfordshire;Adderbury;;W1.31;N52.01;10;
2;ENG;Oxfordshire;Adwell;;W1.00;N51.68;10;
2;ENG;Oxfordshire;Alkerton;;W1.46;N52.07;10;
2;ENG;Oxfordshire;Alvescot;;W1.61;N51.73;10;
2;ENG;Oxfordshire;Ambrosden;;W1.12;N51.86;10;
2;ENG;Oxfordshire;Appleford;;W1.25;N51.63;10;
2;ENG;Oxfordshire;Appleton;;W1.36;N51.70;10;
2;ENG;Oxfordshire;Ardington;;W1.38;N51.58;10;
2;ENG;Oxfordshire;Ardington Wick;;W1.38;N51.59;10;
2;ENG;Oxfordshire;Ardley;;W1.21;N51.93;10;
2;ENG;Oxfordshire;Ascott d'Oyley;;W1.56;N51.86;10;
2;ENG;Oxfordshire;Ascott Earl;;W1.58;N51.86;10;
2;ENG;Oxfordshire;Ascott under Wychwood;;W1.56;N51.86;10;
2;ENG;Oxfordshire;Ashbury;;W1.62;N51.56;10;
2;ENG;Oxfordshire;Asthall;;W1.59;N51.79;10;
2;ENG;Oxfordshire;Asthall Leigh;;W1.56;N51.80;10;
2;ENG;Oxfordshire;Aston;;W1.50;N51.72;10;
2;ENG;Oxfordshire;Aston Rowant;;W0.95;N51.68;10;
2;ENG;Oxfordshire;Aston Tirrold;;W1.20;N51.56;10;
2;ENG;Oxfordshire;Aston Upthorpe;;W1.20;N51.57;10;
2;ENG;Oxfordshire;Bainton;;W1.15;N51.92;10;
2;ENG;Oxfordshire;Baldon Row;;W1.19;N51.69;10;
2;ENG;Oxfordshire;Balscote;;W1.43;N52.06;10;
2;ENG;Oxfordshire;Bampton;;W1.55;N51.72;10;
2;ENG;Oxfordshire;Banbury;;W1.34;N52.05;10;
2;ENG;Oxfordshire;Barford St John;;W1.37;N51.99;10;
2;ENG;Oxfordshire;Barford St Michael;;W1.37;N51.98;10;
2;ENG;Oxfordshire;Barnard Gate;;W1.42;N51.78;10;
2;ENG;Oxfordshire;Barton;;W1.20;N51.75;10;
2;ENG;Oxfordshire;Barton Abbey;;W1.34;N51.91;10;
2;ENG;Oxfordshire;Baulking;;W1.55;N51.60;10;
2;ENG;Oxfordshire;Baynard's Green;;W1.21;N51.95;10;
2;ENG;Oxfordshire;Bayworth;;W1.27;N51.70;10;
2;ENG;Oxfordshire;Beckley;;W1.18;N51.78;10;
2;ENG;Oxfordshire;Begbroke;;W1.31;N51.81;10;
2;ENG;Oxfordshire;Belmont;;W1.43;N51.58;10;
2;ENG;Oxfordshire;Benson;;W1.12;N51.61;10;
2;ENG;Oxfordshire;Berinsfield;;W1.17;N51.66;10;
