"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Rutland;Aldgate;;W0.55;N52.62;10;
2;ENG;Rutland;Ashwell;;W0.72;N52.70;10;
2;ENG;Rutland;Ayston;;W0.73;N52.60;10;
2;ENG;Rutland;Barleythorpe;;W0.75;N52.67;10;
2;ENG;Rutland;Barnsdale;;W0.67;N52.67;10;
2;ENG;Rutland;Barrow;;W0.68;N52.72;10;
2;ENG;Rutland;Barrowden;;W0.61;N52.59;10;
2;ENG;Rutland;Belmesthorpe;;W0.46;N52.67;10;
2;ENG;Rutland;Belton in Rutland;;W0.80;N52.60;10;
2;ENG;Rutland;Bisbrooke;;W0.70;N52.58;10;
2;ENG;Rutland;Braunston in Rutland;;W0.77;N52.64;10;
2;ENG;Rutland;Brooke;;W0.76;N52.63;10;
2;ENG;Rutland;Burley;;W0.69;N52.68;10;
2;ENG;Rutland;Carlby;;W0.44;N52.70;10;
2;ENG;Rutland;Clipsham;;W0.57;N52.73;10;
2;ENG;Rutland;Cottesmore;;W0.66;N52.70;10;
2;ENG;Rutland;Edith Weston;;W0.62;N52.63;10;
2;ENG;Rutland;Egleton;;W0.71;N52.65;10;
2;ENG;Rutland;Empingham;;W0.59;N52.66;10;
2;ENG;Rutland;Essendine;;W0.46;N52.69;10;
2;ENG;Rutland;Exton;;W0.64;N52.68;10;
2;ENG;Rutland;Geeston;;W0.55;N52.62;10;
2;ENG;Rutland;Glaston;;W0.68;N52.59;10;
2;ENG;Rutland;Great Casterton;;W0.52;N52.66;10;
2;ENG;Rutland;Greetham;;W0.63;N52.71;10;
2;ENG;Rutland;Gunthorpe;;W0.73;N52.63;10;
2;ENG;Rutland;Ingthorpe;;W0.53;N52.66;10;
2;ENG;Rutland;Ketton;;W0.56;N52.62;10;
2;ENG;Rutland;Langham;;W0.75;N52.69;10;
2;ENG;Rutland;Little Casterton;;W0.50;N52.66;10;
2;ENG;Rutland;Lyddington;;W0.71;N52.56;10;
2;ENG;Rutland;Lyndon;;W0.67;N52.62;10;
2;ENG;Rutland;Manton;;W0.70;N52.62;10;
2;ENG;Rutland;Market Overton;;W0.69;N52.73;10;
2;ENG;Rutland;Morcott;;W0.64;N52.59;10;
2;ENG;Rutland;Normanton;;W0.62;N52.64;10;
2;ENG;Rutland;North Luffenham;;W0.62;N52.61;10;
2;ENG;Rutland;Oakham;;W0.74;N52.67;10;
2;ENG;Rutland;Pickworth;;W0.53;N52.70;10;
2;ENG;Rutland;Pilton;;W0.65;N52.60;10;
2;ENG;Rutland;Preston;;W0.71;N52.60;10;
2;ENG;Rutland;Ridlington;;W0.76;N52.60;10;
2;ENG;Rutland;Ryhall;;W0.47;N52.67;10;
2;ENG;Rutland;Seaton;;W0.67;N52.57;10;
2;ENG;Rutland;South Luffenham;;W0.61;N52.59;10;
2;ENG;Rutland;Stretton;;W0.60;N52.72;10;
2;ENG;Rutland;Teigh;;W0.72;N52.73;10;
2;ENG;Rutland;Thistleton;;W0.65;N52.74;10;
2;ENG;Rutland;Thorpe by Water;;W0.68;N52.55;10;
2;ENG;Rutland;Tickencote;;W0.55;N52.67;10;
2;ENG;Rutland;Tinwell;;W0.52;N52.64;10;
2;ENG;Rutland;Tixover;;W0.56;N52.58;10;
2;ENG;Rutland;Toll Bar;;W0.52;N52.66;10;
2;ENG;Rutland;Upper Hambleton;;W0.67;N52.65;10;
2;ENG;Rutland;Uppingham;;W0.73;N52.58;10;
2;ENG;Rutland;Wardley;;W0.77;N52.59;10;
2;ENG;Rutland;Whissendine;;W0.78;N52.71;10;
2;ENG;Rutland;Whitwell;;W0.64;N52.66;10;
2;ENG;Rutland;Wing;;W0.68;N52.61;10;
