"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Shropshire;Abbey Green;;W2.74;N52.89;10;
2;ENG;Shropshire;Abcott;;W2.89;N52.39;10;
2;ENG;Shropshire;Abdon;;W2.63;N52.47;10;
2;ENG;Shropshire;Ackleton;;W2.34;N52.57;10;
2;ENG;Shropshire;Acton;;W3.01;N52.44;10;
2;ENG;Shropshire;Acton Burnell;;W2.69;N52.60;10;
2;ENG;Shropshire;Acton Pigott;;W2.68;N52.61;10;
2;ENG;Shropshire;Acton Reynald;;W2.69;N52.80;10;
2;ENG;Shropshire;Acton Round;;W2.54;N52.55;10;
2;ENG;Shropshire;Acton Scott;;W2.81;N52.49;10;
2;ENG;Shropshire;Adderley;;W2.50;N52.94;10;
2;ENG;Shropshire;Adeney;;W2.44;N52.75;10;
2;ENG;Shropshire;Admaston;;W2.54;N52.70;10;
2;ENG;Shropshire;Alberbury;;W2.94;N52.72;10;
2;ENG;Shropshire;Albrighton;;W2.28;N52.63;10;
2;ENG;Shropshire;Albrighton;;W2.75;N52.75;10;
2;ENG;Shropshire;Alcaston;;W2.81;N52.47;10;
2;ENG;Shropshire;Alderton;;W2.75;N52.80;10;
2;ENG;Shropshire;Aldon;;W2.83;N52.40;10;
2;ENG;Shropshire;Ale Oak;;W3.14;N52.44;10;
2;ENG;Shropshire;Alkington;;W2.71;N52.93;10;
2;ENG;Shropshire;All Stretton;;W2.79;N52.55;10;
2;ENG;Shropshire;Allscot;;W2.39;N52.56;10;
2;ENG;Shropshire;Allscott;;W2.57;N52.71;10;
2;ENG;Shropshire;Alveley;;W2.35;N52.45;10;
2;ENG;Shropshire;Anchor;;W3.22;N52.45;10;
2;ENG;Shropshire;Angelbank;;W2.63;N52.38;10;
2;ENG;Shropshire;Annscroft;;W2.81;N52.65;10;
2;ENG;Shropshire;Apley Forge;;W2.44;N52.57;10;
2;ENG;Shropshire;Aqueduct;;W2.47;N52.64;10;
2;ENG;Shropshire;Argoed;;W3.03;N52.44;10;
2;ENG;Shropshire;Argoed;;W3.00;N52.77;10;
2;ENG;Shropshire;Arleston;;W2.50;N52.68;10;
2;ENG;Shropshire;Arscott;;W2.84;N52.65;10;
2;ENG;Shropshire;Ash Magna;;W2.64;N52.94;10;
2;ENG;Shropshire;Ash Parva;;W2.64;N52.94;10;
2;ENG;Shropshire;Ashbrook;;W2.81;N52.54;10;
2;ENG;Shropshire;Ashfield;;W3.02;N52.81;10;
2;ENG;Shropshire;Ashfields;;W2.44;N52.83;10;
2;ENG;Shropshire;Ashford Bowdler;;W2.72;N52.32;10;
2;ENG;Shropshire;Ashford Carbonel;;W2.70;N52.32;10;
2;ENG;Shropshire;Ashmore Park;;W2.06;N52.60;10;
2;ENG;Shropshire;Asterley;;W2.93;N52.65;10;
2;ENG;Shropshire;Asterton;;W2.90;N52.51;10;
2;ENG;Shropshire;Astley;;W2.71;N52.75;10;
2;ENG;Shropshire;Astley Abbotts;;W2.44;N52.56;10;
2;ENG;Shropshire;Aston;;W2.29;N52.53;10;
2;ENG;Shropshire;Aston;;W2.69;N52.84;10;
2;ENG;Shropshire;Aston Botterell;;W2.54;N52.45;10;
2;ENG;Shropshire;Aston Eyre;;W2.51;N52.54;10;
2;ENG;Shropshire;Aston Munslow;;W2.72;N52.47;10;
2;ENG;Shropshire;Aston on Clun;;W2.89;N52.42;10;
2;ENG;Shropshire;Aston Pigott;;W2.99;N52.63;10;
2;ENG;Shropshire;Aston Rogers;;W2.97;N52.64;10;
2;ENG;Shropshire;Aston Sq;;W3.01;N52.84;10;
2;ENG;Shropshire;Atcham;;W2.68;N52.67;10;
2;ENG;Shropshire;Atterley;;W2.53;N52.56;10;
2;ENG;Shropshire;Aylesford Brook;;W3.07;N52.60;10;
2;ENG;Shropshire;Babbinswood;;W2.99;N52.86;10;
2;ENG;Shropshire;Bache;;W2.79;N52.42;10;
2;ENG;Shropshire;Bache Mill;;W2.73;N52.46;10;
2;ENG;Shropshire;Back Brook;;W2.32;N52.74;10;
2;ENG;Shropshire;Badger;;W2.35;N52.58;10;
2;ENG;Shropshire;Bagginswood;;W2.47;N52.42;10;
2;ENG;Shropshire;Bagley;;W2.89;N52.83;10;
2;ENG;Shropshire;Bagley Marsh;;W2.90;N52.84;10;
2;ENG;Shropshire;Ball;;W3.04;N52.82;10;
2;ENG;Shropshire;Balls Hill;;W2.01;N52.53;10;
2;ENG;Shropshire;Balmer;;W2.83;N52.90;10;
2;ENG;Shropshire;Balmer Heath;;W2.83;N52.90;10;
2;ENG;Shropshire;Bankshead;;W3.03;N52.49;10;
2;ENG;Shropshire;Barkers Green;;W2.71;N52.84;10;
2;ENG;Shropshire;Barnsley;;W2.37;N52.53;10;
2;ENG;Shropshire;Barrow;;W2.51;N52.58;10;
2;ENG;Shropshire;Barrow;;W2.51;N52.59;10;
2;ENG;Shropshire;Baschurch;;W2.86;N52.78;10;
2;ENG;Shropshire;Basford;;W2.89;N52.45;10;
