"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Staffordshire;Abbey Green;;W2.04;N53.11;10;
2;ENG;Staffordshire;Abbey Hulton;;W2.13;N53.02;10;
2;ENG;Staffordshire;Abbots Bromley;;W1.88;N52.81;10;
2;ENG;Staffordshire;Acres Nook;;W2.24;N53.07;10;
2;ENG;Staffordshire;Acton;;W2.26;N52.96;10;
2;ENG;Staffordshire;Acton Trussell;;W2.10;N52.75;10;
2;ENG;Staffordshire;Adbaston;;W2.35;N52.84;10;
2;ENG;Staffordshire;Adderley Green;;W2.13;N52.99;10;
2;ENG;Staffordshire;Admaston;;W1.92;N52.80;10;
2;ENG;Staffordshire;Aislaby;;W1.38;N54.50;10;
2;ENG;Staffordshire;Alder Forest;;W2.37;N53.48;10;
2;ENG;Staffordshire;Alder Moor;;W1.67;N52.84;10;
2;ENG;Staffordshire;Aldershawe;;W1.85;N52.66;10;
2;ENG;Staffordshire;Allgreave;;W2.04;N53.19;10;
2;ENG;Staffordshire;Allimore Green;;W2.22;N52.76;10;
2;ENG;Staffordshire;Almington;;W2.44;N52.90;10;
2;ENG;Staffordshire;Alrewas;;W1.76;N52.72;10;
2;ENG;Staffordshire;Alsagers Bank;;W2.29;N53.02;10;
2;ENG;Staffordshire;Alstonefield;;W1.80;N53.09;10;
2;ENG;Staffordshire;Alt Hill;;W2.09;N53.51;10;
2;ENG;Staffordshire;Alton;;W1.89;N52.97;10;
2;ENG;Staffordshire;Alvecote;;W1.64;N52.63;10;
2;ENG;Staffordshire;Amerton;;W2.01;N52.84;10;
2;ENG;Staffordshire;Amington;;W1.66;N52.63;10;
2;ENG;Staffordshire;Anslow;;W1.68;N52.82;10;
2;ENG;Staffordshire;Anslow Gate;;W1.71;N52.81;10;
2;ENG;Staffordshire;Apedale;;W2.28;N53.03;10;
2;ENG;Staffordshire;Apeton;;W2.22;N52.75;10;
2;ENG;Staffordshire;Armitage;;W1.89;N52.74;10;
2;ENG;Staffordshire;Armsdale;;W2.35;N52.88;10;
2;ENG;Staffordshire;Armshead;;W2.10;N53.02;10;
2;ENG;Staffordshire;Ash Bank;;W2.10;N53.01;10;
2;ENG;Staffordshire;Ashley;;W2.35;N52.92;10;
2;ENG;Staffordshire;Ashley Dale;;W2.37;N52.92;10;
2;ENG;Staffordshire;Ashley Heath;;W2.38;N52.91;10;
2;ENG;Staffordshire;Ashton Canal;;W2.15;N53.47;10;
2;ENG;Staffordshire;Ashton-Under-Lyne;;W2.09;N53.48;10;
2;ENG;Staffordshire;Ashwood;;W2.20;N52.49;10;
2;ENG;Staffordshire;Aspley;;W2.28;N52.89;10;
2;ENG;Staffordshire;Aston;;W2.16;N52.80;10;
2;ENG;Staffordshire;Aston;;W1.76;N52.87;10;
2;ENG;Staffordshire;Aston;;W2.37;N52.96;10;
2;ENG;Staffordshire;Aston-By-Stone;;W2.13;N52.87;10;
2;ENG;Staffordshire;Audenshaw;;W2.12;N53.47;10;
2;ENG;Staffordshire;Audenshaw Reservoir;;W2.13;N53.46;10;
2;ENG;Staffordshire;Audley;;W2.31;N53.04;10;
2;ENG;Staffordshire;Back Brook;;W2.31;N52.73;10;
2;ENG;Staffordshire;Back o'th' Brook;;W1.88;N53.05;10;
2;ENG;Staffordshire;Backbower;;W2.07;N53.43;10;
2;ENG;Staffordshire;Baddeley Edge;;W2.13;N53.04;10;
2;ENG;Staffordshire;Baddeley Green;;W2.15;N53.05;10;
2;ENG;Staffordshire;Bagnall;;W2.12;N53.04;10;
2;ENG;Staffordshire;Balance Hill;;W1.88;N52.88;10;
2;ENG;Staffordshire;Baldwin's Gate;;W2.31;N52.94;10;
2;ENG;Staffordshire;Ball Green;;W2.16;N53.06;10;
2;ENG;Staffordshire;Ball Haye Green;;W2.03;N53.11;10;
2;ENG;Staffordshire;Balterley;;W2.35;N53.04;10;
2;ENG;Staffordshire;Balterley Green;;W2.35;N53.04;10;
2;ENG;Staffordshire;Bank Top;;W2.19;N53.05;10;
2;ENG;Staffordshire;Bar Hill;;W2.35;N52.98;10;
2;ENG;Staffordshire;Bardsley;;W2.10;N53.50;10;
2;ENG;Staffordshire;Barlaston;;W2.16;N52.93;10;
2;ENG;Staffordshire;Barnfields;;W2.04;N53.09;10;
2;ENG;Staffordshire;Barton Gate;;W1.74;N52.76;10;
2;ENG;Staffordshire;Barton Green;;W1.73;N52.75;10;
2;ENG;Staffordshire;Barton Turn;;W1.70;N52.75;10;
2;ENG;Staffordshire;Barton under Needwood;;W1.73;N52.75;10;
2;ENG;Staffordshire;Basford;;W2.22;N53.01;10;
2;ENG;Staffordshire;Basford Green;;W2.01;N53.05;10;
2;ENG;Staffordshire;Baswich;;W2.09;N52.79;10;
2;ENG;Staffordshire;Beaconside;;W2.10;N52.81;10;
2;ENG;Staffordshire;Beam Hill;;W1.66;N52.83;10;
2;ENG;Staffordshire;Beamhurst;;W1.92;N52.92;10;
2;ENG;Staffordshire;Beamhurst Lane;;W1.91;N52.91;10;
2;ENG;Staffordshire;Bearstone;;W2.41;N52.94;10;
2;ENG;Staffordshire;Beasley;;W2.25;N53.03;10;
2;ENG;Staffordshire;Bednall;;W2.07;N52.75;10;
2;ENG;Staffordshire;Bednall Head;;W2.06;N52.75;10;
2;ENG;Staffordshire;Beech;;W2.22;N52.93;10;
2;ENG;Staffordshire;Beechcliff;;W2.22;N52.93;10;
2;ENG;Staffordshire;Beffcote;;W2.29;N52.76;10;
2;ENG;Staffordshire;Belgrave;;W1.67;N52.61;10;
2;ENG;Staffordshire;Bentilee;;W2.13;N53.01;10;
2;ENG;Staffordshire;Berry Hill;;W2.15;N53.01;10;
2;ENG;Staffordshire;Betley;;W2.37;N53.02;10;
2;ENG;Staffordshire;Bickford;;W2.17;N52.72;10;
2;ENG;Staffordshire;Biddulph;;W2.18;N53.11;10;
2;ENG;Staffordshire;Biddulph Moor;;W2.15;N53.11;10;
2;ENG;Staffordshire;Bignall End;;W2.29;N53.05;10;
2;ENG;Staffordshire;Bilbrook;;W2.17;N52.62;10;
2;ENG;Staffordshire;Billingham;;W1.28;N54.60;10;
2;ENG;Staffordshire;Billington;;W2.17;N52.77;10;
2;ENG;Staffordshire;Birch Cross;;W1.82;N52.86;10;
2;ENG;Staffordshire;Birchall;;W2.03;N53.08;10;
2;ENG;Staffordshire;Birchendale;;W1.92;N52.93;10;
2;ENG;Staffordshire;Birches Head;;W2.16;N53.02;10;
2;ENG;Staffordshire;Birmingham and Fazeley Canal;;W1.70;N52.59;10;
2;ENG;Staffordshire;Bishop's Offley;;W2.34;N52.85;10;
2;ENG;Staffordshire;Bishopsgarth;;W1.36;N54.57;10;
2;ENG;Staffordshire;Bishton;;W1.97;N52.77;10;
2;ENG;Staffordshire;Bitterscote;;W1.70;N52.62;10;
2;ENG;Staffordshire;Black Brook;;W1.89;N52.59;10;
2;ENG;Staffordshire;Blackbrook;;W2.35;N52.94;10;
2;ENG;Staffordshire;Blackfords;;W2.03;N52.69;10;
2;ENG;Staffordshire;Blackshaw Moor;;W2.00;N53.12;10;
2;ENG;Staffordshire;Blakeley;;W2.20;N52.52;10;
2;ENG;Staffordshire;Blakeley Lane;;W2.04;N53.02;10;
2;ENG;Staffordshire;Blank Bank;;W2.28;N53.02;10;
2;ENG;Staffordshire;Blithbury;;W1.88;N52.77;10;
2;ENG;Staffordshire;Blithe;;W1.93;N52.84;10;
2;ENG;Staffordshire;Blithfield Reservoir;;W1.92;N52.80;10;
2;ENG;Staffordshire;Blore;;W2.41;N52.90;10;
2;ENG;Staffordshire;Blore;;W1.80;N53.03;10;
2;ENG;Staffordshire;Bloreheath;;W2.43;N52.91;10;
2;ENG;Staffordshire;Blount's Green;;W1.89;N52.88;10;
2;ENG;Staffordshire;Blundies;;W2.26;N52.48;10;
2;ENG;Staffordshire;Blurton;;W2.16;N52.97;10;
2;ENG;Staffordshire;Blymhill;;W2.29;N52.70;10;
2;ENG;Staffordshire;Blymhill Lawns;;W2.28;N52.69;10;
2;ENG;Staffordshire;Blythe Bridge;;W2.07;N52.96;10;
