"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Suffolk;Acton;;E0.75;N52.06;10;
2;ENG;Suffolk;Acton Place;;E0.74;N52.07;10;
2;ENG;Suffolk;Akenham;;E1.12;N52.08;10;
2;ENG;Suffolk;Alde;;E1.33;N52.27;10;
2;ENG;Suffolk;Aldeburgh;;E1.59;N52.14;10;
2;ENG;Suffolk;Alderton;;E1.40;N52.01;10;
2;ENG;Suffolk;Aldham;;E0.97;N52.06;10;
2;ENG;Suffolk;Aldringham;;E1.56;N52.18;10;
2;ENG;Suffolk;All Saints South Elmham;;E1.43;N52.38;10;
2;ENG;Suffolk;Allwood Green;;E0.99;N52.30;10;
2;ENG;Suffolk;Alpheton;;E0.74;N52.11;10;
2;ENG;Suffolk;Alton Water Reservoir;;E1.12;N51.98;10;
2;ENG;Suffolk;Ampton;;E0.72;N52.30;10;
2;ENG;Suffolk;Annis Hill;;E1.45;N52.44;10;
2;ENG;Suffolk;Apsey Green;;E1.32;N52.21;10;
2;ENG;Suffolk;Ardleigh Green;;E0.20;N51.57;10;
2;ENG;Suffolk;Ash Street;;E0.93;N52.07;10;
2;ENG;Suffolk;Ashbocking;;E1.15;N52.14;10;
2;ENG;Suffolk;Ashfield;;E1.21;N52.21;10;
2;ENG;Suffolk;Ashfield Cum Thorpe;;E1.21;N52.21;10;
2;ENG;Suffolk;Ashfield Green (near Stradbroke);;E1.31;N52.30;10;
2;ENG;Suffolk;Ashfield Green (near Wickhambrook);;E0.57;N52.16;10;
2;ENG;Suffolk;Aspall;;E1.17;N52.24;10;
2;ENG;Suffolk;Assington;;E0.81;N52.00;10;
2;ENG;Suffolk;Assington Green;;E0.58;N52.12;10;
2;ENG;Suffolk;Athelington;;E1.22;N52.28;10;
2;ENG;Suffolk;Attleton Green;;E0.54;N52.15;10;
2;ENG;Suffolk;Audley End;;E0.70;N52.14;10;
2;ENG;Suffolk;Babel Green;;E0.52;N52.10;10;
2;ENG;Suffolk;Back Street;;E0.54;N52.19;10;
2;ENG;Suffolk;Bacton;;E1.00;N52.26;10;
2;ENG;Suffolk;Bacton Green;;E0.97;N52.24;10;
2;ENG;Suffolk;Badwell Ash;;E0.91;N52.28;10;
2;ENG;Suffolk;Badwell Green;;E0.94;N52.28;10;
2;ENG;Suffolk;Bardwell;;E0.84;N52.32;10;
2;ENG;Suffolk;Barham;;E1.12;N52.11;10;
2;ENG;Suffolk;Barking;;E1.02;N52.13;10;
2;ENG;Suffolk;Barking Tye;;E1.00;N52.12;10;
2;ENG;Suffolk;Barnaby Green;;E1.62;N52.35;10;
2;ENG;Suffolk;Barnardiston;;E0.49;N52.10;10;
2;ENG;Suffolk;Barnby;;E1.63;N52.44;10;
2;ENG;Suffolk;Barnham;;E0.74;N52.37;10;
2;ENG;Suffolk;Barningham;;E0.87;N52.34;10;
2;ENG;Suffolk;Barrow;;E0.57;N52.23;10;
2;ENG;Suffolk;Barsham;;E1.51;N52.44;10;
2;ENG;Suffolk;Barsham;;E1.51;N52.44;10;
2;ENG;Suffolk;Barton Mills;;E0.50;N52.32;10;
2;ENG;Suffolk;Base Green;;E0.94;N52.22;10;
2;ENG;Suffolk;Battisford;;E0.99;N52.14;10;
2;ENG;Suffolk;Battisford Tye;;E0.95;N52.14;10;
2;ENG;Suffolk;Battlesea Green;;E1.25;N52.32;10;
2;ENG;Suffolk;Battlies Green;;E0.76;N52.24;10;
2;ENG;Suffolk;Bawdsey;;E1.40;N52.00;10;
2;ENG;Suffolk;Baxter's Green;;E0.55;N52.19;10;
2;ENG;Suffolk;Baylham;;E1.06;N52.11;10;
2;ENG;Suffolk;Beacon Hill;;E1.25;N52.07;10;
2;ENG;Suffolk;Beccles;;E1.56;N52.45;10;
2;ENG;Suffolk;Beck Row;;E0.48;N52.36;10;
2;ENG;Suffolk;Bedfield;;E1.25;N52.24;10;
2;ENG;Suffolk;Bedingfield;;E1.19;N52.26;10;
2;ENG;Suffolk;Bell's Corner;;E0.89;N51.99;10;
2;ENG;Suffolk;Belstead;;E1.10;N52.02;10;
2;ENG;Suffolk;Benacre;;E1.68;N52.39;10;
2;ENG;Suffolk;Benhall Green;;E1.48;N52.19;10;
2;ENG;Suffolk;Benhall Street;;E1.43;N52.19;10;
2;ENG;Suffolk;Beyton;;E0.82;N52.23;10;
2;ENG;Suffolk;Beyton Green;;E0.82;N52.23;10;
2;ENG;Suffolk;Bildeston;;E0.90;N52.10;10;
2;ENG;Suffolk;Billingford;;E1.17;N52.35;10;
2;ENG;Suffolk;Bird Street;;E0.92;N52.13;10;
2;ENG;Suffolk;Birds End;;E0.58;N52.21;10;
2;ENG;Suffolk;Black Street;;E1.68;N52.41;10;
2;ENG;Suffolk;Blacksmith's Corner;;E1.10;N52.01;10;
2;ENG;Suffolk;Blacksmith's Green;;E1.13;N52.24;10;
2;ENG;Suffolk;Blackthorpe;;E0.78;N52.23;10;
2;ENG;Suffolk;Blaxhall;;E1.44;N52.16;10;
2;ENG;Suffolk;Bleach Green;;E1.27;N52.34;10;
2;ENG;Suffolk;Blo' Norton;;E0.95;N52.37;10;
2;ENG;Suffolk;Bloodman's Corner;;E1.69;N52.53;10;
2;ENG;Suffolk;Blundeston;;E1.69;N52.51;10;
2;ENG;Suffolk;Blyford;;E1.55;N52.32;10;
2;ENG;Suffolk;Blyth;;E1.55;N52.33;10;
2;ENG;Suffolk;Blythburgh;;E1.59;N52.31;10;
2;ENG;Suffolk;Bobby Hill;;E0.93;N52.32;10;
2;ENG;Suffolk;Boot Street;;E1.23;N52.08;10;
2;ENG;Suffolk;Borley Green;;E0.91;N52.20;10;
2;ENG;Suffolk;Botesdale;;E0.99;N52.33;10;
2;ENG;Suffolk;Bowbeck;;E0.84;N52.33;10;
2;ENG;Suffolk;Bower House Tye;;E0.88;N52.02;10;
2;ENG;Suffolk;Boxford;;E0.85;N52.02;10;
2;ENG;Suffolk;Boxted;;E0.65;N52.12;10;
2;ENG;Suffolk;Boyden End;;E0.52;N52.16;10;
2;ENG;Suffolk;Boyton;;E1.45;N52.07;10;
2;ENG;Suffolk;Boyton End;;E0.49;N52.06;10;
2;ENG;Suffolk;Bradfield Combust;;E0.76;N52.17;10;
2;ENG;Suffolk;Bradfield St Clare;;E0.77;N52.17;10;
2;ENG;Suffolk;Bradfield St George;;E0.79;N52.20;10;
2;ENG;Suffolk;Braiseworth;;E1.12;N52.29;10;
2;ENG;Suffolk;Bramfield;;E1.51;N52.30;10;
2;ENG;Suffolk;Bramford;;E1.09;N52.07;10;
2;ENG;Suffolk;Brampton;;E1.56;N52.37;10;
2;ENG;Suffolk;Brampton Street;;E1.55;N52.37;10;
2;ENG;Suffolk;Brandeston;;E1.27;N52.19;10;
2;ENG;Suffolk;Brandon;;E0.61;N52.44;10;
2;ENG;Suffolk;Brantham;;E1.05;N51.96;10;
2;ENG;Suffolk;Bredfield;;E1.30;N52.12;10;
2;ENG;Suffolk;Brent Eleigh;;E0.83;N52.08;10;
2;ENG;Suffolk;Brett;;E0.93;N52.07;10;
2;ENG;Suffolk;Brettenham;;E0.86;N52.14;10;
2;ENG;Suffolk;Bridge Street;;E0.72;N52.10;10;
2;ENG;Suffolk;Brightwell;;E1.26;N52.04;10;
2;ENG;Suffolk;Broad Green;;E1.05;N52.18;10;
2;ENG;Suffolk;Broad Green;;E0.60;N52.20;10;
2;ENG;Suffolk;Broad Street;;E0.85;N52.05;10;
2;ENG;Suffolk;Broadgrass Green;;E0.86;N52.23;10;
2;ENG;Suffolk;Broadway;;E1.50;N52.34;10;
2;ENG;Suffolk;Brockford Green;;E1.10;N52.24;10;
2;ENG;Suffolk;Brockford Street;;E1.09;N52.25;10;
2;ENG;Suffolk;Brockley;;E0.68;N52.30;10;
2;ENG;Suffolk;Brockley Green;;E0.50;N52.09;10;
