"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Surrey;Aaron's Hill;;W0.64;N51.17;10;
2;ENG;Surrey;Abbey Mead;;W0.50;N51.39;10;
2;ENG;Surrey;Abbotswood;;W0.56;N51.24;10;
2;ENG;Surrey;Abinger Common;;W0.41;N51.19;10;
2;ENG;Surrey;Abinger Hammer;;W0.44;N51.21;10;
2;ENG;Surrey;Addington;;W0.03;N51.35;10;
2;ENG;Surrey;Addiscombe;;W0.07;N51.37;10;
2;ENG;Surrey;Addlestone;;W0.50;N51.36;10;
2;ENG;Surrey;Addlestonemoor;;W0.50;N51.37;10;
2;ENG;Surrey;Albury;;W0.49;N51.21;10;
2;ENG;Surrey;Albury Heath;;W0.48;N51.20;10;
2;ENG;Surrey;Alfold;;W0.53;N51.09;10;
2;ENG;Surrey;Alfold Crossways;;W0.51;N51.10;10;
2;ENG;Surrey;Anerley;;W0.07;N51.40;10;
2;ENG;Surrey;Ansteadbrook;;W0.67;N51.07;10;
2;ENG;Surrey;Aperfield;;E0.03;N51.30;10;
2;ENG;Surrey;Artington;;W0.58;N51.21;10;
2;ENG;Surrey;Ash;;W0.72;N51.25;10;
2;ENG;Surrey;Ash Green;;W0.71;N51.23;10;
2;ENG;Surrey;Ash Vale;;W0.72;N51.26;10;
2;ENG;Surrey;Ashford;;W0.47;N51.42;10;
2;ENG;Surrey;Ashford Common;;W0.44;N51.41;10;
2;ENG;Surrey;Ashley Park;;W0.42;N51.37;10;
2;ENG;Surrey;Ashtead;;W0.30;N51.30;10;
2;ENG;Surrey;Badshot Lea;;W0.76;N51.22;10;
2;ENG;Surrey;Bagshot;;W0.69;N51.35;10;
2;ENG;Surrey;Bagshot Heath;;W0.69;N51.34;10;
2;ENG;Surrey;Bandonhill;;W0.14;N51.36;10;
2;ENG;Surrey;Banstead;;W0.20;N51.31;10;
2;ENG;Surrey;Barnes;;W0.24;N51.47;10;
2;ENG;Surrey;Barwell;;W0.32;N51.35;10;
2;ENG;Surrey;Basingstoke Canal;;W0.71;N51.27;10;
2;ENG;Surrey;Beacon Hill;;W0.75;N51.11;10;
2;ENG;Surrey;Beare Green;;W0.32;N51.17;10;
2;ENG;Surrey;Beddington;;W0.13;N51.36;10;
2;ENG;Surrey;Beddington Corner;;W0.16;N51.37;10;
2;ENG;Surrey;Bellfields;;W0.58;N51.24;10;
2;ENG;Surrey;Belmont;;W0.20;N51.34;10;
2;ENG;Surrey;Benhilton;;W0.19;N51.37;10;
2;ENG;Surrey;Berrylands;;W0.29;N51.38;10;
2;ENG;Surrey;Betchworth;;W0.26;N51.23;10;
2;ENG;Surrey;Beverley Beck;;W0.24;N51.40;10;
2;ENG;Surrey;Binscombe;;W0.62;N51.19;10;
2;ENG;Surrey;Birtley Green;;W0.55;N51.17;10;
2;ENG;Surrey;Bishopsgate;;W0.59;N51.42;10;
2;ENG;Surrey;Bisley;;W0.63;N51.32;10;
2;ENG;Surrey;Bisley Camp;;W0.66;N51.30;10;
2;ENG;Surrey;Blackbrook;;W0.31;N51.20;10;
2;ENG;Surrey;Bletchingley;;W0.09;N51.23;10;
2;ENG;Surrey;Blindley Heath;;W0.05;N51.18;10;
2;ENG;Surrey;Boundstone;;W0.81;N51.18;10;
2;ENG;Surrey;Bowlhead Green;;W0.70;N51.13;10;
2;ENG;Surrey;Box Hill;;W0.29;N51.24;10;
2;ENG;Surrey;Bramley;;W0.57;N51.18;10;
2;ENG;Surrey;Brentford;;W0.30;N51.47;10;
2;ENG;Surrey;Brentford End;;W0.33;N51.48;10;
2;ENG;Surrey;Brewer Street;;W0.11;N51.24;10;
2;ENG;Surrey;Brick Hill;;W0.63;N51.36;10;
2;ENG;Surrey;Bridge End;;W0.46;N51.30;10;
2;ENG;Surrey;Broad Green;;W0.10;N51.37;10;
2;ENG;Surrey;Broadford;;W0.58;N51.20;10;
2;ENG;Surrey;Broadham Green;;W0.02;N51.24;10;
2;ENG;Surrey;Broadmoor;;W0.38;N51.19;10;
2;ENG;Surrey;Brockham;;W0.29;N51.22;10;
2;ENG;Surrey;Brockham Park;;W0.28;N51.20;10;
2;ENG;Surrey;Brook;;W0.67;N51.12;10;
2;ENG;Surrey;Brook;;W0.48;N51.20;10;
2;ENG;Surrey;Brook Place;;W0.63;N51.34;10;
2;ENG;Surrey;Brooklands;;W0.47;N51.34;10;
2;ENG;Surrey;Brookwood;;W0.63;N51.30;10;
