"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Sussex;Abbotsford;;W0.14;N50.96;10;
2;ENG;Sussex;Abingworth;;W0.43;N50.93;10;
2;ENG;Sussex;Adur;;W0.09;N50.96;10;
2;ENG;Sussex;Adversane;;W0.47;N50.99;10;
2;ENG;Sussex;Albourne;;W0.20;N50.92;10;
2;ENG;Sussex;Albourne Green;;W0.20;N50.92;10;
2;ENG;Sussex;Alciston;;E0.12;N50.82;10;
2;ENG;Sussex;Alderbrook;;E0.16;N51.04;10;
2;ENG;Sussex;Aldingbourne;;W0.69;N50.83;10;
2;ENG;Sussex;Aldrington;;W0.19;N50.83;10;
2;ENG;Sussex;Aldwick;;W0.71;N50.77;10;
2;ENG;Sussex;Alfold Bars;;W0.53;N51.08;10;
2;ENG;Sussex;Alfriston;;E0.14;N50.80;10;
2;ENG;Sussex;Amberley;;W0.53;N50.90;10;
2;ENG;Sussex;Ancton;;W0.61;N50.79;10;
2;ENG;Sussex;Angmering;;W0.49;N50.82;10;
2;ENG;Sussex;Ansty;;W0.16;N50.99;10;
2;ENG;Sussex;Apuldram;;W0.80;N50.82;10;
2;ENG;Sussex;Ardingly;;W0.08;N51.04;10;
2;ENG;Sussex;Ardingly Reservoir;;W0.10;N51.04;10;
2;ENG;Sussex;Argos Hill;;E0.23;N51.03;10;
2;ENG;Sussex;Arlington;;E0.18;N50.84;10;
2;ENG;Sussex;Arlington Reservoir;;E0.18;N50.84;10;
2;ENG;Sussex;Arun;;W0.53;N50.88;10;
2;ENG;Sussex;Arundel;;W0.56;N50.85;10;
2;ENG;Sussex;Ashburnham Forge;;E0.38;N50.91;10;
2;ENG;Sussex;Ashdown Forest;;E0.06;N51.05;10;
2;ENG;Sussex;Ashfold Crossways;;W0.24;N51.03;10;
2;ENG;Sussex;Ashington;;W0.39;N50.93;10;
2;ENG;Sussex;Ashton Green;;E0.07;N50.88;10;
2;ENG;Sussex;Ashurst;;W0.33;N50.93;10;
2;ENG;Sussex;Ashurst Wood;;E0.01;N51.10;10;
2;ENG;Sussex;Atherington;;W0.58;N50.79;10;
2;ENG;Sussex;Bachelor's Bump;;E0.61;N50.87;10;
2;ENG;Sussex;Balcombe;;W0.13;N51.05;10;
2;ENG;Sussex;Balcombe Lane;;W0.13;N51.07;10;
2;ENG;Sussex;Baldslow;;E0.54;N50.88;10;
2;ENG;Sussex;Baldwins Hill;;W0.02;N51.13;10;
2;ENG;Sussex;Balls Cross;;W0.60;N51.02;10;
2;ENG;Sussex;Balls Green;;E0.12;N51.10;10;
2;ENG;Sussex;Balls Green;;W0.43;N50.99;10;
2;ENG;Sussex;Barcombe;;W0.00;N50.90;10;
2;ENG;Sussex;Barcombe Cross;;E0.01;N50.91;10;
2;ENG;Sussex;Bardown;;E0.36;N51.03;10;
2;ENG;Sussex;Barlavington;;W0.62;N50.93;10;
2;ENG;Sussex;Barnham;;W0.63;N50.82;10;
2;ENG;Sussex;Barns Green;;W0.40;N51.03;10;
2;ENG;Sussex;Battle;;E0.47;N50.91;10;
2;ENG;Sussex;Beachlands;;E0.35;N50.81;10;
2;ENG;Sussex;Beachy Head;;E0.25;N50.73;10;
2;ENG;Sussex;Beacon Down;;E0.20;N50.96;10;
2;ENG;Sussex;Beckley;;E0.63;N50.97;10;
