"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Warwickshire;Abbey Hey;;W2.16;N53.46;10;
2;ENG;Warwickshire;Abbots Salford;;W1.91;N52.14;10;
2;ENG;Warwickshire;Acocks Green;;W1.83;N52.44;10;
2;ENG;Warwickshire;Admington;;W1.70;N52.11;10;
2;ENG;Warwickshire;Ailstone;;W1.70;N52.14;10;
2;ENG;Warwickshire;Alcester;;W1.88;N52.21;10;
2;ENG;Warwickshire;Alcester Lane's End;;W1.89;N52.41;10;
2;ENG;Warwickshire;Alderman's Green;;W1.48;N52.44;10;
2;ENG;Warwickshire;Alderminster;;W1.66;N52.13;10;
2;ENG;Warwickshire;Aldridge;;W1.92;N52.59;10;
2;ENG;Warwickshire;Allen End;;W1.76;N52.56;10;
2;ENG;Warwickshire;Allesley;;W1.57;N52.42;10;
2;ENG;Warwickshire;Alne;;W1.78;N52.27;10;
2;ENG;Warwickshire;Alne End;;W1.84;N52.22;10;
2;ENG;Warwickshire;Alne Hills;;W1.84;N52.23;10;
2;ENG;Warwickshire;Alum Rock;;W1.83;N52.48;10;
2;ENG;Warwickshire;Alveston;;W1.66;N52.20;10;
2;ENG;Warwickshire;Alveston Hill;;W1.67;N52.18;10;
2;ENG;Warwickshire;Ancoats;;W2.22;N53.47;10;
2;ENG;Warwickshire;Anker;;W1.70;N52.62;10;
2;ENG;Warwickshire;Ansley;;W1.57;N52.51;10;
2;ENG;Warwickshire;Ansley Common;;W1.54;N52.53;10;
2;ENG;Warwickshire;Ansty;;W1.42;N52.44;10;
2;ENG;Warwickshire;Appleby Parva;;W1.55;N52.66;10;
2;ENG;Warwickshire;Ardens Grafton;;W1.84;N52.18;10;
2;ENG;Warwickshire;Ardwick;;W2.22;N53.46;10;
2;ENG;Warwickshire;Arlescote;;W1.43;N52.12;10;
2;ENG;Warwickshire;Armscote;;W1.65;N52.09;10;
2;ENG;Warwickshire;Arrow;;W1.88;N52.15;10;
2;ENG;Warwickshire;Arrow;;W1.89;N52.20;10;
2;ENG;Warwickshire;Ascott;;W1.53;N52.00;10;
2;ENG;Warwickshire;Ash Green;;W1.51;N52.46;10;
2;ENG;Warwickshire;Ashmore Lake;;W2.06;N52.58;10;
2;ENG;Warwickshire;Ashorne;;W1.56;N52.21;10;
2;ENG;Warwickshire;Ashow;;W1.54;N52.32;10;
2;ENG;Warwickshire;Astley;;W1.54;N52.49;10;
2;ENG;Warwickshire;Aston;;W1.88;N52.49;10;
2;ENG;Warwickshire;Aston Cantlow;;W1.81;N52.22;10;
2;ENG;Warwickshire;Atherstone;;W1.54;N52.57;10;
2;ENG;Warwickshire;Atherstone on Stour;;W1.70;N52.14;10;
2;ENG;Warwickshire;Attleborough;;W1.45;N52.50;10;
2;ENG;Warwickshire;Austrey;;W1.57;N52.65;10;
2;ENG;Warwickshire;Avon;;W1.59;N52.26;10;
2;ENG;Warwickshire;Avon Dassett;;W1.40;N52.14;10;
2;ENG;Warwickshire;Baddesley Clinton;;W1.70;N52.34;10;
2;ENG;Warwickshire;Baddesley Ensor;;W1.60;N52.57;10;
2;ENG;Warwickshire;Baginton;;W1.50;N52.36;10;
2;ENG;Warwickshire;Baguley;;W2.28;N53.39;10;
2;ENG;Warwickshire;Ballard's Green;;W1.60;N52.51;10;
2;ENG;Warwickshire;Balsall Heath;;W1.89;N52.45;10;
2;ENG;Warwickshire;Banners Gate;;W1.88;N52.55;10;
2;ENG;Warwickshire;Barcheston;;W1.62;N52.04;10;
2;ENG;Warwickshire;Barford;;W1.60;N52.23;10;
2;ENG;Warwickshire;Barlow Moor;;W2.27;N53.42;10;
2;ENG;Warwickshire;Barnacle;;W1.44;N52.45;10;
2;ENG;Warwickshire;Barnmoor Green;;W1.73;N52.27;10;
2;ENG;Warwickshire;Barr Common;;W1.92;N52.58;10;
2;ENG;Warwickshire;Bartley Green;;W1.98;N52.43;10;
2;ENG;Warwickshire;Barton;;W1.85;N52.15;10;
2;ENG;Warwickshire;Barton on the Heath;;W1.63;N51.98;10;
2;ENG;Warwickshire;Bascote;;W1.41;N52.26;10;
2;ENG;Warwickshire;Bascote Heath;;W1.43;N52.25;10;
2;ENG;Warwickshire;Baxterley;;W1.60;N52.57;10;
2;ENG;Warwickshire;Bearley;;W1.73;N52.23;10;
2;ENG;Warwickshire;Bearley Cross;;W1.76;N52.23;10;
2;ENG;Warwickshire;Beaudesert;;W1.78;N52.29;10;
2;ENG;Warwickshire;Beausale;;W1.66;N52.32;10;
2;ENG;Warwickshire;Bedworth;;W1.48;N52.47;10;
2;ENG;Warwickshire;Bedworth Heath;;W1.50;N52.47;10;
2;ENG;Warwickshire;Bedworth Woodlands;;W1.50;N52.48;10;
2;ENG;Warwickshire;Beech Lanes;;W1.98;N52.46;10;
2;ENG;Warwickshire;Bell Green;;W1.47;N52.42;10;
2;ENG;Warwickshire;Belle Vue;;W2.19;N53.46;10;
2;ENG;Warwickshire;Benchill;;W2.27;N53.38;10;
2;ENG;Warwickshire;Bentley;;W2.03;N52.58;10;
2;ENG;Warwickshire;Bentley;;W1.58;N52.55;10;
2;ENG;Warwickshire;Bentley Common;;W1.58;N52.56;10;
2;ENG;Warwickshire;Bermuda;;W1.48;N52.49;10;
2;ENG;Warwickshire;Beswick;;W2.21;N53.46;10;
2;ENG;Warwickshire;Bickmarsh;;W1.85;N52.13;10;
2;ENG;Warwickshire;Bidford on Avon;;W1.85;N52.15;10;
2;ENG;Warwickshire;Billesley;;W1.86;N52.41;10;
2;ENG;Warwickshire;Billesley;;W1.79;N52.20;10;
