"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Westmorland;Ambleside;;W2.97;N54.42;10;
2;ENG;Westmorland;Applethwaite;;W3.14;N54.61;10;
2;ENG;Westmorland;Arnside;;W2.84;N54.19;10;
2;ENG;Westmorland;Asby;;W3.45;N54.56;10;
2;ENG;Westmorland;Askham;;W2.76;N54.60;10;
2;ENG;Westmorland;Casterton;;W2.58;N54.20;10;
2;ENG;Westmorland;Cliburn;;W2.65;N54.60;10;
2;ENG;Westmorland;Clifton;;W2.72;N54.62;10;
2;ENG;Westmorland;Colby;;W2.52;N54.57;10;
2;ENG;Westmorland;Crackenthorpe;;W2.52;N54.59;10;
2;ENG;Westmorland;Crook;;W2.83;N54.34;10;
2;ENG;Westmorland;Crosby Garrett;;W2.43;N54.47;10;
2;ENG;Westmorland;Crosby Ravensworth;;W2.58;N54.52;10;
2;ENG;Westmorland;Dalton;;W2.70;N54.17;10;
2;ENG;Westmorland;Dufton;;W2.49;N54.61;10;
2;ENG;Westmorland;Farleton;;W2.72;N54.22;10;
2;ENG;Westmorland;Firbank;;W2.58;N54.34;10;
2;ENG;Westmorland;Grasmere;;W3.03;N54.45;10;
2;ENG;Westmorland;Grayrigg;;W2.66;N54.36;10;
2;ENG;Westmorland;Great Musgrave;;W2.37;N54.51;10;
2;ENG;Westmorland;Great Strickland;;W2.69;N54.59;10;
2;ENG;Westmorland;Hartley;;W2.34;N54.46;10;
2;ENG;Westmorland;Heversham;;W2.78;N54.24;10;
2;ENG;Westmorland;Hincaster;;W2.76;N54.24;10;
2;ENG;Westmorland;Hoff;;W2.51;N54.54;10;
2;ENG;Westmorland;Holme;;W2.73;N54.19;10;
2;ENG;Westmorland;Hutton Roof;;W2.66;N54.19;10;
2;ENG;Westmorland;Hutton Roof;;W2.97;N54.69;10;
2;ENG;Westmorland;Kaber;;W2.32;N54.49;10;
2;ENG;Westmorland;Kendal;;W2.75;N54.32;10;
2;ENG;Westmorland;Kentmere;;W2.84;N54.42;10;
2;ENG;Westmorland;Killington;;W2.60;N54.28;10;
2;ENG;Westmorland;Kirkby Lonsdale;;W2.59;N54.19;10;
2;ENG;Westmorland;Kirkby Stephen;;W2.35;N54.46;10;
2;ENG;Westmorland;Kirkby Thore;;W2.57;N54.61;10;
2;ENG;Westmorland;Kirkland;;W3.43;N54.54;10;
2;ENG;Westmorland;Kirkland;;W2.55;N54.68;10;
2;ENG;Westmorland;Kirkland;;W3.15;N54.82;10;
2;ENG;Westmorland;Levens;;W2.79;N54.26;10;
2;ENG;Westmorland;Little Musgrave;;W2.38;N54.51;10;
2;ENG;Westmorland;Little Strickland;;W2.68;N54.56;10;
2;ENG;Westmorland;Long Marton;;W2.52;N54.61;10;
2;ENG;Westmorland;Lowther;;W2.69;N54.51;10;
2;ENG;Westmorland;Lowther;;W2.72;N54.60;10;
2;ENG;Westmorland;Lupton;;W2.69;N54.22;10;
2;ENG;Westmorland;Mansergh;;W2.61;N54.23;10;
2;ENG;Westmorland;Martindale;;W2.88;N54.56;10;
2;ENG;Westmorland;Middleton;;W2.58;N54.26;10;
2;ENG;Westmorland;Milburn;;W2.54;N54.65;10;
2;ENG;Westmorland;Milnthorpe;;W2.78;N54.22;10;
2;ENG;Westmorland;Morland;;W2.63;N54.59;10;
2;ENG;Westmorland;Murton;;W2.43;N54.58;10;
2;ENG;Westmorland;Nateby;;W2.35;N54.44;10;
2;ENG;Westmorland;Natland;;W2.73;N54.29;10;
2;ENG;Westmorland;New Hutton;;W2.67;N54.31;10;
2;ENG;Westmorland;Newbiggin;;W3.13;N54.11;10;
2;ENG;Westmorland;Newbiggin;;W2.69;N54.20;10;
2;ENG;Westmorland;Newbiggin;;W3.40;N54.33;10;
2;ENG;Westmorland;Newbiggin;;W2.59;N54.64;10;
2;ENG;Westmorland;Newbiggin;;W2.82;N54.65;10;
2;ENG;Westmorland;Newbiggin;;W2.70;N54.83;10;
2;ENG;Westmorland;Newby;;W2.63;N54.58;10;
2;ENG;Westmorland;Orton;;W2.58;N54.46;10;
2;ENG;Westmorland;Patterdale;;W2.94;N54.52;10;
2;ENG;Westmorland;Ravenstonedale;;W2.43;N54.42;10;
2;ENG;Westmorland;Sedgwick;;W2.75;N54.27;10;
2;ENG;Westmorland;Shap;;W2.68;N54.52;10;
2;ENG;Westmorland;Sleagill;;W2.63;N54.56;10;
2;ENG;Westmorland;Smardale;;W2.41;N54.46;10;
2;ENG;Westmorland;Sockbridge;;W2.77;N54.62;10;
2;ENG;Westmorland;Soulby;;W2.40;N54.49;10;
2;ENG;Westmorland;Soulby;;W2.83;N54.61;10;
2;ENG;Westmorland;Stainton;;W2.73;N54.25;10;
2;ENG;Westmorland;Stainton;;W2.80;N54.64;10;
2;ENG;Westmorland;Stainton;;W2.98;N54.89;10;
2;ENG;Westmorland;Tebay;;W2.60;N54.43;10;
2;ENG;Westmorland;Temple Sowerby;;W2.60;N54.63;10;
2;ENG;Westmorland;Troutbeck;;W2.92;N54.41;10;
2;ENG;Westmorland;Waitby;;W2.38;N54.46;10;
2;ENG;Westmorland;Warcop;;W2.40;N54.53;10;
2;ENG;Westmorland;Windermere;;W2.90;N54.37;10;
2;ENG;Westmorland;Winton;;W2.34;N54.48;10;
2;ENG;Westmorland;Witherslack;;W2.87;N54.24;10;
