Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;A Coruña;Abegondo;;W8.29;N43.22;12;
2;ESP;A Coruña;Ames;;W8.64;N42.88;12;
2;ESP;A Coruña;Aranga;;W8.03;N43.21;12;
2;ESP;A Coruña;Ares;;W8.26;N43.43;12;
2;ESP;A Coruña;Arteixo;;W8.52;N43.33;12;
2;ESP;A Coruña;Arzúa;;W8.18;N42.93;12;
2;ESP;A Coruña;A Baña;;W8.75;N42.96;12;
2;ESP;A Coruña;Bergondo;;W8.23;N43.32;12;
2;ESP;A Coruña;Betanzos;;W8.23;N43.27;12;
2;ESP;A Coruña;Boimorto;;W8.14;N43.02;12;
2;ESP;A Coruña;Boiro;;W8.88;N42.65;12;
2;ESP;A Coruña;Boqueixón;;W8.41;N42.81;12;
2;ESP;A Coruña;Brión;;W8.72;N42.85;12;
2;ESP;A Coruña;Cabana de Bergantiños;;W8.90;N43.21;12;
2;ESP;A Coruña;Cabanas;;W8.13;N43.43;12;
2;ESP;A Coruña;Camariñas;;W9.16;N43.17;12;
2;ESP;A Coruña;Cambre;;W8.34;N43.29;12;
2;ESP;A Coruña;A Capela;;W8.04;N43.44;12;
2;ESP;A Coruña;Carballo;;W8.67;N43.22;12;
2;ESP;A Coruña;Cariño;;W7.89;N43.74;12;
2;ESP;A Coruña;Carnota;;W9.13;N42.85;12;
2;ESP;A Coruña;Carral;;W8.34;N43.22;12;
2;ESP;A Coruña;Cedeira;;W8.02;N43.68;12;
2;ESP;A Coruña;Cee;;W9.19;N42.96;12;
2;ESP;A Coruña;Cerceda;;W8.48;N43.16;12;
2;ESP;A Coruña;Cerdido;;W7.95;N43.61;12;
2;ESP;A Coruña;Cesuras;;W8.21;N43.17;12;
2;ESP;A Coruña;Coirós;;W8.15;N43.25;12;
2;ESP;A Coruña;Corcubión;;W9.20;N42.93;12;
2;ESP;A Coruña;Coristanco;;W8.77;N43.17;12;
2;ESP;A Coruña;A Coruña;;W8.42;N43.37;12;
2;ESP;A Coruña;Culleredo;;W8.38;N43.28;12;
2;ESP;A Coruña;Curtis;;W8.05;N43.15;12;
2;ESP;A Coruña;Dodro;;W8.70;N42.72;12;
2;ESP;A Coruña;Dumbría;;W8.69;N43.01;12;
2;ESP;A Coruña;Fene;;W8.16;N43.47;12;
2;ESP;A Coruña;Ferrol;;W8.23;N43.50;12;
2;ESP;A Coruña;Fisterra;;W9.27;N42.92;12;
2;ESP;A Coruña;Frades;;W8.28;N43.04;12;
2;ESP;A Coruña;Irixoa;;W8.08;N43.29;12;
2;ESP;A Coruña;A Laracha;;W8.57;N43.26;12;
2;ESP;A Coruña;Laxe;;W9.01;N43.21;12;
2;ESP;A Coruña;Lousame;;W8.83;N42.77;12;
2;ESP;A Coruña;Malpica de Bergantiños;;W8.82;N43.31;12;
2;ESP;A Coruña;Mañón;;W7.72;N43.68;12;
2;ESP;A Coruña;Mazaricos;;W8.99;N42.94;12;
2;ESP;A Coruña;Melide;;W8.04;N42.93;12;
2;ESP;A Coruña;Mesía;;W8.24;N43.09;12;
2;ESP;A Coruña;Miño;;W8.18;N43.35;12;
2;ESP;A Coruña;Moeche;;W7.97;N43.57;12;
2;ESP;A Coruña;Monfero;;W8.03;N43.35;12;
2;ESP;A Coruña;Mugardos;;W8.25;N43.46;12;
2;ESP;A Coruña;Muros;;W9.06;N42.78;12;
2;ESP;A Coruña;Muxía;;W9.22;N43.07;12;
2;ESP;A Coruña;Narón;;W8.20;N43.53;12;
2;ESP;A Coruña;Neda;;W8.14;N43.50;12;
2;ESP;A Coruña;Negreira;;W8.81;N42.91;12;
2;ESP;A Coruña;Noia;;W8.89;N42.78;12;
2;ESP;A Coruña;Oleiros;;W8.34;N43.37;12;
2;ESP;A Coruña;Ordes;;W8.40;N43.09;12;
2;ESP;A Coruña;Oroso;;W8.38;N43.00;12;
2;ESP;A Coruña;Ortigueira;;W7.84;N43.67;12;
2;ESP;A Coruña;Outes;;W8.91;N42.84;12;
2;ESP;A Coruña;Oza dos Ríos;;W8.16;N43.21;12;
2;ESP;A Coruña;Paderne;;W8.16;N43.29;12;
2;ESP;A Coruña;Padrón;;W8.63;N42.76;12;
2;ESP;A Coruña;O Pino;;W8.30;N42.96;12;
2;ESP;A Coruña;A Pobra do Caramiñal;;W8.93;N42.60;12;
2;ESP;A Coruña;Ponteceso;;W8.92;N43.27;12;
2;ESP;A Coruña;Pontedeume;;W8.18;N43.40;12;
2;ESP;A Coruña;As Pontes de García Rodríguez;;W7.85;N43.48;12;
2;ESP;A Coruña;Porto do Son;;W9.00;N42.69;12;
2;ESP;A Coruña;Rianxo;;W8.78;N42.67;12;
2;ESP;A Coruña;Ribeira;;W9.02;N42.54;12;
2;ESP;A Coruña;Rois;;W8.70;N42.79;12;
2;ESP;A Coruña;Sada;;W8.27;N43.37;12;
2;ESP;A Coruña;San Sadurniño;;W8.02;N43.52;12;
2;ESP;A Coruña;Santa Comba;;W8.82;N43.02;12;
2;ESP;A Coruña;Santiago de Compostela;;W8.54;N42.89;10;
2;ESP;A Coruña;Santiso;;W8.08;N42.87;12;
2;ESP;A Coruña;Sobrado;;W6.87;N42.51;12;
2;ESP;A Coruña;As Somozas;;W7.91;N43.53;12;
2;ESP;A Coruña;Teo;;W8.56;N42.79;12;
2;ESP;A Coruña;Toques;;W7.97;N42.98;12;
2;ESP;A Coruña;Tordoia;;W8.54;N43.09;12;
2;ESP;A Coruña;Touro;;W8.30;N42.85;12;
2;ESP;A Coruña;Trazo;;W8.53;N43.00;12;
2;ESP;A Coruña;Val do Dubra;;W8.65;N43.01;12;
2;ESP;A Coruña;Valdoviño;;W8.11;N43.61;12;
2;ESP;A Coruña;Vedra;;W8.48;N42.79;12;
2;ESP;A Coruña;Vilarmaior;;W8.12;N43.35;12;
2;ESP;A Coruña;Vilasantar;;W8.10;N43.06;12;
2;ESP;A Coruña;Vimianzo;;W9.02;N43.11;12;
2;ESP;A Coruña;Zas;;W8.93;N43.10;12;
