Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Albacete;Abengibre;;W1.55;N39.22;12;
2;ESP;Albacete;Alatoz;;W1.37;N39.08;12;
2;ESP;Albacete;Albacete;;W1.85;N38.97;12;
2;ESP;Albacete;Albatana;;W1.51;N38.57;12;
2;ESP;Albacete;Alborea;;W1.37;N39.29;12;
2;ESP;Albacete;Alcadozo;;W2.04;N38.67;12;
2;ESP;Albacete;Alcalá del Júcar;;W1.41;N39.20;12;
2;ESP;Albacete;Alcaraz;;W2.52;N38.69;12;
2;ESP;Albacete;Almansa;;W1.12;N38.83;12;
2;ESP;Albacete;Alpera;;W1.26;N38.98;12;
2;ESP;Albacete;Ayna;;W2.15;N38.55;12;
2;ESP;Albacete;Balazote;;W2.15;N38.89;12;
2;ESP;Albacete;El Ballestero;;W2.47;N38.85;12;
2;ESP;Albacete;Balsa de Ves;;W1.21;N39.27;12;
2;ESP;Albacete;Barrax;;W2.21;N39.04;12;
2;ESP;Albacete;Bienservida;;W2.65;N38.53;12;
2;ESP;Albacete;Bogarra;;W2.29;N38.56;12;
2;ESP;Albacete;Bonete;;W1.30;N38.89;12;
2;ESP;Albacete;El Bonillo;;W2.59;N38.94;12;
2;ESP;Albacete;Carcelén;;W1.29;N39.11;12;
2;ESP;Albacete;Casas de Juan Núñez;;W1.56;N39.09;12;
2;ESP;Albacete;Casas de Lázaro;;W2.25;N38.80;12;
2;ESP;Albacete;Casas de Ves;;W1.29;N39.26;12;
2;ESP;Albacete;Casas-Ibáñez;;W1.44;N39.33;12;
2;ESP;Albacete;Caudete;;W1.04;N38.71;12;
2;ESP;Albacete;Cenizate;;W1.66;N39.30;12;
2;ESP;Albacete;Chinchilla de Monte-Aragón;;W1.59;N38.86;12;
2;ESP;Albacete;Corral-Rubio;;W1.45;N38.81;12;
2;ESP;Albacete;Cotillas;;W2.50;N38.43;12;
2;ESP;Albacete;Elche de la Sierra;;W2.10;N38.44;12;
2;ESP;Albacete;Férez;;W1.95;N38.38;12;
2;ESP;Albacete;Fuensanta;;W2.07;N39.24;12;
2;ESP;Albacete;Fuente-Álamo;;W1.43;N38.70;12;
2;ESP;Albacete;Fuentealbilla;;W1.59;N39.23;12;
2;ESP;Albacete;La Gineta;;W2.00;N39.14;12;
2;ESP;Albacete;Golosalvo;;W1.63;N39.24;12;
2;ESP;Albacete;Hellín;;W1.75;N38.45;12;
2;ESP;Albacete;La Herrera;;W2.10;N38.93;12;
2;ESP;Albacete;Higueruela;;W1.40;N38.96;12;
2;ESP;Albacete;Hoya-Gonzalo;;W1.56;N38.95;12;
2;ESP;Albacete;Jorquera;;W1.54;N39.16;12;
2;ESP;Albacete;Letur;;W2.13;N38.35;12;
2;ESP;Albacete;Lezuza;;W2.32;N38.96;12;
2;ESP;Albacete;Liétor;;W1.94;N38.51;12;
2;ESP;Albacete;Madrigueras;;W1.81;N39.23;12;
2;ESP;Albacete;Mahora;;W1.71;N39.19;12;
2;ESP;Albacete;Masegoso;;W2.34;N38.73;12;
2;ESP;Albacete;Minaya;;W2.31;N39.22;12;
2;ESP;Albacete;Molinicos;;W2.30;N38.50;12;
2;ESP;Albacete;Montalvos;;W2.02;N39.18;12;
2;ESP;Albacete;Montealegre del Castillo;;W1.30;N38.74;12;
2;ESP;Albacete;Motilleja;;W1.79;N39.16;12;
2;ESP;Albacete;Munera;;W2.43;N39.09;12;
2;ESP;Albacete;Navas de Jorquera;;W1.72;N39.28;12;
2;ESP;Albacete;Nerpio;;W2.37;N38.16;12;
2;ESP;Albacete;Ontur;;W1.47;N38.63;12;
2;ESP;Albacete;Ossa de Montiel;;W2.76;N38.98;12;
2;ESP;Albacete;Paterna del Madera;;W2.35;N38.59;12;
2;ESP;Albacete;Peñas de San Pedro;;W2.03;N38.72;12;
2;ESP;Albacete;Peñascosa;;W2.34;N38.66;12;
2;ESP;Albacete;Pétrola;;W1.51;N38.80;12;
2;ESP;Albacete;Povedilla;;W2.62;N38.71;12;
2;ESP;Albacete;Pozo Cañada;;W1.73;N38.81;12;
2;ESP;Albacete;Pozohondo;;W1.91;N38.70;12;
2;ESP;Albacete;Pozo-Lorente;;W1.50;N39.07;12;
2;ESP;Albacete;Pozuelo;;W2.09;N38.82;12;
2;ESP;Albacete;La Recueja;;W1.46;N39.15;12;
2;ESP;Albacete;Riópar;;W2.44;N38.47;12;
2;ESP;Albacete;Robledo;;W2.40;N38.78;12;
2;ESP;Albacete;La Roda;;W2.19;N39.18;12;
2;ESP;Albacete;Salobre;;W2.54;N38.58;12;
2;ESP;Albacete;San Pedro;;W2.19;N38.80;12;
2;ESP;Albacete;Socovos;;W1.91;N38.35;12;
2;ESP;Albacete;Tarazona de la Mancha;;W1.95;N39.21;12;
2;ESP;Albacete;Tobarra;;W1.68;N38.63;12;
2;ESP;Albacete;Valdeganga;;W1.67;N39.14;12;
2;ESP;Albacete;Vianos;;W2.52;N38.58;12;
2;ESP;Albacete;Villa de Ves;;W1.26;N39.20;12;
2;ESP;Albacete;Villalgordo del Júcar;;W2.06;N39.32;12;
2;ESP;Albacete;Villamalea;;W1.53;N39.37;12;
2;ESP;Albacete;Villapalacios;;W2.63;N38.58;12;
2;ESP;Albacete;Villarrobledo;;W2.60;N39.20;12;
2;ESP;Albacete;Villatoya;;W1.33;N39.33;12;
2;ESP;Albacete;Villavaliente;;W1.47;N39.11;12;
2;ESP;Albacete;Villaverde de Guadalimar;;W2.51;N38.46;12;
2;ESP;Albacete;Viveros;;W2.57;N38.81;12;
2;ESP;Albacete;Yeste;;W2.31;N38.32;12;
