Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Almería;Abla;;W2.76;N37.16;12;
2;ESP;Almería;Abrucena;;W2.82;N37.15;12;
2;ESP;Almería;Adra;;W3.024;N36.749;10;
2;ESP;Almería;Albánchez;;W2.16;N37.29;12;
2;ESP;Almería;Alboloduy;;W2.62;N37.07;12;
2;ESP;Almería;Albox;;W2.14;N37.45;12;
2;ESP;Almería;Alcolea;;W3.01;N36.93;12;
2;ESP;Almería;Alcóntar;;W2.62;N37.32;12;
2;ESP;Almería;Alcudia de Monteagud;;W2.25;N37.24;12;
2;ESP;Almería;Alhabia;;W2.56;N36.99;12;
2;ESP;Almería;Alhama de Almería;;W2.57;N36.96;12;
2;ESP;Almería;Alicún;;W2.60;N36.95;12;
2;ESP;Almería;Almería;;W2.43;N36.77;12;
2;ESP;Almería;Almócita;;W2.81;N36.98;12;
2;ESP;Almería;Alsodux;;W2.61;N37.03;12;
2;ESP;Almería;Antas;;W1.97;N37.26;12;
2;ESP;Almería;Arboleas;;W2.08;N37.35;12;
2;ESP;Almería;Armuña de Almanzora;;W2.42;N37.36;12;
2;ESP;Almería;Bacares;;W2.48;N37.25;12;
2;ESP;Almería;Bayárcal;;W2.99;N37.05;12;
2;ESP;Almería;Bayarque;;W2.46;N37.32;12;
2;ESP;Almería;Bédar;;W2.00;N37.18;12;
2;ESP;Almería;Beires;;W2.81;N37.03;12;
2;ESP;Almería;Benahadux;;W2.46;N36.92;12;
2;ESP;Almería;Benitagla;;W2.22;N37.24;12;
2;ESP;Almería;Benizalón;;W2.21;N37.21;12;
2;ESP;Almería;Bentarique;;W2.65;N36.96;12;
2;ESP;Almería;Berja;;W2.97;N36.84;12;
2;ESP;Almería;Canjáyar;;W2.74;N37.00;12;
2;ESP;Almería;Cantoria;;W2.16;N37.33;12;
2;ESP;Almería;Carboneras;;W1.92;N37.00;12;
2;ESP;Almería;Castro de Filabres;;W2.45;N37.18;12;
2;ESP;Almería;Chercos;;W2.27;N37.26;12;
2;ESP;Almería;Chirivel;;W2.28;N37.61;12;
2;ESP;Almería;Cóbdar;;W2.19;N37.25;12;
2;ESP;Almería;Cuevas del Almanzora;;W1.78;N37.30;12;
2;ESP;Almería;Dalías;;W2.83;N36.85;12;
