Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Asturias;Allande;;W6.70;N43.24;12;
2;ESP;Asturias;Aller;;W5.58;N43.12;12;
2;ESP;Asturias;Amieva;;W5.09;N43.25;12;
2;ESP;Asturias;Avilés;;W5.93;N43.57;10;
2;ESP;Asturias;Belmonte de Miranda;;W6.23;N43.30;12;
2;ESP;Asturias;Bimenes;;W5.56;N43.32;12;
2;ESP;Asturias;Boal;;W6.82;N43.42;12;
2;ESP;Asturias;Cabrales;;W4.85;N43.32;11;
2;ESP;Asturias;Cabranes;;W5.43;N43.41;12;
2;ESP;Asturias;Candamo;;W6.05;N43.45;12;
2;ESP;Asturias;Cangas de Onís;;W5.07;N43.33;12;
2;ESP;Asturias;Cangas del Narcea;;W6.54;N43.12;12;
2;ESP;Asturias;Caravia;;W5.19;N43.47;12;
2;ESP;Asturias;Carreño;;W5.77;N43.57;12;
2;ESP;Asturias;Caso;;W5.35;N43.18;12;
2;ESP;Asturias;Castrillón;;W5.99;N43.57;12;
2;ESP;Asturias;Castropol;;W6.97;N43.49;12;
2;ESP;Asturias;Coaña;;W6.76;N43.54;12;
2;ESP;Asturias;Colunga;;W5.28;N43.50;12;
2;ESP;Asturias;Corvera de Asturias;;W5.87;N43.52;12;
2;ESP;Asturias;Cudillero;;W6.23;N43.56;12;
2;ESP;Asturias;Degaña;;W6.57;N42.95;12;
2;ESP;Asturias;El Franco;;W6.84;N43.55;12;
2;ESP;Asturias;Gijón;;W5.68;N43.53;11;
2;ESP;Asturias;Gozón;;W5.84;N43.62;12;
2;ESP;Asturias;Grado;;W6.10;N43.31;12;
2;ESP;Asturias;Grandas de Salime;;W6.90;N43.21;12;
2;ESP;Asturias;Ibias;;W6.85;N43.01;12;
2;ESP;Asturias;Illano;;W6.85;N43.34;12;
2;ESP;Asturias;Illas;;W5.97;N43.50;12;
2;ESP;Asturias;Langreo;;W5.69;N43.30;10;
2;ESP;Asturias;Laviana;;W5.53;N43.23;12;
2;ESP;Asturias;Lena;;W5.73;N43.10;12;
2;ESP;Asturias;Llanera;;W5.86;N43.44;12;
2;ESP;Asturias;Llanes;;W4.94;N43.44;10;
2;ESP;Asturias;Mieres;;W5.75;N43.23;12;
2;ESP;Asturias;Morcín;;W5.89;N43.26;12;
2;ESP;Asturias;Muros de Nalón;;W6.10;N43.56;12;
2;ESP;Asturias;Nava;;W5.49;N43.34;12;
2;ESP;Asturias;Navia;;W6.66;N43.54;12;
2;ESP;Asturias;Noreña;;W5.70;N43.40;12;
2;ESP;Asturias;Onís;;W4.95;N43.30;12;
2;ESP;Asturias;Oviedo;;W5.87;N43.36;10;
2;ESP;Asturias;Parres;;W5.18;N43.37;12;
2;ESP;Asturias;Peñamellera Alta;;W4.69;N43.32;12;
2;ESP;Asturias;Peñamellera Baja;;W4.61;N43.30;12;
2;ESP;Asturias;Pesoz;;W6.87;N43.27;12;
2;ESP;Asturias;Piloña;;W5.33;N43.32;12;
2;ESP;Asturias;Ponga;;W5.17;N43.18;12;
2;ESP;Asturias;Pravia;;W6.15;N43.49;12;
2;ESP;Asturias;Proaza;;W6.03;N43.24;12;
2;ESP;Asturias;Quirós;;W5.98;N43.16;12;
2;ESP;Asturias;Las Regueras;;W5.97;N43.41;12;
2;ESP;Asturias;Ribadedeva;;W4.57;N43.37;10;
2;ESP;Asturias;Ribadesella;;W5.07;N43.45;12;
2;ESP;Asturias;Ribera de Arriba;;W5.87;N43.31;12;
2;ESP;Asturias;Riosa;;W5.88;N43.22;12;
2;ESP;Asturias;Salas;;W6.23;N43.41;12;
2;ESP;Asturias;San Martín de Oscos;;W6.94;N43.28;12;
2;ESP;Asturias;San Martín del Rey Aurelio;;W5.62;N43.27;12;
2;ESP;Asturias;San Tirso de Abres;;W7.14;N43.40;12;
2;ESP;Asturias;Santa Eulalia de Oscos;;W7.02;N43.26;12;
2;ESP;Asturias;Santo Adriano;;W5.98;N43.29;12;
2;ESP;Asturias;Sariego;;W5.56;N43.41;12;
2;ESP;Asturias;Siero;;W5.67;N43.38;12;
2;ESP;Asturias;Sobrescobio;;W5.47;N43.19;12;
2;ESP;Asturias;Somiedo;;W6.25;N43.09;12;
2;ESP;Asturias;Soto del Barco;;W6.06;N43.53;12;
2;ESP;Asturias;Tapia de Casariego;;W6.93;N43.55;12;
2;ESP;Asturias;Taramundi;;W7.08;N43.37;12;
2;ESP;Asturias;Teverga;;W6.12;N43.15;12;
2;ESP;Asturias;Tineo;;W6.47;N43.34;12;
2;ESP;Asturias;Valdés;;W6.48;N43.53;12;
2;ESP;Asturias;Vegadeo;;W7.03;N43.42;12;
2;ESP;Asturias;Villanueva de Oscos;;W6.99;N43.33;12;
2;ESP;Asturias;Villaviciosa;;W5.45;N43.52;10;
2;ESP;Asturias;Villayón;;W6.71;N43.42;12;
2;ESP;Asturias;Yernes y Tameza;;W6.11;N43.26;12;
