Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Barcelona;Abrera;;E1.90;N41.52;12;
2;ESP;Barcelona;Aguilar de Segarra;;E1.62;N41.73;12;
2;ESP;Barcelona;Aiguafreda;;E2.26;N41.78;12;
2;ESP;Barcelona;Alella;;E2.29;N41.49;12;
2;ESP;Barcelona;Alpens;;E2.10;N42.12;12;
2;ESP;Barcelona;L'Ametlla del Vallès;;E2.25;N41.68;12;
2;ESP;Barcelona;Arenys de Mar;;E2.55;N41.58;12;
2;ESP;Barcelona;Arenys de Munt;;E2.53;N41.61;12;
2;ESP;Barcelona;Argençola;;E1.47;N41.59;12;
2;ESP;Barcelona;Argentona;;E2.40;N41.56;12;
2;ESP;Barcelona;Artés;;E1.95;N41.80;12;
2;ESP;Barcelona;Avià;;E1.83;N42.06;12;
2;ESP;Barcelona;Avinyó;;E1.98;N41.86;12;
2;ESP;Barcelona;Avinyonet del Penedès;;E1.78;N41.36;12;
2;ESP;Barcelona;Badalona;;E2.13;N41.40;10;
2;ESP;Barcelona;Badia del Vallès;;E2.12;N41.51;12;
2;ESP;Barcelona;Bagà;;E1.83;N42.28;12;
2;ESP;Barcelona;Balenyà;;E2.23;N41.82;12;
2;ESP;Barcelona;Balsareny;;E1.87;N41.87;12;
2;ESP;Barcelona;Barberà del Vallès;;E2.13;N41.52;12;
2;ESP;Barcelona;Barcelona;;E2.13;N41.40;10;
2;ESP;Barcelona;Begues;;E1.90;N41.33;12;
2;ESP;Barcelona;Bellprat;;E1.45;N41.51;12;
2;ESP;Barcelona;Berga;;E1.84;N42.10;12;
2;ESP;Barcelona;Bigues i Riells;;E2.20;N41.69;12;
2;ESP;Barcelona;Borredà;;E1.99;N42.13;12;
2;ESP;Barcelona;El Bruc;;E1.76;N41.61;12;
2;ESP;Barcelona;El Brull;;E2.30;N41.82;12;
2;ESP;Barcelona;Les Cabanyes;;E1.69;N41.37;12;
2;ESP;Barcelona;Cabrera d'Anoia;;E1.72;N41.49;12;
2;ESP;Barcelona;Cabrera de Mar;;E2.40;N41.53;12;
2;ESP;Barcelona;Cabrils;;E2.37;N41.53;12;
2;ESP;Barcelona;Calaf;;E1.51;N41.73;12;
2;ESP;Barcelona;Calders;;E1.97;N41.77;12;
2;ESP;Barcelona;Caldes de Montbui;;E2.15;N41.65;12;
2;ESP;Barcelona;Caldes d'Estrac;;E2.53;N41.57;12;
2;ESP;Barcelona;Calella;;E2.64;N41.62;12;
2;ESP;Barcelona;Calldetenes;;E2.28;N41.92;12;
2;ESP;Barcelona;Callús;;E1.79;N41.80;12;
