Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Cantabria;Alfoz de Lloredo;;W4.17;N43.39;7;
2;ESP;Cantabria;Ampuero;;W3.43;N43.32;7;
2;ESP;Cantabria;Anievas;;W4.005;N43.202;10;
2;ESP;Cantabria;Arenas de Iguña;;W4.09;N43.18;7;
2;ESP;Cantabria;Argoños;;W3.49;N43.46;12;
2;ESP;Cantabria;Arnuero;;W3.56;N43.49;12;
2;ESP;Cantabria;Arredondo;;W3.6;N43.28;12;
2;ESP;Cantabria;El Astillero;;W3.83;N43.40;12;
2;ESP;Cantabria;Bárcena de Cicero;;W3.49;N43.41;7;
2;ESP;Cantabria;Bárcena de Pie de Concha;;W4.06;N43.12;12;
2;ESP;Cantabria;Bareyo;;W3.61;N43.49;7;
2;ESP;Cantabria;Cabezón de la Sal;;W4.23;N43.31;7;
2;ESP;Cantabria;Cabezón de Liébana;;W4.57;N43.14;12;
2;ESP;Cantabria;Cabuérniga;;W4.303;N43.204;10;
2;ESP;Cantabria;Camaleño;;W4.69;N43.16;12;
2;ESP;Cantabria;Camargo;;W3.86;N43.42;7;
2;ESP;Cantabria;Campoo de Enmedio;;W4.12;N43.00;12;
2;ESP;Cantabria;Campoo de Yuso;;W3.99;N43.03;12;
2;ESP;Cantabria;Cartes;;W4.09;N43.32;7;
2;ESP;Cantabria;Castañeda;;W3.953;N43.319;10;
2;ESP;Cantabria;Castro-Urdiales;;W3.24;N43.38;12;
2;ESP;Cantabria;Cieza;;W4.13;N43.22;12;
2;ESP;Cantabria;Cillorigo de Liébana;;W4.64;N43.21;12;
2;ESP;Cantabria;Colindres;;W3.451;N43.395;10;
2;ESP;Cantabria;Comillas;;W4.291;N43.387;10;
2;ESP;Cantabria;Los Corrales de Buelna;;W4.08;N43.26;12;
2;ESP;Cantabria;Corvera de Toranzo;;W3.944;N43.215;10;
2;ESP;Cantabria;Entrambasaguas;;W3.69;N43.37;7;
2;ESP;Cantabria;Escalante;;W3.51;N43.44;12;
2;ESP;Cantabria;Guriezo;;W3.33;N43.35;10;
2;ESP;Cantabria;Hazas de Cesto;;W3.58;N43.41;12;
2;ESP;Cantabria;Hermandad de Campoo de Suso;;W4.26;N43.02;12;
2;ESP;Cantabria;Herrerías;;W4.48;N43.40;7;
2;ESP;Cantabria;Lamasón;;W4.49;N43.23;12;
2;ESP;Cantabria;Laredo;;W3.42;N43.42;12;
2;ESP;Cantabria;Liendo;;W3.38;N43.39;10;
2;ESP;Cantabria;Liérganes;;W3.77;N43.35;12;
2;ESP;Cantabria;Limpias;;W3.42;N43.37;12;
2;ESP;Cantabria;Luena;;W3.89;N43.11;12;
2;ESP;Cantabria;Marina de Cudeyo;;W3.77;N43.42;7;
2;ESP;Cantabria;Mazcuerras;;W4.18;N43.29;7;
2;ESP;Cantabria;Medio Cudeyo;;W3.7524;N43.3839;10;
2;ESP;Cantabria;Meruelo;;W3.59;N43.45;12;
2;ESP;Cantabria;Miengo;;W4.00;N43.44;7;
2;ESP;Cantabria;Miera;;W3.72;N43.28;10;
