Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Ciudad Real;Abenójar;;W4.44;N38.87;12;
2;ESP;Ciudad Real;Agudo;;W4.81;N39.02;12;
2;ESP;Ciudad Real;Alamillo;;W4.80;N38.69;12;
2;ESP;Ciudad Real;Albaladejo;;W2.79;N38.61;12;
2;ESP;Ciudad Real;Alcázar de San Juan;;W3.21;N39.40;10;
2;ESP;Ciudad Real;Alcoba;;W4.41;N39.30;12;
2;ESP;Ciudad Real;Alcolea de Calatrava;;W4.11;N38.97;12;
2;ESP;Ciudad Real;Alcubillas;;W3.14;N38.76;12;
2;ESP;Ciudad Real;Aldea del Rey;;W3.87;N38.72;12;
2;ESP;Ciudad Real;Alhambra;;W3.03;N38.94;12;
2;ESP;Ciudad Real;Almadén;;W4.75;N38.79;12;
2;ESP;Ciudad Real;Almadenejos;;W4.66;N38.77;12;
2;ESP;Ciudad Real;Almagro;;W3.74;N38.89;12;
2;ESP;Ciudad Real;Almedina;;W2.96;N38.62;12;
2;ESP;Ciudad Real;Almodóvar del Campo;;W4.17;N38.73;10;
2;ESP;Ciudad Real;Almuradiel;;W3.48;N38.47;12;
2;ESP;Ciudad Real;Anchuras;;W4.83;N39.42;12;
2;ESP;Ciudad Real;Arenales de San Gregorio;;W3.04;N39.31;12;
2;ESP;Ciudad Real;Arenas de San Juan;;W3.51;N39.20;12;
2;ESP;Ciudad Real;Argamasilla de Alba;;W2.99;N39.04;12;
2;ESP;Ciudad Real;Argamasilla de Calatrava;;W4.01;N38.74;12;
2;ESP;Ciudad Real;Arroba de los Montes;;W4.58;N39.17;12;
2;ESP;Ciudad Real;Ballesteros de Calatrava;;W3.94;N38.83;12;
2;ESP;Ciudad Real;Bolaños de Calatrava;;W3.62;N38.91;12;
2;ESP;Ciudad Real;Brazatortas;;W4.37;N38.56;12;
2;ESP;Ciudad Real;Cabezarados;;W4.31;N38.85;12;
2;ESP;Ciudad Real;Cabezarrubias del Puerto;;W4.26;N38.55;12;
2;ESP;Ciudad Real;Calzada de Calatrava;;W3.78;N38.61;12;
2;ESP;Ciudad Real;Campo de Criptana;;W3.06;N39.33;12;
2;ESP;Ciudad Real;Cañada de Calatrava;;W4.01;N38.84;12;
2;ESP;Ciudad Real;Caracuel de Calatrava;;W4.06;N38.84;12;
2;ESP;Ciudad Real;Carrión de Calatrava;;W3.83;N39.06;12;
2;ESP;Ciudad Real;Carrizosa;;W2.99;N38.84;12;
2;ESP;Ciudad Real;Castellar de Santiago;;W3.29;N38.52;12;
2;ESP;Ciudad Real;Chillón;;W4.86;N38.81;12;
2;ESP;Ciudad Real;Ciudad Real;;W3.91;N38.99;10;
2;ESP;Ciudad Real;Corral de Calatrava;;W4.13;N38.88;12;
2;ESP;Ciudad Real;Los Cortijos;;W4.03;N39.31;12;
2;ESP;Ciudad Real;Cózar;;W3.08;N38.67;12;
2;ESP;Ciudad Real;Daimiel;;W3.63;N39.09;12;
2;ESP;Ciudad Real;Fernán Caballero;;W3.95;N39.12;12;
2;ESP;Ciudad Real;Fontanarejo;;W4.55;N39.20;12;
2;ESP;Ciudad Real;Fuencaliente;;W4.29;N38.43;12;
2;ESP;Ciudad Real;Fuenllana;;W2.97;N38.76;12;
2;ESP;Ciudad Real;Fuente el Fresno;;W3.85;N39.25;12;
2;ESP;Ciudad Real;Granátula de Calatrava;;W3.70;N38.76;12;
2;ESP;Ciudad Real;Guadalmez;;W4.96;N38.73;12;
2;ESP;Ciudad Real;Herencia;;W3.41;N39.28;12;
2;ESP;Ciudad Real;Hinojosas de Calatrava;;W4.14;N38.61;10;
2;ESP;Ciudad Real;Horcajo de los Montes;;W4.61;N39.36;12;
2;ESP;Ciudad Real;Las Labores;;W3.51;N39.21;12;
2;ESP;Ciudad Real;Llanos del Caudillo;;W3.34;N39.12;12;
2;ESP;Ciudad Real;Luciana;;W4.37;N38.99;12;
2;ESP;Ciudad Real;Malagón;;W3.85;N39.18;10;
2;ESP;Ciudad Real;Manzanares;;W3.37;N39.02;10;
2;ESP;Ciudad Real;Membrilla;;W3.33;N38.90;12;
2;ESP;Ciudad Real;Mestanza;;W3.98;N38.50;12;
2;ESP;Ciudad Real;Miguelturra;;W3.92;N39.04;12;
2;ESP;Ciudad Real;Montiel;;W2.92;N38.63;12;
2;ESP;Ciudad Real;Moral de Calatrava;;W3.58;N38.79;12;
2;ESP;Ciudad Real;Navalpino;;W4.62;N39.25;12;
2;ESP;Ciudad Real;Navas de Estena;;W4.53;N39.47;12;
2;ESP;Ciudad Real;Pedro Muñoz;;W2.92;N39.40;12;
2;ESP;Ciudad Real;Picón;;W4.07;N39.05;12;
2;ESP;Ciudad Real;Piedrabuena;;W4.27;N39.10;12;
2;ESP;Ciudad Real;Poblete;;W4.01;N38.93;12;
2;ESP;Ciudad Real;Porzuna;;W4.22;N39.19;12;
2;ESP;Ciudad Real;Pozuelo de Calatrava;;W3.85;N38.89;12;
2;ESP;Ciudad Real;Los Pozuelos de Calatrava;;W4.19;N38.92;12;
2;ESP;Ciudad Real;Puebla de Don Rodrigo;;W4.67;N39.09;12;
2;ESP;Ciudad Real;Puebla del Príncipe;;W2.92;N38.56;12;
2;ESP;Ciudad Real;Puerto Lápice;;W3.47;N39.25;12;
2;ESP;Ciudad Real;Puertollano;;W4.08;N38.70;10;
2;ESP;Ciudad Real;Retuerta del Bullaque;;W4.23;N39.45;12;
2;ESP;Ciudad Real;El Robledo;;W4.29;N39.21;12;
2;ESP;Ciudad Real;Ruidera;;W2.92;N38.99;12;
2;ESP;Ciudad Real;Saceruela;;W4.61;N38.95;12;
2;ESP;Ciudad Real;San Carlos del Valle;;W3.24;N38.85;12;
2;ESP;Ciudad Real;San Lorenzo de Calatrava;;W3.84;N38.47;12;
2;ESP;Ciudad Real;Santa Cruz de los Cáñamos;;W2.88;N38.64;12;
2;ESP;Ciudad Real;Santa Cruz de Mudela;;W3.49;N38.63;12;
2;ESP;Ciudad Real;Socuéllamos;;W2.83;N39.27;12;
2;ESP;Ciudad Real;La Solana;;W3.19;N38.92;12;
2;ESP;Ciudad Real;Solana del Pino;;W4.07;N38.47;10;
2;ESP;Ciudad Real;Terrinches;;W2.84;N38.58;12;
2;ESP;Ciudad Real;Tomelloso;;W2.98;N39.22;12;
2;ESP;Ciudad Real;Torralba de Calatrava;;W3.78;N39.07;12;
2;ESP;Ciudad Real;Torre de Juan Abad;;W3.25;N38.58;12;
2;ESP;Ciudad Real;Torrenueva;;W3.37;N38.63;12;
2;ESP;Ciudad Real;Valdemanco del Esteras;;W4.74;N38.96;12;
2;ESP;Ciudad Real;Valdepeñas;;W3.38;N38.77;10;
2;ESP;Ciudad Real;Valenzuela de Calatrava;;W3.79;N38.83;12;
2;ESP;Ciudad Real;Villahermosa;;W2.83;N38.82;12;
2;ESP;Ciudad Real;Villamanrique;;W3.03;N38.50;12;
2;ESP;Ciudad Real;Villamayor de Calatrava;;W4.21;N38.80;12;
2;ESP;Ciudad Real;Villanueva de la Fuente;;W2.72;N38.69;12;
2;ESP;Ciudad Real;Villanueva de los Infantes;;W3.03;N38.71;12;
2;ESP;Ciudad Real;Villanueva de San Carlos;;W3.88;N38.60;12;
2;ESP;Ciudad Real;Villar del Pozo;;W3.97;N38.85;12;
2;ESP;Ciudad Real;Villarrubia de los Ojos;;W3.64;N39.20;12;
2;ESP;Ciudad Real;Villarta de San Juan;;W3.43;N39.21;12;
2;ESP;Ciudad Real;Viso del Marqués;;W3.56;N38.53;10;
