Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Córdoba;Adamuz;;W4.57;N38.09;12;
2;ESP;Córdoba;Aguilar de la Frontera;;W4.67;N37.45;12;
2;ESP;Córdoba;Alcaracejos;;W4.91;N38.28;12;
2;ESP;Córdoba;Almedinilla;;W4.06;N37.45;12;
2;ESP;Córdoba;Almodóvar del Río;;W5.02;N37.83;12;
2;ESP;Córdoba;Añora;;W4.87;N38.31;12;
2;ESP;Córdoba;Baena;;W4.33;N37.66;12;
2;ESP;Córdoba;Belalcázar;;W5.17;N38.60;12;
2;ESP;Córdoba;Belmez;;W5.20;N38.27;12;
2;ESP;Córdoba;Benamejí;;W4.55;N37.24;12;
2;ESP;Córdoba;Los Blázquez;;W5.47;N38.44;12;
2;ESP;Córdoba;Bujalance;;W4.34;N37.94;12;
2;ESP;Córdoba;Cabra;;W4.46;N37.49;12;
2;ESP;Córdoba;Cañete de las Torres;;W4.33;N37.86;12;
2;ESP;Córdoba;Carcabuey;;W4.30;N37.44;12;
2;ESP;Córdoba;Cardeña;;W4.36;N38.27;12;
2;ESP;Córdoba;La Carlota;;W4.93;N37.68;12;
2;ESP;Córdoba;El Carpio;;W4.49;N37.95;12;
2;ESP;Córdoba;Castro del Río;;W4.50;N37.68;12;
2;ESP;Córdoba;Conquista;;W4.49;N38.41;12;
2;ESP;Córdoba;Córdoba;;W4.77;N37.89;10;
2;ESP;Córdoba;Doña Mencía;;W4.37;N37.56;12;
2;ESP;Córdoba;Dos Torres;;W4.83;N38.49;12;
2;ESP;Córdoba;Encinas Reales;;W4.47;N37.28;12;
2;ESP;Córdoba;Espejo;;W4.55;N37.67;12;
2;ESP;Córdoba;Espiel;;W5.12;N38.08;12;
2;ESP;Córdoba;Fernán-Núñez;;W4.72;N37.69;12;
2;ESP;Córdoba;Fuente la Lancha;;W5.04;N38.42;12;
2;ESP;Córdoba;Fuente Obejuna;;W5.45;N38.26;12;
2;ESP;Córdoba;Fuente Palmera;;W5.08;N37.70;12;
2;ESP;Córdoba;Fuente-Tójar;;W4.12;N37.52;12;
2;ESP;Córdoba;La Granjuela;;W5.34;N38.36;12;
2;ESP;Córdoba;Guadalcázar;;W4.97;N37.76;12;
2;ESP;Córdoba;El Guijo;;W4.75;N38.53;12;
2;ESP;Córdoba;Hinojosa del Duque;;W5.16;N38.46;12;
2;ESP;Córdoba;Hornachuelos;;W5.33;N37.94;12;
2;ESP;Córdoba;Iznájar;;W4.32;N37.28;12;
2;ESP;Córdoba;Lucena;;W4.55;N37.35;12;
2;ESP;Córdoba;Luque;;W4.21;N37.56;12;
2;ESP;Córdoba;Montalbán de Córdoba;;W4.75;N37.55;12;
2;ESP;Córdoba;Montemayor;;W4.66;N37.65;12;
2;ESP;Córdoba;Montilla;;W4.64;N37.57;12;
2;ESP;Córdoba;Montoro;;W4.35;N38.13;12;
2;ESP;Córdoba;Monturque;;W4.58;N37.48;12;
2;ESP;Córdoba;Moriles;;W4.63;N37.42;12;
2;ESP;Córdoba;Nueva Carteya;;W4.43;N37.61;12;
2;ESP;Córdoba;Obejo;;W4.77;N38.09;12;
2;ESP;Córdoba;Palenciana;;W4.59;N37.25;12;
2;ESP;Córdoba;Palma del Río;;W5.32;N37.66;12;
2;ESP;Córdoba;Pedro Abad;;W4.47;N37.97;12;
2;ESP;Córdoba;Pedroche;;W4.74;N38.42;12;
2;ESP;Córdoba;Peñarroya-Pueblonuevo;;W5.24;N38.31;12;
2;ESP;Córdoba;Posadas;;W5.12;N37.82;12;
2;ESP;Córdoba;Pozoblanco;;W4.81;N38.24;12;
2;ESP;Córdoba;Priego de Córdoba;;W4.16;N37.48;12;
2;ESP;Córdoba;Puente Genil;;W4.76;N37.41;12;
2;ESP;Córdoba;La Rambla;;W4.81;N37.67;12;
2;ESP;Córdoba;Rute;;W4.368;N37.327;10;
2;ESP;Córdoba;San Sebastián de los Ballesteros;;W4.84;N37.67;12;
2;ESP;Córdoba;Santa Eufemia;;W4.88;N38.61;12;
2;ESP;Córdoba;Santaella;;W4.87;N37.55;12;
2;ESP;Córdoba;Torrecampo;;W4.65;N38.47;12;
2;ESP;Córdoba;Valenzuela;;W4.24;N37.77;12;
2;ESP;Córdoba;Valsequillo;;W5.38;N38.48;12;
2;ESP;Córdoba;La Victoria;;W4.86;N37.69;12;
2;ESP;Córdoba;Villa del Río;;W4.29;N37.98;12;
2;ESP;Córdoba;Villafranca de Córdoba;;W4.56;N37.96;12;
2;ESP;Córdoba;Villaharta;;W4.90;N38.14;12;
2;ESP;Córdoba;Villanueva de Córdoba;;W4.64;N38.25;12;
2;ESP;Córdoba;Villanueva del Duque;;W5.05;N38.36;12;
2;ESP;Córdoba;Villanueva del Rey;;W5.20;N38.11;12;
2;ESP;Córdoba;Villaralto;;W4.98;N38.46;12;
2;ESP;Córdoba;Villaviciosa de Córdoba;;W5.04;N38.02;12;
2;ESP;Córdoba;El Viso;;W5.00;N38.61;12;
2;ESP;Córdoba;Zuheros;;W4.33;N37.54;12;
