Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Cuenca;Abia de la Obispalía;;W2.37;N40.05;12;
2;ESP;Cuenca;El Acebrón;;W2.98;N39.89;12;
2;ESP;Cuenca;Alarcón;;W2.08;N39.51;12;
2;ESP;Cuenca;Albaladejo del Cuende;;W2.25;N39.81;12;
2;ESP;Cuenca;Albalate de las Nogueras;;W2.29;N40.37;12;
2;ESP;Cuenca;Albendea;;W2.40;N40.47;12;
2;ESP;Cuenca;La Alberca de Záncara;;W2.50;N39.51;12;
2;ESP;Cuenca;Alcalá de la Vega;;W1.52;N40.03;12;
2;ESP;Cuenca;Alcantud;;W2.33;N40.54;12;
2;ESP;Cuenca;Alcázar del Rey;;W2.81;N40.06;12;
2;ESP;Cuenca;Alcohujate;;W2.59;N40.44;12;
2;ESP;Cuenca;Alconchel de la Estrella;;W2.60;N39.73;12;
2;ESP;Cuenca;Algarra;;W1.44;N40.02;12;
2;ESP;Cuenca;Aliaguilla;;W1.32;N39.75;12;
2;ESP;Cuenca;La Almarcha;;W2.40;N39.69;12;
2;ESP;Cuenca;Almendros;;W2.86;N39.86;12;
2;ESP;Cuenca;Almodóvar del Pinar;;W1.91;N39.73;12;
2;ESP;Cuenca;Almonacid del Marquesado;;W2.78;N39.82;12;
2;ESP;Cuenca;Altarejos;;W2.39;N39.92;12;
2;ESP;Cuenca;Arandilla del Arroyo;;W2.37;N40.51;12;
2;ESP;Cuenca;Arcas del Villar;;W2.09;N39.96;12;
2;ESP;Cuenca;Arcos de la Sierra;;W2.08;N40.35;12;
2;ESP;Cuenca;Arguisuelas;;W1.83;N39.81;12;
2;ESP;Cuenca;Arrancacepas;;W2.35;N40.31;12;
2;ESP;Cuenca;Atalaya del Cañavate;;W2.24;N39.52;12;
2;ESP;Cuenca;Barajas de Melo;;W2.99;N40.12;12;
2;ESP;Cuenca;Barchín del Hoyo;;W2.02;N39.69;12;
2;ESP;Cuenca;Bascuñana de San Pedro;;W2.22;N40.21;12;
2;ESP;Cuenca;Beamud;;W1.82;N40.21;12;
2;ESP;Cuenca;Belinchón;;W3.03;N40.05;12;
2;ESP;Cuenca;Belmonte;;W2.70;N39.58;12;
2;ESP;Cuenca;Belmontejo;;W2.31;N39.82;12;
2;ESP;Cuenca;Beteta;;W2.00;N40.56;12;
2;ESP;Cuenca;Boniches;;W1.61;N39.99;12;
2;ESP;Cuenca;Buciegas;;W2.47;N40.34;12;
2;ESP;Cuenca;Buenache de Alarcón;;W2.17;N39.64;12;
2;ESP;Cuenca;Buenache de la Sierra;;W2.00;N40.13;12;
2;ESP;Cuenca;Buendía;;W2.77;N40.39;12;
2;ESP;Cuenca;Campillo de Altobuey;;W1.77;N39.63;12;
2;ESP;Cuenca;Campillos-Paravientos;;W1.54;N39.97;12;
2;ESP;Cuenca;Campillos-Sierra;;W1.68;N40.09;12;
2;ESP;Cuenca;Campos del Paraíso;;W2.71;N40.02;12;
2;ESP;Cuenca;Canalejas del Arroyo;;W2.47;N40.40;12;
2;ESP;Cuenca;Cañada del Hoyo;;W1.89;N39.99;12;
2;ESP;Cuenca;Cañada Juncosa;;W2.22;N39.56;12;
2;ESP;Cuenca;Cañamares;;W2.25;N40.45;12;
2;ESP;Cuenca;El Cañavate;;W2.32;N39.55;12;
2;ESP;Cuenca;Cañaveras;;W2.40;N40.36;12;
2;ESP;Cuenca;Cañaveruelas;;W2.66;N40.43;12;
2;ESP;Cuenca;Cañete;;W1.64;N40.05;12;
2;ESP;Cuenca;Cañizares;;W2.20;N40.53;12;
2;ESP;Cuenca;Carboneras de Guadazaón;;W1.82;N39.91;12;
2;ESP;Cuenca;Cardenete;;W1.70;N39.81;12;
2;ESP;Cuenca;Carrascosa;;W2.20;N40.56;12;
2;ESP;Cuenca;Carrascosa de Haro;;W2.54;N39.59;12;
2;ESP;Cuenca;Casas de Benítez;;W2.10;N39.32;12;
2;ESP;Cuenca;Casas de Fernando Alonso;;W2.34;N39.34;12;
2;ESP;Cuenca;Casas de Garcimolina;;W1.42;N40.01;12;
2;ESP;Cuenca;Casas de Guijarro;;W2.15;N39.34;12;
2;ESP;Cuenca;Casas de Haro;;W2.26;N39.29;12;
2;ESP;Cuenca;Casas de los Pinos;;W2.37;N39.29;12;
2;ESP;Cuenca;Casasimarro;;W2.07;N39.39;12;
2;ESP;Cuenca;Castejón;;W2.54;N40.41;12;
2;ESP;Cuenca;Castillejo de Iniesta;;W1.75;N39.54;12;
2;ESP;Cuenca;Castillejo-Sierra;;W2.09;N40.38;12;
2;ESP;Cuenca;Castillo de Garcimuñoz;;W2.36;N39.68;12;
2;ESP;Cuenca;Castillo-Albaráñez;;W2.39;N40.29;12;
2;ESP;Cuenca;Cervera del Llano;;W2.43;N39.79;12;
2;ESP;Cuenca;Chillarón de Cuenca;;W2.22;N40.13;12;
2;ESP;Cuenca;Chumillas;;W2.03;N39.77;12;
2;ESP;Cuenca;La Cierva;;W1.86;N40.05;12;
2;ESP;Cuenca;Cuenca;;W1.99;N40.22;12;
2;ESP;Cuenca;Cueva del Hierro;;W2.00;N40.57;12;
2;ESP;Cuenca;Enguídanos;;W1.62;N39.69;12;
2;ESP;Cuenca;Fresneda de Altarejos;;W2.29;N39.93;12;
2;ESP;Cuenca;Fresneda de la Sierra;;W2.12;N40.41;12;
2;ESP;Cuenca;La Frontera;;W2.21;N40.41;12;
2;ESP;Cuenca;Fuente de Pedro Naharro;;W3.05;N39.93;12;
2;ESP;Cuenca;Fuentelespino de Haro;;W2.64;N39.69;12;
2;ESP;Cuenca;Fuentelespino de Moya;;W1.47;N39.94;12;
2;ESP;Cuenca;Fuentenava de Jábaga;;W2.30;N40.12;12;
2;ESP;Cuenca;Fuentes;;W2.01;N39.94;12;
2;ESP;Cuenca;Fuertescusa;;W2.14;N40.46;12;
2;ESP;Cuenca;Gabaldón;;W1.96;N39.64;12;
2;ESP;Cuenca;Garaballa;;W1.39;N39.80;12;
2;ESP;Cuenca;Gascueña;;W2.52;N40.30;12;
2;ESP;Cuenca;Graja de Campalbo;;W1.27;N39.90;12;
2;ESP;Cuenca;Graja de Iniesta;;W1.67;N39.52;12;
2;ESP;Cuenca;Henarejos;;W1.45;N39.82;12;
