Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Girona;Agullana;;E2.84;N42.41;12;
2;ESP;Girona;Aiguaviva;;E2.78;N41.93;12;
2;ESP;Girona;Albanyà;;E2.72;N42.30;12;
2;ESP;Girona;Albons;;E3.08;N42.11;12;
2;ESP;Girona;Alp;;E1.95;N42.35;12;
2;ESP;Girona;Amer;;E2.60;N42.01;12;
2;ESP;Girona;Anglès;;E2.64;N41.96;12;
2;ESP;Girona;Arbúcies;;E2.49;N41.83;12;
2;ESP;Girona;Argelaguer;;E2.63;N42.21;12;
2;ESP;Girona;L'Armentera;;E3.09;N42.17;12;
2;ESP;Girona;Avinyonet de Puigventós;;E2.91;N42.25;12;
2;ESP;Girona;Banyoles;;E2.77;N42.13;12;
2;ESP;Girona;Bàscara;;E2.92;N42.14;12;
2;ESP;Girona;Begur;;E3.21;N41.96;12;
2;ESP;Girona;Bellcaire d'Empordà;;E3.10;N42.08;12;
2;ESP;Girona;Besalú;;E2.70;N42.20;12;
2;ESP;Girona;Bescanó;;E2.72;N41.96;12;
2;ESP;Girona;Beuda;;E2.70;N42.24;12;
2;ESP;Girona;La Bisbal d'Empordà;;E3.04;N41.95;12;
2;ESP;Girona;Biure;;E2.90;N42.34;12;
2;ESP;Girona;Blanes;;E2.79;N41.68;12;
2;ESP;Girona;Boadella i les Escaules;;E2.85;N42.33;12;
2;ESP;Girona;Bolvir;;E1.88;N42.42;12;
2;ESP;Girona;Bordils;;E2.91;N42.05;12;
2;ESP;Girona;Borrassà;;E2.93;N42.22;12;
2;ESP;Girona;Breda;;E2.56;N41.75;12;
2;ESP;Girona;Brunyola;;E2.66;N41.92;12;
2;ESP;Girona;Cabanelles;;E2.81;N42.23;12;
2;ESP;Girona;Cabanes;;E2.97;N42.31;12;
2;ESP;Girona;Cadaqués;;E3.29;N42.30;12;
2;ESP;Girona;Caldes de Malavella;;E2.81;N41.84;12;
2;ESP;Girona;Calonge;;E3.08;N41.86;12;
2;ESP;Girona;Camós;;E2.77;N42.08;12;
2;ESP;Girona;Campdevànol;;E2.14;N42.24;12;
2;ESP;Girona;Campelles;;E2.14;N42.29;12;
2;ESP;Girona;Campllong;;E2.83;N41.90;12;
2;ESP;Girona;Camprodon;;E2.36;N42.31;12;
2;ESP;Girona;Canet d'Adri;;E2.73;N42.03;12;
2;ESP;Girona;Cantallops;;E2.93;N42.43;12;
2;ESP;Girona;Capmany;;E2.90;N42.37;12;
2;ESP;Girona;Cassà de la Selva;;E2.87;N41.88;12;
2;ESP;Girona;Castellfollit de la Roca;;E2.54;N42.22;12;
2;ESP;Girona;Castelló d'Empúries;;E3.08;N42.25;12;
2;ESP;Girona;Castell-Platja d'Aro;;E3.05;N41.81;12;
2;ESP;Girona;La Cellera de Ter;;E2.60;N41.97;12;
2;ESP;Girona;Celrà;;E2.87;N42.02;12;
2;ESP;Girona;Cervià de Ter;;E2.91;N42.07;12;
2;ESP;Girona;Cistella;;E2.84;N42.27;12;
2;ESP;Girona;Colera;;E3.14;N42.40;12;
2;ESP;Girona;Colomers;;E2.99;N42.09;12;
2;ESP;Girona;Corçà;;E3.01;N42.00;12;
2;ESP;Girona;Cornellà del Terri;;E2.83;N42.09;12;
2;ESP;Girona;Crespià;;E2.80;N42.20;12;
2;ESP;Girona;Cruïlles, Monells i Sant Sadurní de l'Heura;;E3.02;N41.95;12;
2;ESP;Girona;Darnius;;E2.83;N42.37;12;
2;ESP;Girona;Das;;E1.87;N42.36;12;
2;ESP;Girona;L'Escala;;E3.13;N42.13;12;
2;ESP;Girona;Espinelves;;E2.42;N41.88;12;
2;ESP;Girona;Espolla;;E3.01;N42.43;12;
2;ESP;Girona;Esponellà;;E2.80;N42.17;12;
2;ESP;Girona;El Far d'Empordà;;E2.99;N42.25;12;
2;ESP;Girona;Figueres;;E2.98;N42.27;12;
2;ESP;Girona;Flaçà;;E2.96;N42.05;12;
2;ESP;Girona;Foixà;;E3.00;N42.04;12;
2;ESP;Girona;Fontanals de Cerdanya;;E1.92;N42.38;12;
2;ESP;Girona;Fontanilles;;E3.10;N42.02;12;
2;ESP;Girona;Fontcoberta;;E2.81;N42.14;12;
2;ESP;Girona;Forallac;;E3.08;N41.95;12;
2;ESP;Girona;Fornells de la Selva;;E2.82;N41.93;12;
2;ESP;Girona;Fortià;;E3.03;N42.24;12;
2;ESP;Girona;Garrigàs;;E2.96;N42.18;12;
2;ESP;Girona;Garrigoles;;E3.02;N42.10;12;
2;ESP;Girona;Garriguella;;E3.06;N42.34;12;
2;ESP;Girona;Ger;;E1.82;N42.44;12;
2;ESP;Girona;Girona;;E2.83;N41.98;12;
2;ESP;Girona;Gombrèn;;E2.06;N42.25;12;
2;ESP;Girona;Gualta;;E3.12;N42.02;12;
2;ESP;Girona;Guils de Cerdanya;;E1.86;N42.46;12;
2;ESP;Girona;Hostalric;;E2.64;N41.74;12;
2;ESP;Girona;Isòvol;;E1.83;N42.39;12;
2;ESP;Girona;Jafre;;E3.01;N42.07;12;
2;ESP;Girona;La Jonquera;;E2.87;N42.42;12;
2;ESP;Girona;Juià;;E2.91;N42.02;12;
2;ESP;Girona;Lladó;;E2.82;N42.25;12;
2;ESP;Girona;Llagostera;;E2.91;N41.83;12;
2;ESP;Girona;Llambilles;;E2.87;N41.92;12;
2;ESP;Girona;Llanars;;E2.35;N42.34;12;
2;ESP;Girona;Llançà;;E3.14;N42.37;12;
2;ESP;Girona;Llers;;E2.92;N42.30;12;
2;ESP;Girona;Llívia;;E1.98;N42.46;12;
2;ESP;Girona;Lloret de Mar;;E2.85;N41.70;12;
2;ESP;Girona;Les Llosses;;E2.08;N42.16;12;
2;ESP;Girona;Maçanet de Cabrenys;;E2.74;N42.38;12;
2;ESP;Girona;Maçanet de la Selva;;E2.73;N41.77;12;
2;ESP;Girona;Madremanya;;E2.94;N41.98;12;
2;ESP;Girona;Maià de Montcal;;E2.75;N42.21;12;
2;ESP;Girona;Masarac;;E2.97;N42.34;12;
2;ESP;Girona;Massanes;;E2.66;N41.78;12;
2;ESP;Girona;Meranges;;E1.77;N42.46;12;
2;ESP;Girona;Mieres;;E2.63;N42.12;12;
2;ESP;Girona;Mollet de Peralada;;E3.01;N42.35;12;
2;ESP;Girona;Molló;;E2.40;N42.35;12;
2;ESP;Girona;Montagut i Oix;;E2.59;N42.23;12;
2;ESP;Girona;Mont-ras;;E3.16;N41.89;12;
2;ESP;Girona;Navata;;E2.86;N42.22;12;
2;ESP;Girona;Ogassa;;E2.26;N42.26;12;
2;ESP;Girona;Olot;;E2.49;N42.18;12;
2;ESP;Girona;Ordis;;E2.90;N42.22;12;
2;ESP;Girona;Osor;;E2.57;N41.95;12;
2;ESP;Girona;Palafrugell;;E3.19;N41.91;12;
2;ESP;Girona;Palamós;;E3.14;N41.86;12;
2;ESP;Girona;Palau de Santa Eulàlia;;E2.98;N42.18;12;
2;ESP;Girona;Palau-sator;;E3.12;N41.98;12;
2;ESP;Girona;Palau-saverdera;;E3.14;N42.30;12;
2;ESP;Girona;Palol de Revardit;;E2.80;N42.06;12;
2;ESP;Girona;Pals;;E3.18;N41.98;12;
2;ESP;Girona;Pardines;;E2.23;N42.31;12;
2;ESP;Girona;Parlavà;;E3.04;N42.02;12;
2;ESP;Girona;Pau;;E3.11;N42.31;12;
