Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Guipúzcoa;Abaltzisketa;;W2.11;N43.05;12;
2;ESP;Guipúzcoa;Aduna;;W2.04998;N43.219438;10;
2;ESP;Guipúzcoa;Aia;;W2.15;N43.25;12;
2;ESP;Guipúzcoa;Aizarnazabal;;W2.23;N43.27;12;
2;ESP;Guipúzcoa;Albiztur;;W2.137184;N43.145587;10;
2;ESP;Guipúzcoa;Alegia;;W2.10;N43.10;12;
2;ESP;Guipúzcoa;Alkiza;;W2.11;N43.17;12;
2;ESP;Guipúzcoa;Altzaga;;W2.15;N43.07;12;
2;ESP;Guipúzcoa;Altzo;;W2.083;N43.101;10;
2;ESP;Guipúzcoa;Amezketa;;W2.07;N43.06;12;
2;ESP;Guipúzcoa;Andoain;;W2.02;N43.22;10;
2;ESP;Guipúzcoa;Anoeta;;W2.07;N43.17;12;
2;ESP;Guipúzcoa;Antzuola;;W2.37;N43.10;12;
2;ESP;Guipúzcoa;Arama;;W2.17;N43.06;12;
2;ESP;Guipúzcoa;Aretxabaleta;;W2.49;N43.03;12;
2;ESP;Guipúzcoa;Arrasate/Mondragón;;W2.48;N43.07;12;
2;ESP;Guipúzcoa;Asteasu;;W2.096;N43.194;10;
2;ESP;Guipúzcoa;Astigarraga;;W1.95;N43.282;10;
2;ESP;Guipúzcoa;Ataun;;W2.173;N43.009;10;
2;ESP;Guipúzcoa;Azkoitia;;W2.33;N43.17;12;
2;ESP;Guipúzcoa;Azpeitia;;W2.264;N43.182;10;
2;ESP;Guipúzcoa;Baliarrain;;W2.13;N43.07;12;
2;ESP;Guipúzcoa;Beasain;;W2.205;N43.047;10;
2;ESP;Guipúzcoa;Beizama;;W2.21;N43.13;12;
2;ESP;Guipúzcoa;Belauntza;;W2.04;N43.14;12;
2;ESP;Guipúzcoa;Berastegi;;W1.97;N43.15;12;
2;ESP;Guipúzcoa;Bergara;;W2.415;N43.122;10;
2;ESP;Guipúzcoa;Berrobi;;W2.027;N43.145;10;
2;ESP;Guipúzcoa;Bidegoian;;W2.17;N43.13;10;
2;ESP;Guipúzcoa;Deba;;W2.33;N43.27;12;
2;ESP;Guipúzcoa;Donostia-San Sebastián;;W1.99;N43.29;12;
2;ESP;Guipúzcoa;Eibar;;W2.471;N43.188;10;
2;ESP;Guipúzcoa;Elduain;;W1.96;N43.16;12;
2;ESP;Guipúzcoa;Elgeta;;W2.49;N43.16;12;
2;ESP;Guipúzcoa;Elgoibar;;W2.41;N43.21;12;
2;ESP;Guipúzcoa;Errenteria;;W1.89;N43.26;12;
2;ESP;Guipúzcoa;Errezil;;W2.19;N43.18;12;
2;ESP;Guipúzcoa;Eskoriatza;;W2.54;N43.00;12;
2;ESP;Guipúzcoa;Ezkio-Itsaso;;W2.27;N43.08;12;
2;ESP;Guipúzcoa;Gabiria;;W2.29;N43.06;12;
2;ESP;Guipúzcoa;Gaintza;;W2.13;N43.06;12;
2;ESP;Guipúzcoa;Gaztelu;;W2.023;N43.119;10;
2;ESP;Guipúzcoa;Getaria;;W2.21;N43.30;12;
2;ESP;Guipúzcoa;Hernani;;W1.97;N43.27;10;
2;ESP;Guipúzcoa;Hernialde;;W2.09;N43.15;12;
