Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Huelva;Alájar;;W6.65;N37.84;12;
2;ESP;Huelva;Aljaraque;;W7.02;N37.28;12;
2;ESP;Huelva;El Almendro;;W7.38;N37.57;12;
2;ESP;Huelva;Almonaster la Real;;W6.76;N37.80;12;
2;ESP;Huelva;Almonte;;W6.47;N37.00;12;
2;ESP;Huelva;Alosno;;W7.05;N37.55;12;
2;ESP;Huelva;Aracena;;W6.57;N37.86;12;
2;ESP;Huelva;Aroche;;W6.97;N37.97;12;
2;ESP;Huelva;Arroyomolinos de León;;W6.42;N38.01;12;
2;ESP;Huelva;Ayamonte;;W7.402;N37.219;10;
2;ESP;Huelva;Beas;;W6.81;N37.48;12;
2;ESP;Huelva;Berrocal;;W6.52;N37.60;12;
2;ESP;Huelva;Bollullos Par del Condado;;W6.54;N37.33;12;
2;ESP;Huelva;Bonares;;W6.69;N37.30;12;
2;ESP;Huelva;Cabezas Rubias;;W7.10;N37.75;12;
2;ESP;Huelva;Cala;;W6.32;N37.97;12;
2;ESP;Huelva;Calañas;;W6.91;N37.61;12;
2;ESP;Huelva;El Campillo;;W6.64;N37.69;12;
2;ESP;Huelva;Campofrío;;W6.57;N37.78;12;
2;ESP;Huelva;Cañaveral de León;;W6.48;N37.99;12;
2;ESP;Huelva;Cartaya;;W7.17;N37.32;12;
2;ESP;Huelva;Castaño del Robledo;;W6.69;N37.89;12;
2;ESP;Huelva;El Cerro de Andévalo;;W7.02;N37.72;12;
2;ESP;Huelva;Chucena;;W6.39;N37.36;12;
2;ESP;Huelva;Corteconcepción;;W6.49;N37.94;12;
2;ESP;Huelva;Cortegana;;W6.90;N37.86;12;
2;ESP;Huelva;Cortelazor;;W6.62;N37.94;12;
2;ESP;Huelva;Cumbres de Enmedio;;W6.70;N38.09;12;
2;ESP;Huelva;Cumbres de San Bartolomé;;W6.79;N38.06;12;
2;ESP;Huelva;Cumbres Mayores;;W6.68;N38.04;12;
2;ESP;Huelva;Encinasola;;W6.90;N38.12;12;
2;ESP;Huelva;Escacena del Campo;;W6.38;N37.50;12;
2;ESP;Huelva;Fuenteheridos;;W6.66;N37.91;12;
2;ESP;Huelva;Galaroza;;W6.68;N37.93;12;
2;ESP;Huelva;Gibraleón;;W7.00;N37.39;12;
2;ESP;Huelva;La Granada de Río-Tinto;;W6.51;N37.77;12;
2;ESP;Huelva;El Granado;;W7.43;N37.52;12;
2;ESP;Huelva;Higuera de la Sierra;;W6.44;N37.83;12;
2;ESP;Huelva;Hinojales;;W6.56;N37.99;12;
2;ESP;Huelva;Hinojos;;W6.40;N37.21;12;
2;ESP;Huelva;Huelva;;W6.93;N37.26;12;
2;ESP;Huelva;Isla Cristina;;W7.31;N37.22;12;
2;ESP;Huelva;Jabugo;;W6.75;N37.91;12;
2;ESP;Huelva;Lepe;;W7.19;N37.28;12;
2;ESP;Huelva;Linares de la Sierra;;W6.61;N37.85;12;
2;ESP;Huelva;Lucena del Puerto;;W6.74;N37.25;12;
2;ESP;Huelva;Manzanilla;;W6.43;N37.39;12;
2;ESP;Huelva;Los Marines;;W6.62;N37.91;12;
2;ESP;Huelva;Minas de Riotinto;;W6.57;N37.69;12;
2;ESP;Huelva;Moguer;;W6.82;N37.25;12;
2;ESP;Huelva;La Nava;;W6.76;N37.97;12;
2;ESP;Huelva;Nerva;;W6.53;N37.70;12;
2;ESP;Huelva;Niebla;;W6.68;N37.43;12;
2;ESP;Huelva;La Palma del Condado;;W6.56;N37.40;12;
2;ESP;Huelva;Palos de la Frontera;;W6.84;N37.15;12;
2;ESP;Huelva;Paterna del Campo;;W6.49;N37.48;12;
2;ESP;Huelva;Paymogo;;W7.32;N37.74;12;
2;ESP;Huelva;Puebla de Guzmán;;W7.33;N37.64;12;
2;ESP;Huelva;Puerto Moral;;W6.47;N37.90;12;
2;ESP;Huelva;Punta Umbría;;W7.01;N37.21;12;
2;ESP;Huelva;Rociana del Condado;;W6.61;N37.31;12;
2;ESP;Huelva;Rosal de la Frontera;;W7.19;N37.94;12;
2;ESP;Huelva;San Bartolomé de la Torre;;W7.11;N37.46;12;
2;ESP;Huelva;San Juan del Puerto;;W6.84;N37.33;12;
2;ESP;Huelva;San Silvestre de Guzmán;;W7.40;N37.39;12;
2;ESP;Huelva;Sanlúcar de Guadiana;;W7.39;N37.45;12;
2;ESP;Huelva;Santa Ana la Real;;W6.71;N37.85;12;
2;ESP;Huelva;Santa Bárbara de Casa;;W7.22;N37.80;12;
2;ESP;Huelva;Santa Olalla del Cala;;W6.19;N37.88;12;
2;ESP;Huelva;Trigueros;;W6.86;N37.42;12;
2;ESP;Huelva;Valdelarco;;W6.66;N37.95;12;
2;ESP;Huelva;Valverde del Camino;;W6.75;N37.55;12;
2;ESP;Huelva;Villablanca;;W7.33;N37.31;12;
2;ESP;Huelva;Villalba del Alcor;;W6.47;N37.37;12;
2;ESP;Huelva;Villanueva de las Cruces;;W7.00;N37.61;12;
2;ESP;Huelva;Villanueva de los Castillejos;;W7.19;N37.45;12;
2;ESP;Huelva;Villarrasa;;W6.63;N37.40;12;
2;ESP;Huelva;Zalamea la Real;;W6.66;N37.64;12;
2;ESP;Huelva;Zufre;;W6.38;N37.83;12;
