Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Huesca;Abiego;;W0.07;N42.14;12;
2;ESP;Huesca;Abizanda;;E0.18;N42.26;12;
2;ESP;Huesca;Adahuesca;;W0.02;N42.21;12;
2;ESP;Huesca;Agüero;;W0.85;N42.31;12;
2;ESP;Huesca;Aínsa-Sobrarbe;;E0.07;N42.33;12;
2;ESP;Huesca;Aisa;;W0.59;N42.72;12;
2;ESP;Huesca;Albalate de Cinca;;E0.17;N41.74;12;
2;ESP;Huesca;Albalatillo;;W0.15;N41.74;12;
2;ESP;Huesca;Albelda;;E0.50;N41.85;12;
2;ESP;Huesca;Albero Alto;;W0.35;N42.05;12;
2;ESP;Huesca;Albero Bajo;;W0.38;N42.03;12;
2;ESP;Huesca;Alberuela de Tubo;;W0.23;N41.90;12;
2;ESP;Huesca;Alcalá de Gurrea;;W0.69;N42.11;12;
2;ESP;Huesca;Alcalá del Obispo;;W0.28;N42.08;12;
2;ESP;Huesca;Alcampell;;E0.43;N41.88;12;
2;ESP;Huesca;Alcolea de Cinca;;E0.06;N41.73;12;
2;ESP;Huesca;Alcubierre;;W0.45;N41.79;12;
2;ESP;Huesca;Alerre;;W0.48;N42.16;12;
2;ESP;Huesca;Alfántega;;E0.15;N41.83;12;
2;ESP;Huesca;Almudévar;;W0.58;N42.06;12;
2;ESP;Huesca;Almunia de San Juan;;E0.24;N41.95;12;
2;ESP;Huesca;Almuniente;;W0.43;N41.94;12;
2;ESP;Huesca;Alquézar;;E0.01;N42.19;12;
2;ESP;Huesca;Altorricón;;E0.41;N41.79;12;
2;ESP;Huesca;Angüés;;W0.15;N42.08;12;
2;ESP;Huesca;Ansó;;W0.74;N42.79;12;
2;ESP;Huesca;Antillón;;W0.17;N42.03;12;
2;ESP;Huesca;Aragüés del Puerto;;W0.66;N42.72;12;
2;ESP;Huesca;Arén;;E0.72;N42.26;12;
2;ESP;Huesca;Argavieso;;W0.28;N42.05;12;
2;ESP;Huesca;Arguis;;W0.47;N42.32;12;
2;ESP;Huesca;Ayerbe;;W0.71;N42.24;12;
2;ESP;Huesca;Azanuy-Alins;;E0.32;N41.99;12;
2;ESP;Huesca;Azara;;W0.03;N42.07;12;
2;ESP;Huesca;Azlor;;W0.04;N42.10;12;
2;ESP;Huesca;Baélls;;E0.46;N41.96;12;
2;ESP;Huesca;Bailo;;W0.80;N42.50;12;
2;ESP;Huesca;Baldellou;;E0.57;N41.91;12;
2;ESP;Huesca;Ballobar;;E0.14;N41.60;12;
2;ESP;Huesca;Banastás;;W0.45;N42.19;12;
2;ESP;Huesca;Barbastro;;E0.13;N42.04;12;
2;ESP;Huesca;Barbués;;W0.44;N41.98;12;
2;ESP;Huesca;Barbuñales;;W0.10;N42.04;12;
2;ESP;Huesca;Bárcabo;;E0.06;N42.25;12;
2;ESP;Huesca;Belver de Cinca;;E0.24;N41.71;12;
2;ESP;Huesca;Benabarre;;E0.49;N42.09;12;
2;ESP;Huesca;Benasque;;E0.56;N42.63;12;
2;ESP;Huesca;Berbegal;;E0.01;N41.97;12;
2;ESP;Huesca;Bielsa;;E0.18;N42.68;12;
