Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Islas Baleares;Alaior;;E4.15;N39.91;12;
2;ESP;Islas Baleares;Alaró;;E2.79;N39.70;12;
2;ESP;Islas Baleares;Alcúdia;;E3.12;N39.85;12;
2;ESP;Islas Baleares;Algaida;;E2.89;N39.56;12;
2;ESP;Islas Baleares;Andratx;;E2.42;N39.57;12;
2;ESP;Islas Baleares;Ariany;;E3.11;N39.65;12;
2;ESP;Islas Baleares;Artà;;E3.35;N39.69;12;
2;ESP;Islas Baleares;Banyalbufar;;E2.51;N39.69;12;
2;ESP;Islas Baleares;Binissalem;;E2.84;N39.69;12;
2;ESP;Islas Baleares;Búger;;E2.99;N39.76;12;
2;ESP;Islas Baleares;Bunyola;;E2.70;N39.70;12;
2;ESP;Islas Baleares;Calvià;;E2.50;N39.56;12;
2;ESP;Islas Baleares;Campanet;;E2.96;N39.77;12;
2;ESP;Islas Baleares;Campos;;E3.02;N39.43;12;
2;ESP;Islas Baleares;Capdepera;;E3.43;N39.70;12;
2;ESP;Islas Baleares;Es Castell;;E4.29;N39.86;12;
2;ESP;Islas Baleares;Ciutadella de Menorca;;E3.84;N40.00;12;
2;ESP;Islas Baleares;Consell;;E2.81;N39.67;12;
2;ESP;Islas Baleares;Costitx;;E2.95;N39.66;12;
2;ESP;Islas Baleares;Deyá;;E2.65;N39.75;12;
2;ESP;Islas Baleares;Eivissa;;E1.44;N38.91;12;
2;ESP;Islas Baleares;Escorca;;E2.87;N39.82;12;
2;ESP;Islas Baleares;Esporles;;E2.58;N39.67;12;
2;ESP;Islas Baleares;Estellencs;;E2.48;N39.65;12;
2;ESP;Islas Baleares;Felanitx;;E3.15;N39.47;12;
2;ESP;Islas Baleares;Ferreries;;E4.00;N39.99;12;
2;ESP;Islas Baleares;Formentera;;E1.46;N38.72;12;
2;ESP;Islas Baleares;Fornalutx;;E2.74;N39.78;12;
2;ESP;Islas Baleares;Inca;;E2.91;N39.72;12;
2;ESP;Islas Baleares;Lloret de Vistalegre;;E2.97;N39.62;12;
2;ESP;Islas Baleares;Lloseta;;E2.87;N39.72;12;
2;ESP;Islas Baleares;Llubí;;E3.00;N39.70;12;
2;ESP;Islas Baleares;Llucmajor;;E2.89;N39.49;12;
2;ESP;Islas Baleares;Manacor;;E3.21;N39.57;12;
2;ESP;Islas Baleares;Mancor de la Vall;;E2.87;N39.75;12;
2;ESP;Islas Baleares;Maó;;E4.26;N39.89;12;
2;ESP;Islas Baleares;Maria de la Salut;;E3.07;N39.66;12;
2;ESP;Islas Baleares;Marratxí;;E2.75;N39.64;12;
2;ESP;Islas Baleares;Es Mercadal;;E4.12;N40.04;12;
2;ESP;Islas Baleares;Es Migjorn Gran;;E4.03;N39.94;12;
2;ESP;Islas Baleares;Montuïri;;E2.98;N39.57;12;
2;ESP;Islas Baleares;Muro;;E3.05;N39.73;12;
2;ESP;Islas Baleares;Palma de Mallorca;;E2.65;N39.57;10;
2;ESP;Islas Baleares;Petra;;E3.11;N39.61;12;
2;ESP;Islas Baleares;Sa Pobla;;E3.02;N39.77;12;
2;ESP;Islas Baleares;Pollença;;E3.02;N39.88;12;
2;ESP;Islas Baleares;Porreres;;E3.02;N39.51;12;
2;ESP;Islas Baleares;Puigpunyent;;E2.53;N39.62;12;
2;ESP;Islas Baleares;Ses Salines;;E3.05;N39.34;12;
2;ESP;Islas Baleares;Sant Antoni de Portmany;;E1.30;N38.98;12;
2;ESP;Islas Baleares;Sant Joan;;E3.04;N39.60;12;
2;ESP;Islas Baleares;Sant Joan de Labritja;;E1.51;N39.10;12;
2;ESP;Islas Baleares;Sant Josep de sa Talaia;;E1.27;N38.91;12;
2;ESP;Islas Baleares;Sant Llorenç des Cardassar;;E3.28;N39.61;12;
2;ESP;Islas Baleares;Sant Lluís;;E4.26;N39.83;12;
2;ESP;Islas Baleares;Santa Eugènia;;E2.84;N39.62;12;
2;ESP;Islas Baleares;Santa Eulalia del Río;;E1.53;N38.98;12;
2;ESP;Islas Baleares;Santa Margalida;;E3.10;N39.70;12;
2;ESP;Islas Baleares;Santa María del Camí;;E2.77;N39.65;12;
2;ESP;Islas Baleares;Santanyí;;E3.13;N39.35;12;
2;ESP;Islas Baleares;Selva;;E2.90;N39.75;12;
2;ESP;Islas Baleares;Sencelles;;E2.90;N39.65;12;
2;ESP;Islas Baleares;Sineu;;E3.01;N39.64;12;
2;ESP;Islas Baleares;Sóller;;E2.71;N39.77;12;
2;ESP;Islas Baleares;Son Servera;;E3.36;N39.62;12;
2;ESP;Islas Baleares;Valldemossa;;E2.62;N39.71;12;
2;ESP;Islas Baleares;Vilafranca de Bonany;;E3.09;N39.57;12;
