Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Las Palmas;Agaete;;W15.70;N28.07;12;
2;ESP;Las Palmas;Agüimes;;W15.44;N27.89;12;
2;ESP;Las Palmas;La Aldea de San Nicolás;;W15.80;N27.97;12;
2;ESP;Las Palmas;Antigua;;W13.92;N28.35;12;
2;ESP;Las Palmas;Arrecife;;W13.55;N28.97;12;
2;ESP;Las Palmas;Artenara;;W15.71;N28.02;12;
2;ESP;Las Palmas;Arucas;;W15.52;N28.14;12;
2;ESP;Las Palmas;Betancuria;;W14.10;N28.44;12;
2;ESP;Las Palmas;Firgas;;W15.56;N28.11;12;
2;ESP;Las Palmas;Gáldar;;W15.67;N28.12;12;
2;ESP;Las Palmas;Haría;;W13.46;N29.16;12;
2;ESP;Las Palmas;Ingenio;;W15.46;N27.93;12;
2;ESP;Las Palmas;Mogán;;W15.72;N27.84;12;
2;ESP;Las Palmas;Moya;;W1.34;N39.96;12;
2;ESP;Las Palmas;La Oliva;;W13.92;N28.69;12;
2;ESP;Las Palmas;Pájara;;W14.28;N28.20;12;
2;ESP;Las Palmas;Las Palmas de Gran Canaria;;W15.44;N28.12;12;
2;ESP;Las Palmas;Puerto del Rosario;;W13.96;N28.51;12;
2;ESP;Las Palmas;San Bartolomé;;W13.62;N28.98;12;
2;ESP;Las Palmas;San Bartolomé de Tirajana;;W15.58;N27.83;12;
2;ESP;Las Palmas;Santa Brígida;;W15.49;N28.03;12;
2;ESP;Las Palmas;Santa Lucía de Tirajana;;W15.49;N27.87;12;
2;ESP;Las Palmas;Santa María de Guía de Gran Canaria;;W15.62;N28.12;12;
2;ESP;Las Palmas;Teguise;;W13.52;N29.18;12;
2;ESP;Las Palmas;Tejeda;;W15.66;N27.97;12;
2;ESP;Las Palmas;Telde;;W15.41;N27.98;12;
2;ESP;Las Palmas;Teror;;W15.53;N28.06;12;
2;ESP;Las Palmas;Tías;;W13.66;N28.94;12;
2;ESP;Las Palmas;Tinajo;;W13.71;N29.08;12;
2;ESP;Las Palmas;Tuineje;;W14.06;N28.23;12;
2;ESP;Las Palmas;Valleseco;;W15.58;N28.05;12;
2;ESP;Las Palmas;Valsequillo de Gran Canaria;;W15.51;N27.98;12;
2;ESP;Las Palmas;Vega de San Mateo;;W15.55;N28.00;12;
2;ESP;Las Palmas;Yaiza;;W13.81;N28.91;12;
