Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;León;Acebedo;;W5.13;N43.04;12;
2;ESP;León;Algadefe;;W5.57;N42.21;12;
2;ESP;León;Alija del Infantado;;W5.83;N42.16;12;
2;ESP;León;Almanza;;W5.01;N42.68;12;
2;ESP;León;La Antigua;;W5.67;N42.18;12;
2;ESP;León;Ardón;;W5.59;N42.43;12;
2;ESP;León;Arganza;;W6.68;N42.64;12;
2;ESP;León;Astorga;;W6.09;N42.46;12;
2;ESP;León;Balboa;;W6.94;N42.72;12;
2;ESP;León;La Bañeza;;W5.90;N42.30;12;
2;ESP;León;Barjas;;W6.97;N42.61;12;
2;ESP;León;Los Barrios de Luna;;W5.86;N42.85;12;
2;ESP;León;Bembibre;;W6.44;N42.64;12;
2;ESP;León;Benavides;;W5.93;N42.54;12;
2;ESP;León;Benuza;;W6.67;N42.38;12;
2;ESP;León;Bercianos del Páramo;;W5.69;N42.36;12;
2;ESP;León;Bercianos del Real Camino;;W5.15;N42.40;12;
2;ESP;León;Berlanga del Bierzo;;W6.58;N42.75;12;
2;ESP;León;Boca de Huérgano;;W4.89;N42.98;12;
2;ESP;León;Boñar;;W5.28;N42.90;12;
2;ESP;León;Borrenes;;W6.73;N42.48;12;
2;ESP;León;Brazuelo;;W6.19;N42.50;12;
2;ESP;León;El Burgo Ranero;;W5.22;N42.44;12;
2;ESP;León;Burón;;W5.05;N43.07;12;
2;ESP;León;Bustillo del Páramo;;W5.81;N42.44;12;
2;ESP;León;Cabañas Raras;;W6.63;N42.61;12;
2;ESP;León;Cabreros del Río;;W5.52;N42.41;12;
2;ESP;León;Cabrillanes;;W6.16;N42.97;12;
2;ESP;León;Cacabelos;;W6.74;N42.63;12;
2;ESP;León;Calzada del Coto;;W5.07;N42.38;12;
2;ESP;León;Campazas;;W5.49;N42.15;12;
2;ESP;León;Campo de Villavidel;;W5.52;N42.44;12;
2;ESP;León;Camponaraya;;W6.68;N42.58;12;
2;ESP;León;Candín;;W6.75;N42.84;12;
2;ESP;León;Cármenes;;W5.56;N42.98;12;
2;ESP;León;Carracedelo;;W6.73;N42.56;12;
2;ESP;León;Carrizo;;W5.85;N42.59;12;
2;ESP;León;Carrocera;;W5.76;N42.81;12;
2;ESP;León;Carucedo;;W6.79;N42.48;12;
2;ESP;León;Castilfalé;;W5.41;N42.20;12;
2;ESP;León;Castrillo de Cabrera;;W6.55;N42.34;12;
2;ESP;León;Castrillo de la Valduerna;;W6.15;N42.33;12;
2;ESP;León;Castrocalbón;;W6.00;N42.21;12;
2;ESP;León;Castrocontrigo;;W6.18;N42.21;12;
2;ESP;León;Castropodame;;W6.44;N42.57;12;
2;ESP;León;Castrotierra de Valmadrigal;;W5.23;N42.35;12;
2;ESP;León;Cea;;W4.97;N42.56;12;
2;ESP;León;Cebanico;;W5.05;N42.73;12;
2;ESP;León;Cebrones del Río;;W5.85;N42.26;12;
2;ESP;León;Chozas de Abajo;;W5.65;N42.49;12;
2;ESP;León;Cimanes de la Vega;;W5.61;N42.10;12;
2;ESP;León;Cimanes del Tejar;;W5.79;N42.60;12;
2;ESP;León;Cistierna;;W5.11;N42.81;12;
2;ESP;León;Congosto;;W6.51;N42.61;12;
2;ESP;León;Corbillos de los Oteros;;W5.46;N42.42;12;
2;ESP;León;Corullón;;W6.83;N42.56;12;
2;ESP;León;Crémenes;;W5.12;N42.93;12;
2;ESP;León;Cuadros;;W5.65;N42.72;12;
2;ESP;León;Cubillas de los Oteros;;W5.51;N42.38;12;
2;ESP;León;Cubillas de Rueda;;W5.16;N42.66;12;
2;ESP;León;Cubillos del Sil;;W6.56;N42.64;12;
2;ESP;León;Destriana;;W6.10;N42.32;12;
2;ESP;León;Encinedo;;W6.62;N42.27;12;
2;ESP;León;La Ercina;;W5.23;N42.79;12;
2;ESP;León;Escobar de Campos;;W4.96;N42.32;12;
2;ESP;León;Fabero;;W6.62;N42.77;12;
2;ESP;León;Folgoso de la Ribera;;W6.34;N42.66;12;
2;ESP;León;Fresno de la Vega;;W5.53;N42.34;12;
2;ESP;León;Fuentes de Carbajal;;W5.45;N42.18;12;
2;ESP;León;Garrafe de Torío;;W5.51;N42.74;12;
2;ESP;León;Gordaliza del Pino;;W5.14;N42.33;12;
2;ESP;León;Gordoncillo;;W5.40;N42.13;12;
2;ESP;León;Gradefes;;W5.28;N42.65;12;
2;ESP;León;Grajal de Campos;;W5.02;N42.32;12;
2;ESP;León;Gusendos de los Oteros;;W5.42;N42.38;12;
2;ESP;León;Hospital de Órbigo;;W5.88;N42.47;12;
2;ESP;León;Igüeña;;W6.27;N42.74;12;
2;ESP;León;Izagre;;W5.29;N42.24;12;
2;ESP;León;Joarilla de las Matas;;W5.19;N42.29;12;
2;ESP;León;Laguna Dalga;;W5.75;N42.32;12;
2;ESP;León;Laguna de Negrillos;;W5.65;N42.22;12;
2;ESP;León;León;;W5.57;N42.60;10;
2;ESP;León;Llamas de la Ribera;;W5.88;N42.64;12;
2;ESP;León;Lucillo;;W6.37;N42.39;12;
2;ESP;León;Luyego;;W6.24;N42.35;12;
2;ESP;León;Magaz de Cepeda;;W6.11;N42.56;12;
2;ESP;León;Mansilla de las Mulas;;W5.38;N42.50;12;
2;ESP;León;Mansilla Mayor;;W5.44;N42.51;12;
2;ESP;León;Maraña;;W5.19;N43.06;12;
2;ESP;León;Matadeón de los Oteros;;W5.38;N42.34;12;
2;ESP;León;Matallana de Torío;;W5.51;N42.85;12;
2;ESP;León;Matanza;;W5.37;N42.27;12;
2;ESP;León;Molinaseca;;W6.47;N42.54;12;
2;ESP;León;Murias de Paredes;;W6.19;N42.84;12;
2;ESP;León;Noceda del Bierzo;;W6.40;N42.71;12;
2;ESP;León;Oencia;;W6.99;N42.55;12;
2;ESP;León;Las Omañas;;W5.85;N42.68;12;
2;ESP;León;Onzonilla;;W5.59;N42.52;12;
2;ESP;León;Oseja de Sajambre;;W5.05;N43.13;12;
2;ESP;León;Pajares de los Oteros;;W5.46;N42.35;12;
2;ESP;León;Palacios de la Valduerna;;W5.95;N42.32;12;
2;ESP;León;Palacios del Sil;;W6.40;N42.87;12;
2;ESP;León;Páramo del Sil;;W6.48;N42.83;12;
2;ESP;León;Peranzanes;;W6.66;N42.88;12;
2;ESP;León;Pobladura de Pelayo García;;W5.66;N42.31;12;
2;ESP;León;La Pola de Gordón;;W5.68;N42.88;12;
2;ESP;León;Ponferrada;;W6.57;N42.50;12;
2;ESP;León;Posada de Valdeón;;W4.91;N43.17;12;
2;ESP;León;Pozuelo del Páramo;;W5.78;N42.17;12;
2;ESP;León;Prado de la Guzpeña;;W5.03;N42.79;12;
2;ESP;León;Priaranza del Bierzo;;W6.67;N42.48;12;
2;ESP;León;Prioro;;W4.97;N42.90;12;
2;ESP;León;Puebla de Lillo;;W5.28;N43.03;12;
2;ESP;León;Puente de Domingo Flórez;;W6.79;N42.43;12;
2;ESP;León;Quintana del Castillo;;W5.99;N42.65;12;
2;ESP;León;Quintana del Marco;;W5.85;N42.20;12;
2;ESP;León;Quintana y Congosto;;W6.06;N42.27;12;
2;ESP;León;Regueras de Arriba;;W5.85;N42.30;12;
2;ESP;León;Reyero;;W5.20;N42.95;12;
2;ESP;León;Riaño;;W5.01;N42.97;12;
2;ESP;León;Riego de la Vega;;W5.98;N42.35;12;
2;ESP;León;Riello;;W6.02;N42.82;12;
2;ESP;León;Rioseco de Tapia;;W5.77;N42.69;12;
2;ESP;León;La Robla;;W5.61;N42.81;12;
2;ESP;León;Roperuelos del Páramo;;W5.79;N42.22;12;
2;ESP;León;Sabero;;W5.16;N42.84;12;
2;ESP;León;Sahagún;;W5.02;N42.36;12;
2;ESP;León;San Adrián del Valle;;W5.71;N42.13;12;
2;ESP;León;San Andrés del Rabanedo;;W5.68;N42.62;12;
2;ESP;León;San Cristóbal de la Polantera;;W5.90;N42.39;12;
2;ESP;León;San Emiliano;;W6.03;N42.98;12;
2;ESP;León;San Esteban de Nogales;;W5.94;N42.16;12;
2;ESP;León;San Justo de la Vega;;W6.01;N42.46;12;
2;ESP;León;San Millán de los Caballeros;;W5.58;N42.29;12;
2;ESP;León;San Pedro Bercianos;;W5.72;N42.41;12;
2;ESP;León;Sancedo;;W6.64;N42.67;12;
2;ESP;León;Santa Colomba de Curueño;;W5.41;N42.76;12;
2;ESP;León;Santa Colomba de Somoza;;W6.28;N42.48;12;
2;ESP;León;Santa Cristina de Valmadrigal;;W5.31;N42.37;12;
2;ESP;León;Santa Elena de Jamuz;;W5.91;N42.25;12;
2;ESP;León;Santa María de la Isla;;W5.93;N42.36;12;
2;ESP;León;Santa María de Ordás;;W5.83;N42.75;12;
2;ESP;León;Santa María del Monte de Cea;;W5.11;N42.50;12;
2;ESP;León;Santa María del Páramo;;W5.75;N42.36;12;
2;ESP;León;Santa Marina del Rey;;W5.84;N42.49;12;
2;ESP;León;Santas Martas;;W5.36;N42.45;12;
2;ESP;León;Santiago Millas;;W6.12;N42.40;12;
2;ESP;León;Santovenia de la Valdoncina;;W5.62;N42.54;12;
2;ESP;León;Sariegos;;W5.63;N42.66;12;
2;ESP;León;Sena de Luna;;W5.93;N42.92;12;
2;ESP;León;Sobrado;;W8.03;N43.05;12;
2;ESP;León;Soto de la Vega;;W5.89;N42.33;12;
2;ESP;León;Soto y Amío;;W5.86;N42.79;12;
2;ESP;León;Toral de los Guzmanes;;W5.57;N42.25;12;
2;ESP;León;Toreno;;W6.50;N42.72;12;
2;ESP;León;Torre del Bierzo;;W6.31;N42.57;12;
2;ESP;León;Trabadelo;;W6.87;N42.64;12;
2;ESP;León;Truchas;;W6.44;N42.26;12;
2;ESP;León;Turcia;;W5.89;N42.56;12;
2;ESP;León;Urdiales del Páramo;;W5.78;N42.38;12;
2;ESP;León;Val de San Lorenzo;;W6.15;N42.40;12;
2;ESP;León;Valdefresno;;W5.47;N42.62;12;
2;ESP;León;Valdefuentes del Páramo;;W5.82;N42.32;12;
2;ESP;León;Valdelugueros;;W5.42;N42.98;12;
2;ESP;León;Valdemora;;W5.42;N42.19;12;
2;ESP;León;Valdepiélago;;W5.42;N42.87;12;
2;ESP;León;Valdepolo;;W5.21;N42.56;12;
2;ESP;León;Valderas;;W5.45;N42.09;12;
2;ESP;León;Valderrey;;W6.02;N42.40;12;
2;ESP;León;Valderrueda;;W4.98;N42.84;12;
2;ESP;León;Valdesamario;;W6.03;N42.73;12;
2;ESP;León;Valdevimbre;;W5.64;N42.41;12;
2;ESP;León;Valencia de Don Juan;;W5.51;N42.28;12;
2;ESP;León;Vallecillo;;W5.21;N42.35;12;
2;ESP;León;Valverde de la Virgen;;W5.68;N42.56;12;
2;ESP;León;Valverde-Enrique;;W5.28;N42.31;12;
2;ESP;León;La Vecilla;;W5.41;N42.82;12;
2;ESP;León;Vega de Espinareda;;W6.74;N42.77;12;
2;ESP;León;Vega de Infanzones;;W5.54;N42.49;12;
2;ESP;León;Vega de Valcarce;;W6.97;N42.67;12;
2;ESP;León;Vegacervera;;W5.57;N42.90;12;
2;ESP;León;Vegaquemada;;W5.33;N42.81;12;
2;ESP;León;Vegas del Condado;;W5.39;N42.68;12;
2;ESP;León;Villablino;;W6.34;N42.98;12;
2;ESP;León;Villabraz;;W5.44;N42.26;12;
2;ESP;León;Villadangos del Páramo;;W5.77;N42.52;12;
2;ESP;León;Villadecanes;;W6.79;N42.55;12;
2;ESP;León;Villademor de la Vega;;W5.58;N42.27;12;
2;ESP;León;Villafranca del Bierzo;;W6.81;N42.69;12;
2;ESP;León;Villagatón;;W6.19;N42.65;12;
2;ESP;León;Villamandos;;W5.59;N42.18;12;
2;ESP;León;Villamanín;;W5.71;N42.97;12;
2;ESP;León;Villamañán;;W5.60;N42.34;12;
2;ESP;León;Villamartín de Don Sancho;;W5.09;N42.58;12;
2;ESP;León;Villamejil;;W6.01;N42.57;12;
2;ESP;León;Villamol;;W5.05;N42.45;12;
2;ESP;León;Villamontán de la Valduerna;;W6.01;N42.30;12;
2;ESP;León;Villamoratiel de las Matas;;W5.31;N42.40;12;
2;ESP;León;Villanueva de las Manzanas;;W5.47;N42.46;12;
2;ESP;León;Villaobispo de Otero;;W6.05;N42.50;12;
2;ESP;León;Villaornate y Castro;;W5.52;N42.20;12;
2;ESP;León;Villaquejida;;W5.58;N42.12;12;
2;ESP;León;Villaquilambre;;W5.53;N42.66;12;
2;ESP;León;Villarejo de Órbigo;;W5.91;N42.43;12;
2;ESP;León;Villares de Órbigo;;W5.92;N42.48;12;
2;ESP;León;Villasabariego;;W5.39;N42.55;12;
2;ESP;León;Villaselán;;W5.03;N42.57;12;
2;ESP;León;Villaturiel;;W5.53;N42.53;12;
2;ESP;León;Villazala;;W5.85;N42.38;12;
2;ESP;León;Villazanzo de Valderaduey;;W4.95;N42.57;12;
2;ESP;León;Zotes del Páramo;;W5.74;N42.27;12;
