Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Lleida;Abella de la Conca;;E1.12;N42.17;12;
2;ESP;Lleida;Àger;;E0.76;N42.01;12;
2;ESP;Lleida;Agramunt;;E1.07;N41.80;12;
2;ESP;Lleida;Aitona;;E0.48;N41.48;12;
2;ESP;Lleida;Els Alamús;;E0.76;N41.61;12;
2;ESP;Lleida;Alàs i Cerc;;E1.52;N42.34;12;
2;ESP;Lleida;L'Albagés;;E0.76;N41.45;12;
2;ESP;Lleida;Albatàrrec;;E0.61;N41.57;12;
2;ESP;Lleida;Albesa;;E0.67;N41.76;12;
2;ESP;Lleida;L'Albi;;E0.92;N41.43;12;
2;ESP;Lleida;Alcanó;;E0.63;N41.48;12;
2;ESP;Lleida;Alcarràs;;E0.47;N41.60;12;
2;ESP;Lleida;Alcoletge;;E0.70;N41.65;12;
2;ESP;Lleida;Alfarràs;;E0.57;N41.83;12;
2;ESP;Lleida;Alfés;;E0.63;N41.51;12;
2;ESP;Lleida;Algerri;;E0.63;N41.83;12;
2;ESP;Lleida;Alguaire;;E0.58;N41.74;12;
2;ESP;Lleida;Alins;;E1.36;N42.58;12;
2;ESP;Lleida;Almacelles;;E0.46;N41.73;12;
2;ESP;Lleida;Almatret;;E0.40;N41.34;12;
2;ESP;Lleida;Almenar;;E0.55;N41.78;12;
2;ESP;Lleida;Alòs de Balaguer;;E0.95;N41.92;12;
2;ESP;Lleida;Alpicat;;E0.57;N41.67;12;
2;ESP;Lleida;Alt Àneu;;E1.07;N42.68;12;
2;ESP;Lleida;Anglesola;;E1.06;N41.67;12;
2;ESP;Lleida;Arbeca;;E0.94;N41.54;12;
2;ESP;Lleida;Arres;;E0.70;N42.76;12;
2;ESP;Lleida;Arsèguel;;E1.58;N42.35;12;
2;ESP;Lleida;Artesa de Lleida;;E0.70;N41.55;12;
2;ESP;Lleida;Artesa de Segre;;E1.08;N41.95;12;
2;ESP;Lleida;Aspa;;E0.68;N41.49;12;
2;ESP;Lleida;Les Avellanes i Santa Linya;;E0.80;N41.92;12;
2;ESP;Lleida;Baix Pallars;;E1.07;N42.33;12;
2;ESP;Lleida;Balaguer;;E0.82;N41.79;12;
2;ESP;Lleida;Barbens;;E1.04;N41.68;12;
2;ESP;Lleida;La Baronia de Rialb;;E1.18;N42.03;12;
2;ESP;Lleida;Bassella;;E1.31;N42.01;12;
2;ESP;Lleida;Bausen;;E0.70;N42.84;12;
2;ESP;Lleida;Belianes;;E1.00;N41.57;12;
2;ESP;Lleida;Bellaguarda;;E0.73;N41.33;12;
2;ESP;Lleida;Bellcaire d'Urgell;;E0.89;N41.77;12;
2;ESP;Lleida;Bell-lloc d'Urgell;;E0.78;N41.63;12;
2;ESP;Lleida;Bellmunt d'Urgell;;E0.95;N41.76;12;
2;ESP;Lleida;Bellpuig;;E1.01;N41.63;12;
2;ESP;Lleida;Bellver de Cerdanya;;E1.76;N42.38;12;
2;ESP;Lleida;Bellvís;;E0.83;N41.69;12;
2;ESP;Lleida;Benavent de Segrià;;E0.64;N41.70;12;
2;ESP;Lleida;Biosca;;E1.37;N41.88;12;
2;ESP;Lleida;Es Bòrdes;;E0.71;N42.72;12;
2;ESP;Lleida;Les Borges Blanques;;E0.85;N41.51;12;
2;ESP;Lleida;Bossòst;;E0.68;N42.78;12;
2;ESP;Lleida;Bovera;;E0.64;N41.32;12;
2;ESP;Lleida;Cabanabona;;E1.22;N41.85;12;
2;ESP;Lleida;Cabó;;E1.24;N42.24;12;
2;ESP;Lleida;Camarasa;;E0.86;N41.95;12;
2;ESP;Lleida;Canejan;;E0.79;N42.82;12;
2;ESP;Lleida;Castell de Mur;;E0.85;N42.10;12;
2;ESP;Lleida;Castellar de la Ribera;;E1.40;N42.02;12;
2;ESP;Lleida;Castelldans;;E0.77;N41.49;12;
2;ESP;Lleida;Castellnou de Seana;;E0.98;N41.65;12;
2;ESP;Lleida;Castelló de Farfanya;;E0.72;N41.81;12;
2;ESP;Lleida;Castellserà;;E0.98;N41.76;12;
2;ESP;Lleida;Cava;;E1.61;N42.32;12;
2;ESP;Lleida;Cervera;;E1.27;N41.67;12;
2;ESP;Lleida;Cervià de les Garrigues;;E0.84;N41.43;12;
2;ESP;Lleida;Ciutadilla;;E1.15;N41.54;12;
2;ESP;Lleida;Clariana de Cardener;;E1.60;N41.94;12;
2;ESP;Lleida;El Cogul;;E0.70;N41.45;12;
2;ESP;Lleida;Coll de Nargó;;E1.32;N42.17;12;
2;ESP;Lleida;La Coma i la Pedra;;E1.59;N42.17;12;
2;ESP;Lleida;Conca de Dalt;;E1.00;N42.25;12;
2;ESP;Lleida;Corbins;;E0.67;N41.69;12;
2;ESP;Lleida;Cubells;;E0.95;N41.83;12;
2;ESP;Lleida;L'Espluga Calba;;E1.01;N41.50;12;
2;ESP;Lleida;Espot;;E1.04;N42.57;12;
2;ESP;Lleida;Estamariu;;E1.53;N42.38;12;
2;ESP;Lleida;Estaràs;;E1.38;N41.70;12;
