Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Lugo;Abadín;;W7.51;N43.38;12;
2;ESP;Lugo;Alfoz;;W7.43;N43.53;12;
2;ESP;Lugo;Antas de Ulla;;W7.90;N42.81;12;
2;ESP;Lugo;Baleira;;W7.20;N43.04;12;
2;ESP;Lugo;Baralla;;W7.24;N42.93;12;
2;ESP;Lugo;Barreiros;;W7.22;N43.53;12;
2;ESP;Lugo;Becerreá;;W7.12;N42.88;12;
2;ESP;Lugo;Begonte;;W7.69;N43.16;12;
2;ESP;Lugo;Bóveda;;W7.48;N42.63;12;
2;ESP;Lugo;Burela;;W7.36;N43.66;12;
2;ESP;Lugo;Carballedo;;W7.81;N42.52;12;
2;ESP;Lugo;Castro de Rei;;W7.45;N43.18;12;
2;ESP;Lugo;Castroverde;;W7.34;N43.01;12;
2;ESP;Lugo;Cervantes;;W6.98;N42.84;12;
2;ESP;Lugo;Cervo;;W7.43;N43.67;12;
2;ESP;Lugo;Chantada;;W7.80;N42.61;12;
2;ESP;Lugo;O Corgo;;W7.46;N42.93;12;
2;ESP;Lugo;Cospeito;;W7.52;N43.21;12;
2;ESP;Lugo;Folgoso do Courel;;W7.16;N42.61;12;
2;ESP;Lugo;A Fonsagrada;;W7.08;N43.15;12;
2;ESP;Lugo;Foz;;W7.26;N43.55;12;
2;ESP;Lugo;Friol;;W7.81;N43.02;12;
2;ESP;Lugo;Guitiriz;;W7.83;N43.23;12;
2;ESP;Lugo;Guntín;;W7.63;N42.88;12;
2;ESP;Lugo;O Incio;;W7.37;N42.66;12;
2;ESP;Lugo;Láncara;;W7.37;N42.85;12;
2;ESP;Lugo;Lourenzá;;W7.29;N43.46;12;
2;ESP;Lugo;Lugo;;W7.50;N43.00;12;
2;ESP;Lugo;Meira;;W7.25;N43.23;12;
2;ESP;Lugo;Mondoñedo;;W4.36;N42.36;10;
2;ESP;Lugo;Monforte de Lemos;;W7.49;N42.51;12;
2;ESP;Lugo;Monterroso;;W7.84;N42.80;12;
2;ESP;Lugo;Muras;;W7.69;N43.50;12;
2;ESP;Lugo;Navia de Suarna;;W6.97;N42.98;12;
2;ESP;Lugo;Negueira de Muñiz;;W6.90;N43.13;12;
2;ESP;Lugo;As Nogais;;W7.11;N42.77;12;
2;ESP;Lugo;Ourol;;W7.66;N43.56;12;
2;ESP;Lugo;Outeiro de Rei;;W7.61;N43.12;12;
2;ESP;Lugo;Palas de Rei;;W7.90;N42.87;12;
2;ESP;Lugo;Pantón;;W7.64;N42.51;12;
2;ESP;Lugo;Paradela;;W7.59;N42.75;12;
2;ESP;Lugo;O Páramo;;W7.52;N42.84;12;
2;ESP;Lugo;A Pastoriza;;W7.33;N43.29;12;
2;ESP;Lugo;Pedrafita do Cebreiro;;W7.08;N42.69;12;
2;ESP;Lugo;A Pobra do Brollón;;W7.37;N42.56;12;
2;ESP;Lugo;Pol;;W7.32;N43.16;12;
2;ESP;Lugo;A Pontenova;;W7.18;N43.33;12;
2;ESP;Lugo;Portomarín;;W7.66;N42.81;12;
2;ESP;Lugo;Quiroga;;W7.21;N42.48;12;
2;ESP;Lugo;Rábade;;W7.62;N43.12;12;
2;ESP;Lugo;Ribadeo;;W7.10;N43.53;12;
2;ESP;Lugo;Ribas de Sil;;W7.30;N42.44;12;
2;ESP;Lugo;Ribeira de Piquín;;W7.18;N43.21;12;
2;ESP;Lugo;Riotorto;;W7.26;N43.32;12;
2;ESP;Lugo;Samos;;W7.27;N42.70;12;
2;ESP;Lugo;Sarria;;W7.44;N42.77;12;
2;ESP;Lugo;O Saviñao;;W7.65;N42.64;12;
2;ESP;Lugo;Sober;;W7.56;N42.44;12;
2;ESP;Lugo;Taboada;;W7.75;N42.71;12;
2;ESP;Lugo;Trabada;;W7.16;N43.45;12;
2;ESP;Lugo;Triacastela;;W7.21;N42.76;12;
2;ESP;Lugo;O Valadouro;;W7.49;N43.54;12;
2;ESP;Lugo;O Vicedo;;W7.65;N43.71;12;
2;ESP;Lugo;Vilalba;;W7.66;N43.33;12;
2;ESP;Lugo;Viveiro;;W7.58;N43.66;12;
2;ESP;Lugo;Xermade;;W7.80;N43.38;12;
2;ESP;Lugo;Xove;;W7.50;N43.69;12;
