Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Madrid;La Acebeda;;W3.62;N41.09;12;
2;ESP;Madrid;Ajalvir;;W3.48;N40.53;12;
2;ESP;Madrid;Alameda del Valle;;W3.85;N40.92;12;
2;ESP;Madrid;El Álamo;;W3.99;N40.23;12;
2;ESP;Madrid;Alcalá de Henares;;W3.38;N40.50;10;
2;ESP;Madrid;Alcobendas;;W3.63;N40.54;12;
2;ESP;Madrid;Alcorcón;;W3.83;N40.35;12;
2;ESP;Madrid;Aldea del Fresno;;W4.22;N40.31;12;
2;ESP;Madrid;Algete;;W3.53;N40.61;12;
2;ESP;Madrid;Alpedrete;;W4.02;N40.66;12;
2;ESP;Madrid;Ambite;;W3.17;N40.34;12;
2;ESP;Madrid;Anchuelo;;W3.28;N40.47;12;
2;ESP;Madrid;Aranjuez;;W3.6;N40.03;10;
2;ESP;Madrid;Arganda del Rey;;W3.45;N40.30;12;
2;ESP;Madrid;Arroyomolinos;;W6.15;N39.14;12;
2;ESP;Madrid;El Atazar;;W3.47;N40.93;12;
2;ESP;Madrid;Batres;;W3.93;N40.23;12;
2;ESP;Madrid;Becerril de la Sierra;;W3.93;N40.70;12;
2;ESP;Madrid;Belmonte de Tajo;;W3.34;N40.13;12;
2;ESP;Madrid;El Berrueco;;W3.55;N40.89;12;
2;ESP;Madrid;Berzosa del Lozoya;;W3.53;N40.97;12;
2;ESP;Madrid;Boadilla del Monte;;W3.885;N40.410;10;
2;ESP;Madrid;El Boalo;;W3.91;N40.70;12;
2;ESP;Madrid;Braojos;;W3.66;N41.06;12;
2;ESP;Madrid;Brea de Tajo;;W3.12;N40.24;12;
2;ESP;Madrid;Brunete;;W4.00;N40.40;12;
2;ESP;Madrid;Buitrago del Lozoya;;W3.635;N40.994;10;
2;ESP;Madrid;Bustarviejo;;W3.73;N40.84;12;
2;ESP;Madrid;Cabanillas de la Sierra;;W3.64;N40.83;12;
2;ESP;Madrid;La Cabrera;;W3.61;N40.86;12;
2;ESP;Madrid;Cadalso de los Vidrios;;W4.44;N40.30;12;
2;ESP;Madrid;Camarma de Esteruelas;;W3.37;N40.56;12;
2;ESP;Madrid;Campo Real;;W3.38;N40.32;12;
2;ESP;Madrid;Canencia;;W3.76;N40.89;12;
2;ESP;Madrid;Carabaña;;W3.25;N40.26;12;
2;ESP;Madrid;Casarrubuelos;;W3.83;N40.17;12;
2;ESP;Madrid;Cenicientos;;W4.51;N40.24;12;
2;ESP;Madrid;Cercedilla;;W4.05;N40.76;12;
2;ESP;Madrid;Cervera de Buitrago;;W3.52;N40.91;12;
2;ESP;Madrid;Chapinería;;W4.20;N40.37;12;
2;ESP;Madrid;Chinchón;;W3.49;N40.15;12;
2;ESP;Madrid;Ciempozuelos;;W3.60;N40.15;12;
2;ESP;Madrid;Cobeña;;W3.51;N40.57;12;
2;ESP;Madrid;Collado Mediano;;W4.03;N40.69;12;
2;ESP;Madrid;Collado Villalba;;W3.99;N40.64;12;
2;ESP;Madrid;Colmenar de Oreja;;W3.46;N40.07;12;
2;ESP;Madrid;Colmenar del Arroyo;;W4.18;N40.40;12;
2;ESP;Madrid;Colmenar Viejo;;W3.73;N40.64;12;
2;ESP;Madrid;Colmenarejo;;W4.02;N40.53;12;
2;ESP;Madrid;Corpa;;W3.25;N40.42;12;
2;ESP;Madrid;Coslada;;W3.55;N40.43;12;
2;ESP;Madrid;Cubas de la Sagra;;W3.83;N40.19;12;
2;ESP;Madrid;Daganzo de Arriba;;W3.44;N40.56;12;
2;ESP;Madrid;El Escorial;;W4.128;N40.583;10;
2;ESP;Madrid;Estremera;;W3.09;N40.14;12;
2;ESP;Madrid;Fresnedillas de la Oliva;;W4.18;N40.47;12;
2;ESP;Madrid;Fresno de Torote;;W3.40;N40.60;12;
2;ESP;Madrid;Fuenlabrada;;W3.80;N40.29;12;
2;ESP;Madrid;Fuente el Saz de Jarama;;W3.52;N40.64;12;
2;ESP;Madrid;Fuentidueña de Tajo;;W3.16;N40.11;12;
2;ESP;Madrid;Galapagar;;W3.98;N40.56;12;
2;ESP;Madrid;Garganta de los Montes;;W3.69;N40.94;12;
2;ESP;Madrid;Gargantilla del Lozoya y Pinilla de Buitrago;;W3.70;N40.96;12;
2;ESP;Madrid;Gascones;;W3.66;N41.03;12;
2;ESP;Madrid;Getafe;;W3.66;N40.29;12;
2;ESP;Madrid;Griñón;;W3.84;N40.22;12;
2;ESP;Madrid;Guadalix de la Sierra;;W3.68;N40.77;12;
2;ESP;Madrid;Guadarrama;;W4.089;N40.673;10;
2;ESP;Madrid;La Hiruela;;W3.45;N41.07;12;
2;ESP;Madrid;Horcajo de la Sierra;;W3.59;N41.08;12;
2;ESP;Madrid;Horcajuelo de la Sierra;;W3.55;N41.08;12;
2;ESP;Madrid;Hoyo de Manzanares;;W3.91;N40.62;12;
2;ESP;Madrid;Humanes de Madrid;;W3.82;N40.25;12;
2;ESP;Madrid;Leganés;;W3.78;N40.33;12;
2;ESP;Madrid;Loeches;;W3.42;N40.38;12;
2;ESP;Madrid;Lozoya;;W3.78;N40.96;12;
2;ESP;Madrid;Lozoyuela-Navas-Sieteiglesias;;W3.62;N40.92;12;
2;ESP;Madrid;Madarcos;;W3.58;N41.04;12;
2;ESP;Madrid;Madrid;;W3.71;N40.40;10;
2;ESP;Madrid;Majadahonda;;W3.87;N40.47;12;
2;ESP;Madrid;Manzanares el Real;;W3.90;N40.74;12;
2;ESP;Madrid;Meco;;W3.32;N40.56;12;
2;ESP;Madrid;Mejorada del Campo;;W3.48;N40.40;12;
2;ESP;Madrid;Miraflores de la Sierra;;W3.76;N40.78;12;
2;ESP;Madrid;El Molar;;W3.57;N40.70;12;
2;ESP;Madrid;Los Molinos;;W4.09;N40.72;12;
2;ESP;Madrid;Montejo de la Sierra;;W3.51;N41.10;12;
2;ESP;Madrid;Moraleja de Enmedio;;W3.89;N40.26;12;
2;ESP;Madrid;Moralzarzal;;W3.94;N40.67;12;
2;ESP;Madrid;Morata de Tajuña;;W3.45;N40.23;12;
2;ESP;Madrid;Móstoles;;W3.86;N40.33;10;
2;ESP;Madrid;Navacerrada;;W4.01;N40.76;12;
2;ESP;Madrid;Navalafuente;;W3.67;N40.82;12;
2;ESP;Madrid;Navalagamella;;W4.13;N40.44;12;
2;ESP;Madrid;Navalcarnero;;W4.00;N40.28;12;
2;ESP;Madrid;Navarredonda y San Mamés;;W3.72;N41.00;12;
2;ESP;Madrid;Navas del Rey;;W4.28;N40.38;12;
2;ESP;Madrid;Nuevo Baztán;;W3.25;N40.38;12;
2;ESP;Madrid;Olmeda de las Fuentes;;W3.21;N40.37;12;
2;ESP;Madrid;Orusco de Tajuña;;W3.21;N40.29;12;
2;ESP;Madrid;Paracuellos de Jarama;;W3.53;N40.52;12;
2;ESP;Madrid;Parla;;W3.77;N40.23;12;
2;ESP;Madrid;Patones;;W3.48;N40.89;12;
2;ESP;Madrid;Pedrezuela;;W3.63;N40.74;12;
2;ESP;Madrid;Pelayos de la Presa;;W4.32;N40.36;12;
2;ESP;Madrid;Perales de Tajuña;;W3.36;N40.23;12;
2;ESP;Madrid;Pezuela de las Torres;;W3.18;N40.40;12;
2;ESP;Madrid;Pinilla del Valle;;W3.83;N40.94;12;
2;ESP;Madrid;Pinto;;W3.70;N40.25;10;
2;ESP;Madrid;Piñuécar-Gandullas;;W3.60;N41.04;12;
2;ESP;Madrid;Pozuelo de Alarcón;;W3.82;N40.43;12;
2;ESP;Madrid;Pozuelo del Rey;;W3.31;N40.36;12;
2;ESP;Madrid;Prádena del Rincón;;W3.52;N41.04;12;
2;ESP;Madrid;Puebla de la Sierra;;W3.47;N41.00;12;
2;ESP;Madrid;Puentes Viejas;;W3.56;N40.97;12;
2;ESP;Madrid;Quijorna;;W4.06;N40.42;12;
2;ESP;Madrid;Rascafría;;W3.90;N40.86;12;
2;ESP;Madrid;Redueña;;W3.59;N40.81;12;
2;ESP;Madrid;Ribatejada;;W3.42;N40.67;12;
2;ESP;Madrid;Rivas-Vaciamadrid;;W3.52;N40.35;12;
