Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Murcia;Abanilla;;W1.05;N38.22;12;
2;ESP;Murcia;Abarán;;W1.35;N38.25;12;
2;ESP;Murcia;Águilas;;W1.56;N37.45;12;
2;ESP;Murcia;Albudeite;;W1.37;N38.04;12;
2;ESP;Murcia;Alcantarilla;;W1.23;N37.98;12;
2;ESP;Murcia;Los Alcázares;;W0.85;N37.75;12;
2;ESP;Murcia;Aledo;;W1.63;N37.78;12;
2;ESP;Murcia;Alguazas;;W1.26;N38.06;12;
2;ESP;Murcia;Alhama de Murcia;;W1.39;N37.86;12;
2;ESP;Murcia;Archena;;W1.30;N38.12;12;
2;ESP;Murcia;Beniel;;W1.00;N38.03;12;
2;ESP;Murcia;Blanca;;W1.34;N38.20;12;
2;ESP;Murcia;Bullas;;W1.69;N38.02;12;
2;ESP;Murcia;Calasparra;;W1.67;N38.27;12;
2;ESP;Murcia;Campos del Río;;W1.37;N38.06;12;
2;ESP;Murcia;Caravaca de la Cruz;;W2.03;N37.99;12;
2;ESP;Murcia;Cartagena;;W0.99;N37.61;10;
2;ESP;Murcia;Cehegín;;W1.74;N38.05;12;
2;ESP;Murcia;Ceutí;;W1.27;N38.09;12;
2;ESP;Murcia;Cieza;;W1.43;N38.25;12;
2;ESP;Murcia;Fortuna;;W1.12;N38.18;12;
2;ESP;Murcia;Fuente Álamo de Murcia;;W1.17;N37.75;12;
2;ESP;Murcia;Jumilla;;W1.28;N38.47;12;
2;ESP;Murcia;Librilla;;W1.34;N37.90;12;
2;ESP;Murcia;Lorca;;W1.70;N37.62;10;
2;ESP;Murcia;Lorquí;;W1.25;N38.10;12;
2;ESP;Murcia;Mazarrón;;W1.32;N37.59;12;
2;ESP;Murcia;Molina de Segura;;W1.20;N38.10;12;
2;ESP;Murcia;Moratalla;;W1.91;N38.23;12;
2;ESP;Murcia;Mula;;W1.54;N37.99;12;
2;ESP;Murcia;Murcia;;W1.16;N37.94;12;
2;ESP;Murcia;Ojós;;W1.36;N38.12;12;
2;ESP;Murcia;Pliego;;W1.52;N37.98;12;
2;ESP;Murcia;Puerto Lumbreras;;W1.81;N37.55;12;
2;ESP;Murcia;Ricote;;W1.42;N38.16;12;
2;ESP;Murcia;San Javier;;W0.77;N37.76;12;
2;ESP;Murcia;San Pedro del Pinatar;;W0.78;N37.83;12;
2;ESP;Murcia;Santomera;;W1.07;N38.09;12;
2;ESP;Murcia;Torre-Pacheco;;W0.96;N37.79;12;
2;ESP;Murcia;Las Torres de Cotillas;;W1.26;N38.02;12;
2;ESP;Murcia;Totana;;W1.56;N37.78;12;
2;ESP;Murcia;Ulea;;W1.29;N38.16;12;
2;ESP;Murcia;La Unión;;W0.87;N37.60;12;
2;ESP;Murcia;Villanueva del Río Segura;;W1.32;N38.10;12;
2;ESP;Murcia;Yecla;;W1.13;N38.66;12;
