Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Navarra;Abáigar;;W2.14;N42.65;12;
2;ESP;Navarra;Abárzuza;;W2.04;N42.76;12;
2;ESP;Navarra;Abaurregaina/Abaurrea Alta;;W1.19;N42.90;12;
2;ESP;Navarra;Abaurrepea/Abaurrea Baja;;W1.21;N42.91;12;
2;ESP;Navarra;Aberin;;W1.99;N42.62;12;
2;ESP;Navarra;Ablitas;;W1.59;N41.97;12;
2;ESP;Navarra;Adiós;;W1.73;N42.70;12;
2;ESP;Navarra;Aguilar de Codés;;W2.38;N42.61;12;
2;ESP;Navarra;Aibar/Oibar;;W1.35;N42.59;12;
2;ESP;Navarra;Allín;;W2.08;N42.71;12;
2;ESP;Navarra;Allo;;W2.00;N42.54;12;
2;ESP;Navarra;Altsasu/Alsasua;;W2.19;N42.91;12;
2;ESP;Navarra;Améscoa Baja;;W2.13;N42.77;12;
2;ESP;Navarra;Ancín;;W2.19;N42.67;12;
2;ESP;Navarra;Andosilla;;W1.95;N42.38;12;
2;ESP;Navarra;Ansoáin;;W1.64;N42.84;12;
2;ESP;Navarra;Anue;;W1.58;N42.98;12;
2;ESP;Navarra;Añorbe;;W1.73;N42.64;12;
2;ESP;Navarra;Aoiz/Agoitz;;W1.36;N42.78;12;
2;ESP;Navarra;Araitz;;W2.00;N43.03;12;
2;ESP;Navarra;Arakil;;W1.85;N42.92;12;
2;ESP;Navarra;Aranarache;;W2.23;N42.77;12;
2;ESP;Navarra;Aranguren;;W1.58;N42.78;12;
2;ESP;Navarra;Arano;;W1.89;N43.21;12;
2;ESP;Navarra;Arantza;;W1.74;N43.20;12;
2;ESP;Navarra;Aras;;W2.35;N42.57;12;
2;ESP;Navarra;Arbizu;;W2.04;N42.93;12;
2;ESP;Navarra;Arce/Artzi;;W1.35;N42.89;12;
2;ESP;Navarra;Los Arcos;;W2.18;N42.55;12;
2;ESP;Navarra;Arellano;;W2.06;N42.58;12;
2;ESP;Navarra;Areso;;W1.951;N43.084;10;
2;ESP;Navarra;Arguedas;;W1.58;N42.19;10;
2;ESP;Navarra;Aria;;W1.27;N42.97;12;
2;ESP;Navarra;Aribe;;W1.26;N42.95;12;
2;ESP;Navarra;Armañanzas;;W2.29;N42.54;12;
2;ESP;Navarra;Arróniz;;W2.11;N42.56;12;
2;ESP;Navarra;Arruazu;;W2.00;N42.93;12;
2;ESP;Navarra;Artajona;;W1.75;N42.59;12;
2;ESP;Navarra;Artazu;;W1.84;N42.69;12;
2;ESP;Navarra;Atez;;W1.71;N42.94;12;
2;ESP;Navarra;Auritz/Burguete;;W1.34;N42.99;12;
2;ESP;Navarra;Ayegui;;W2.04;N42.65;12;
2;ESP;Navarra;Azagra;;W1.88;N42.29;12;
2;ESP;Navarra;Azuelo;;W2.35;N42.61;12;
2;ESP;Navarra;Bakaiku;;W2.11;N42.91;12;
2;ESP;Navarra;Barañain;;W1.69;N42.80;12;
2;ESP;Navarra;Barásoain;;W1.67;N42.61;12;
2;ESP;Navarra;Barbarin;;W2.13;N42.59;12;
2;ESP;Navarra;Bargota;;W2.31;N42.54;12;
2;ESP;Navarra;Barillas;;W1.66;N41.97;12;
2;ESP;Navarra;Basaburua;;W1.81;N43.03;12;
2;ESP;Navarra;Baztan;;W1.55;N43.15;12;
2;ESP;Navarra;Beintza-Labaien;;W1.76;N43.11;12;
2;ESP;Navarra;Beire;;W1.59;N42.47;12;
2;ESP;Navarra;Belascoáin;;W1.83;N42.75;12;
2;ESP;Navarra;Bera/Vera de Bidasoa;;W1.67;N43.27;12;
2;ESP;Navarra;Berbinzana;;W1.84;N42.52;12;
2;ESP;Navarra;Beriáin;;W1.64;N42.73;12;
2;ESP;Navarra;Berrioplano;;W1.70;N42.86;12;
2;ESP;Navarra;Berriozar;;W1.67;N42.84;10;
2;ESP;Navarra;Bertizarana;;W1.62;N43.14;10;
2;ESP;Navarra;Betelu;;W1.97;N43.01;12;
2;ESP;Navarra;Bidaurreta;;W1.84;N42.77;12;
2;ESP;Navarra;Biurrun-Olcoz;;W1.68;N42.67;12;
2;ESP;Navarra;Buñuel;;W1.44;N41.98;12;
2;ESP;Navarra;Burgui/Burgi;;W1.00;N42.74;12;
2;ESP;Navarra;Burlada/Burlata;;W1.62;N42.82;12;
2;ESP;Navarra;El Busto;;W2.23;N42.54;12;
2;ESP;Navarra;Cabanillas;;W1.53;N42.03;12;
2;ESP;Navarra;Cabredo;;W2.43;N42.63;12;
2;ESP;Navarra;Cadreita;;W1.69;N42.22;12;
2;ESP;Navarra;Caparroso;;W1.666;N42.334;10;
2;ESP;Navarra;Cárcar;;W1.98;N42.42;12;
2;ESP;Navarra;Carcastillo;;W1.43;N42.36;12;
2;ESP;Navarra;Cascante;;W1.68;N42.01;12;
2;ESP;Navarra;Cáseda;;W1.36;N42.50;12;
2;ESP;Navarra;Castejón;;W2.54;N40.41;12;
2;ESP;Navarra;Castillonuevo;;W1.06;N42.67;12;
2;ESP;Navarra;Cendea de Olza/Oltza Zendea;;W1.75;N42.82;12;
2;ESP;Navarra;Cintruénigo;;W1.809;N42.078;10;
2;ESP;Navarra;Cirauqui;;W1.90;N42.66;12;
2;ESP;Navarra;Ciriza;;W1.82;N42.79;13;
2;ESP;Navarra;Cizur;;W1.72;N42.76;12;
2;ESP;Navarra;Corella;;W1.79;N42.10;12;
2;ESP;Navarra;Cortes;;W1.44;N41.94;12;
2;ESP;Navarra;Desojo;;W2.27;N42.59;12;
2;ESP;Navarra;Dicastillo;;W2.04;N42.57;12;
2;ESP;Navarra;Donamaria;;W1.66;N43.09;12;
2;ESP;Navarra;Doneztebe/Santesteban;;W1.67;N43.14;12;
2;ESP;Navarra;Echarri;;W1.828;N42.781;10;
2;ESP;Navarra;Egüés;;W1.57;N42.81;12;
2;ESP;Navarra;Elgorriaga;;W1.69;N43.14;12;
2;ESP;Navarra;Enériz;;W1.74;N42.66;12;
2;ESP;Navarra;Eratsun;;W1.81;N43.11;12;
2;ESP;Navarra;Ergoiena;;W2.03;N42.91;12;
2;ESP;Navarra;Erro;;W1.42;N42.97;12;
2;ESP;Navarra;Eslava;;W1.47;N42.57;12;
2;ESP;Navarra;Esparza de Salazar/Espartza Zaraitzu;;W1.09;N42.86;12;
2;ESP;Navarra;Espronceda;;W2.30;N42.59;12;
2;ESP;Navarra;Estella/Lizarra;;W2.03;N42.66;12;
2;ESP;Navarra;Esteribar;;W1.53;N42.95;12;
2;ESP;Navarra;Etayo;;W2.18;N42.61;12;
2;ESP;Navarra;Etxalar;;W1.63;N43.24;12;
2;ESP;Navarra;Etxarri-Aranatz;;W2.08;N42.93;12;
2;ESP;Navarra;Etxauri;;W1.80;N42.80;12;
2;ESP;Navarra;Eulate;;W2.21;N42.77;12;
2;ESP;Navarra;Ezcabarte;;W1.64;N42.88;12;
2;ESP;Navarra;Ezcároz/Ezkaroze;;W1.06;N42.90;12;
2;ESP;Navarra;Ezkurra;;W1.84;N43.11;12;
2;ESP;Navarra;Ezprogui;;W1.44;N42.60;12;
2;ESP;Navarra;Falces;;W1.80;N42.42;12;
2;ESP;Navarra;Fitero;;W1.85;N42.04;12;
2;ESP;Navarra;Fontellas;;W1.57;N42.01;12;
2;ESP;Navarra;Funes;;W1.79;N42.29;12;
2;ESP;Navarra;Fustiñana;;W1.45;N42.02;12;
2;ESP;Navarra;Galar;;W1.67;N42.76;12;
2;ESP;Navarra;Gallipienzo;;W1.41;N42.50;12;
2;ESP;Navarra;Gallués/Galoze;;W1.10;N42.79;12;
2;ESP;Navarra;Garaioa;;W1.24;N42.92;12;
2;ESP;Navarra;Garde;;W0.923;N42.789;10;
2;ESP;Navarra;Garínoain;;W1.67;N42.60;12;
2;ESP;Navarra;Garralda;;W1.30;N42.96;12;
2;ESP;Navarra;Genevilla;;W2.39;N42.65;12;
2;ESP;Navarra;Goizueta;;W1.85;N43.19;10;
2;ESP;Navarra;Goñi;;W1.89;N42.83;12;
2;ESP;Navarra;Güesa/Gorza;;W1.07;N42.82;12;
2;ESP;Navarra;Guesálaz;;W1.91;N42.76;12;
2;ESP;Navarra;Guirguillano;;W1.86;N42.72;12;
2;ESP;Navarra;Hiriberri/Villanueva de Aezkoa;;W1.20;N42.95;12;
2;ESP;Navarra;Huarte/Uharte;;W1.59;N42.83;12;
2;ESP;Navarra;Ibargoiti;;W1.46;N42.67;12;
2;ESP;Navarra;Igantzi;;W1.69;N43.22;12;
2;ESP;Navarra;Igúzquiza;;W2.09;N42.64;12;
2;ESP;Navarra;Imotz;;W1.80;N42.96;12;
2;ESP;Navarra;Irañeta;;W1.93;N42.92;12;
2;ESP;Navarra;Irurtzun;;W1.83;N42.93;12;
2;ESP;Navarra;Isaba/Izaba;;W0.85;N42.90;12;
2;ESP;Navarra;Ituren;;W1.72;N43.13;12;
2;ESP;Navarra;Iturmendi;;W2.13;N42.91;12;
2;ESP;Navarra;Iza;;W1.77;N42.88;12;
2;ESP;Navarra;Izagaondoa;;W1.43;N42.74;12;
2;ESP;Navarra;Izalzu/Itzaltzu;;W1.03;N42.93;12;
2;ESP;Navarra;Jaurrieta;;W1.15;N42.91;12;
2;ESP;Navarra;Javier;;W1.26;N42.54;12;
2;ESP;Navarra;Juslapeña;;W1.70;N42.90;12;
2;ESP;Navarra;Lakuntza;;W2.01;N42.93;12;
