Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Ourense;Allariz;;W7.82;N42.20;12;
2;ESP;Ourense;Amoeiro;;W7.94;N42.40;12;
2;ESP;Ourense;A Arnoia;;W8.13;N42.25;12;
2;ESP;Ourense;Avión;;W8.26;N42.41;12;
2;ESP;Ourense;Baltar;;W7.73;N41.94;12;
2;ESP;Ourense;Bande;;W7.96;N42.00;12;
2;ESP;Ourense;Baños de Molgas;;W7.68;N42.23;12;
2;ESP;Ourense;Barbadás;;W7.90;N42.31;12;
2;ESP;Ourense;O Barco de Valdeorras;;W6.97;N42.43;12;
2;ESP;Ourense;Beade;;W8.13;N42.33;12;
2;ESP;Ourense;Beariz;;W8.27;N42.48;12;
2;ESP;Ourense;Os Blancos;;W7.77;N41.98;12;
2;ESP;Ourense;Boborás;;W8.18;N42.44;12;
2;ESP;Ourense;A Bola;;W7.91;N42.14;12;
2;ESP;Ourense;O Bolo;;W7.12;N42.30;12;
2;ESP;Ourense;Calvos de Randín;;W7.86;N41.94;12;
2;ESP;Ourense;Carballeda de Avia;;W8.18;N42.34;12;
2;ESP;Ourense;Carballeda de Valdeorras;;W6.86;N42.35;12;
2;ESP;Ourense;O Carballiño;;W8.08;N42.44;12;
2;ESP;Ourense;Cartelle;;W8.03;N42.23;12;
2;ESP;Ourense;Castrelo de Miño;;W8.06;N42.29;12;
2;ESP;Ourense;Castrelo do Val;;W7.36;N42.04;12;
2;ESP;Ourense;Castro Caldelas;;W7.41;N42.38;12;
2;ESP;Ourense;Celanova;;W7.97;N42.17;12;
2;ESP;Ourense;Cenlle;;W8.07;N42.34;12;
2;ESP;Ourense;Chandrexa de Queixa;;W7.37;N42.24;12;
2;ESP;Ourense;Coles;;W7.84;N42.41;12;
2;ESP;Ourense;Cortegada;;W8.15;N42.21;12;
2;ESP;Ourense;Cualedro;;W7.58;N41.98;12;
2;ESP;Ourense;Entrimo;;W8.13;N41.94;12;
2;ESP;Ourense;Esgos;;W7.71;N42.33;12;
2;ESP;Ourense;Gomesende;;W8.10;N42.21;12;
2;ESP;Ourense;A Gudiña;;W7.19;N42.03;12;
2;ESP;Ourense;O Irixo;;W8.17;N42.51;12;
2;ESP;Ourense;Larouco;;W7.16;N42.35;12;
2;ESP;Ourense;Laza;;W7.44;N42.10;12;
2;ESP;Ourense;Leiro;;W8.16;N42.37;12;
2;ESP;Ourense;Lobeira;;W8.03;N41.98;12;
2;ESP;Ourense;Lobios;;W8.09;N41.90;12;
2;ESP;Ourense;Maceda;;W7.60;N42.25;12;
2;ESP;Ourense;Manzaneda;;W7.20;N42.30;12;
2;ESP;Ourense;Maside;;W8.01;N42.42;12;
2;ESP;Ourense;Melón;;W8.22;N42.28;12;
2;ESP;Ourense;A Merca;;W7.89;N42.21;12;
2;ESP;Ourense;A Mezquita;;W7.02;N42.00;12;
2;ESP;Ourense;Montederramo;;W7.49;N42.28;12;
2;ESP;Ourense;Monterrei;;W7.52;N41.95;12;
2;ESP;Ourense;Muíños;;W7.97;N41.95;12;
2;ESP;Ourense;Nogueira de Ramuín;;W7.71;N42.40;12;
2;ESP;Ourense;Oímbra;;W7.53;N41.87;12;
2;ESP;Ourense;Ourense;;W7.90;N42.35;12;
2;ESP;Ourense;Paderne de Allariz;;W7.75;N42.27;12;
2;ESP;Ourense;Padrenda;;W8.15;N42.14;12;
2;ESP;Ourense;Parada de Sil;;W7.55;N42.36;12;
2;ESP;Ourense;O Pereiro de Aguiar;;W7.78;N42.36;12;
2;ESP;Ourense;A Peroxa;;W7.79;N42.46;12;
2;ESP;Ourense;Petín;;W7.11;N42.37;12;
2;ESP;Ourense;Piñor;;W8.00;N42.53;12;
2;ESP;Ourense;A Pobra de Trives;;W7.27;N42.32;12;
2;ESP;Ourense;Pontedeva;;W8.14;N42.17;12;
2;ESP;Ourense;Porqueira;;W7.85;N42.02;12;
2;ESP;Ourense;Punxín;;W8.01;N42.37;12;
