Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Pontevedra;Agolada;;W8.05;N42.79;12;
2;ESP;Pontevedra;Arbo;;W8.32;N42.13;12;
2;ESP;Pontevedra;Baiona;;W8.86;N42.11;12;
2;ESP;Pontevedra;Barro;;W8.65;N42.53;12;
2;ESP;Pontevedra;Bueu;;W8.88;N42.36;12;
2;ESP;Pontevedra;Caldas de Reis;;W8.65;N42.61;12;
2;ESP;Pontevedra;Cambados;;W8.81;N42.50;12;
2;ESP;Pontevedra;Campo Lameiro;;W8.53;N42.53;12;
2;ESP;Pontevedra;Cangas;;W8.83;N42.27;12;
2;ESP;Pontevedra;A Cañiza;;W8.29;N42.19;12;
2;ESP;Pontevedra;Catoira;;W8.72;N42.66;12;
2;ESP;Pontevedra;Cerdedo;;W8.39;N42.53;12;
2;ESP;Pontevedra;Cotobade;;W8.52;N42.47;12;
2;ESP;Pontevedra;Covelo;;W8.34;N42.27;12;
2;ESP;Pontevedra;Crecente;;W8.21;N42.19;12;
2;ESP;Pontevedra;Cuntis;;W8.56;N42.63;12;
2;ESP;Pontevedra;Dozón;;W8.04;N42.59;12;
2;ESP;Pontevedra;A Estrada;;W8.46;N42.71;12;
2;ESP;Pontevedra;Forcarei;;W8.33;N42.57;12;
2;ESP;Pontevedra;Fornelos de Montes;;W8.45;N42.34;12;
2;ESP;Pontevedra;Gondomar;;W8.76;N42.11;12;
2;ESP;Pontevedra;O Grove;;W8.89;N42.48;12;
2;ESP;Pontevedra;A Guarda;;W8.87;N41.90;12;
2;ESP;Pontevedra;A Illa de Arousa;;W8.88;N42.55;12;
2;ESP;Pontevedra;Lalín;;W8.12;N42.65;12;
2;ESP;Pontevedra;A Lama;;W8.42;N42.41;12;
2;ESP;Pontevedra;Marín;;W8.72;N42.38;12;
2;ESP;Pontevedra;Meaño;;W8.80;N42.46;12;
2;ESP;Pontevedra;Meis;;W8.72;N42.52;12;
2;ESP;Pontevedra;Moaña;;W8.71;N42.29;12;
2;ESP;Pontevedra;Mondariz;;W8.43;N42.24;12;
2;ESP;Pontevedra;Mondariz-Balneario;;W8.47;N42.23;12;
2;ESP;Pontevedra;Moraña;;W8.57;N42.58;12;
2;ESP;Pontevedra;Mos;;W8.60;N42.20;12;
2;ESP;Pontevedra;As Neves;;W8.40;N42.12;12;
2;ESP;Pontevedra;Nigrán;;W8.82;N42.15;12;
2;ESP;Pontevedra;Oia;;W8.87;N42.02;12;
2;ESP;Pontevedra;Pazos de Borbén;;W8.53;N42.28;12;
2;ESP;Pontevedra;Poio;;W8.70;N42.43;12;
2;ESP;Pontevedra;Ponte Caldelas;;W8.51;N42.38;12;
2;ESP;Pontevedra;Ponteareas;;W8.49;N42.18;12;
2;ESP;Pontevedra;Pontecesures;;W8.64;N42.72;12;
2;ESP;Pontevedra;Pontevedra;;W8.62;N42.42;12;
2;ESP;Pontevedra;O Porriño;;W8.64;N42.13;12;
2;ESP;Pontevedra;Portas;;W8.67;N42.57;12;
2;ESP;Pontevedra;Redondela;;W8.57;N42.27;12;
2;ESP;Pontevedra;Ribadumia;;W8.75;N42.52;12;
2;ESP;Pontevedra;Rodeiro;;W7.96;N42.66;12;
2;ESP;Pontevedra;O Rosal;;W8.84;N41.95;12;
2;ESP;Pontevedra;Salceda de Caselas;;W8.58;N42.10;12;
2;ESP;Pontevedra;Salvaterra de Miño;;W8.47;N42.13;12;
2;ESP;Pontevedra;Sanxenxo;;W8.83;N42.42;12;
2;ESP;Pontevedra;Silleda;;W8.26;N42.71;12;
2;ESP;Pontevedra;Soutomaior;;W8.57;N42.34;12;
2;ESP;Pontevedra;Tomiño;;W8.75;N41.99;12;
2;ESP;Pontevedra;Tui;;W8.64;N42.07;12;
2;ESP;Pontevedra;Valga;;W8.66;N42.70;12;
2;ESP;Pontevedra;Vigo;;W8.81;N42.22;12;
2;ESP;Pontevedra;Vila de Cruces;;W8.22;N42.80;12;
2;ESP;Pontevedra;Vilaboa;;W8.64;N42.33;12;
2;ESP;Pontevedra;Vilagarcía de Arousa;;W8.77;N42.60;12;
2;ESP;Pontevedra;Vilanova de Arousa;;W8.79;N42.56;12;
