Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Santa Cruz de Tenerife;Adeje;;W16.74;N28.13;12;
2;ESP;Santa Cruz de Tenerife;Agulo;;W17.22;N28.17;12;
2;ESP;Santa Cruz de Tenerife;Alajeró;;W17.25;N28.05;12;
2;ESP;Santa Cruz de Tenerife;Arafo;;W16.40;N28.35;12;
2;ESP;Santa Cruz de Tenerife;Arico;;W16.48;N28.17;12;
2;ESP;Santa Cruz de Tenerife;Arona;;W16.69;N28.04;12;
2;ESP;Santa Cruz de Tenerife;Barlovento;;W17.81;N28.82;12;
2;ESP;Santa Cruz de Tenerife;Breña Alta;;W17.80;N28.65;12;
2;ESP;Santa Cruz de Tenerife;Breña Baja;;W17.78;N28.63;12;
2;ESP;Santa Cruz de Tenerife;Buenavista del Norte;;W16.87;N28.34;12;
2;ESP;Santa Cruz de Tenerife;Candelaria;;W16.38;N28.36;12;
2;ESP;Santa Cruz de Tenerife;Fasnia;;W16.44;N28.23;12;
2;ESP;Santa Cruz de Tenerife;Frontera;;W18.05;N27.73;12;
2;ESP;Santa Cruz de Tenerife;Fuencaliente de la Palma;;W17.85;N28.49;12;
2;ESP;Santa Cruz de Tenerife;Garachico;;W16.76;N28.36;12;
2;ESP;Santa Cruz de Tenerife;Garafía;;W17.92;N28.82;12;
2;ESP;Santa Cruz de Tenerife;Granadilla de Abona;;W16.56;N28.10;12;
2;ESP;Santa Cruz de Tenerife;La Guancha;;W16.66;N28.38;12;
2;ESP;Santa Cruz de Tenerife;Guía de Isora;;W16.80;N28.19;12;
2;ESP;Santa Cruz de Tenerife;Güímar;;W16.41;N28.27;12;
2;ESP;Santa Cruz de Tenerife;Hermigua;;W17.18;N28.15;12;
2;ESP;Santa Cruz de Tenerife;Icod de los Vinos;;W16.70;N28.37;12;
2;ESP;Santa Cruz de Tenerife;Los Llanos de Aridane;;W17.90;N28.61;12;
2;ESP;Santa Cruz de Tenerife;La Matanza de Acentejo;;W16.45;N28.45;12;
2;ESP;Santa Cruz de Tenerife;La Orotava;;W16.55;N28.32;12;
2;ESP;Santa Cruz de Tenerife;El Paso;;W17.87;N28.66;12;
2;ESP;Santa Cruz de Tenerife;El Pinar de El Hierro;;;;12;
2;ESP;Santa Cruz de Tenerife;Puerto de la Cruz;;W16.55;N28.41;12;
2;ESP;Santa Cruz de Tenerife;Puntagorda;;W17.96;N28.76;12;
2;ESP;Santa Cruz de Tenerife;Puntallana;;W17.76;N28.74;12;
2;ESP;Santa Cruz de Tenerife;Los Realejos;;W16.59;N28.38;12;
2;ESP;Santa Cruz de Tenerife;El Rosario;;W16.37;N28.45;12;
2;ESP;Santa Cruz de Tenerife;San Andrés y Sauces;;W17.78;N28.78;12;
2;ESP;Santa Cruz de Tenerife;San Cristóbal de La Laguna;;W16.32;N28.48;12;
2;ESP;Santa Cruz de Tenerife;San Juan de la Rambla;;W16.63;N28.37;12;
2;ESP;Santa Cruz de Tenerife;San Miguel de Abona;;W16.62;N28.10;12;
2;ESP;Santa Cruz de Tenerife;San Sebastián de la Gomera;;W17.15;N28.09;12;
2;ESP;Santa Cruz de Tenerife;Santa Cruz de la Palma;;W17.79;N28.71;12;
2;ESP;Santa Cruz de Tenerife;Santa Cruz de Tenerife;;W16.20;N28.54;12;
2;ESP;Santa Cruz de Tenerife;Santa Úrsula;;W16.48;N28.42;12;
2;ESP;Santa Cruz de Tenerife;Santiago del Teide;;W16.82;N28.26;12;
2;ESP;Santa Cruz de Tenerife;El Sauzal;;W16.43;N28.46;12;
2;ESP;Santa Cruz de Tenerife;Los Silos;;W16.81;N28.36;12;
2;ESP;Santa Cruz de Tenerife;Tacoronte;;W16.41;N28.49;12;
2;ESP;Santa Cruz de Tenerife;El Tanque;;W16.78;N28.34;12;
2;ESP;Santa Cruz de Tenerife;Tazacorte;;W17.93;N28.63;12;
2;ESP;Santa Cruz de Tenerife;Tegueste;;W16.34;N28.52;12;
2;ESP;Santa Cruz de Tenerife;Tijarafe;;W17.96;N28.71;12;
2;ESP;Santa Cruz de Tenerife;Valle Gran Rey;;W17.32;N28.12;12;
2;ESP;Santa Cruz de Tenerife;Vallehermoso;;W17.29;N28.15;12;
2;ESP;Santa Cruz de Tenerife;Valverde;;W17.93;N27.80;12;
2;ESP;Santa Cruz de Tenerife;La Victoria de Acentejo;;W16.46;N28.42;12;
2;ESP;Santa Cruz de Tenerife;Vilaflor;;W16.64;N28.16;12;
2;ESP;Santa Cruz de Tenerife;Villa de Mazo;;W17.78;N28.59;12;
