Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Segovia;Abades;;W4.27;N40.91;12;
2;ESP;Segovia;Adrada de Pirón;;W4.05;N41.06;12;
2;ESP;Segovia;Adrados;;W4.11;N41.37;12;
2;ESP;Segovia;Aguilafuente;;W4.09;N41.25;12;
2;ESP;Segovia;Alconada de Maderuelo;;W3.49;N41.45;12;
2;ESP;Segovia;Aldea Real;;W4.18;N41.18;12;
2;ESP;Segovia;Aldealcorvo;;W3.79;N41.26;12;
2;ESP;Segovia;Aldealengua de Pedraza;;W3.81;N41.05;12;
2;ESP;Segovia;Aldealengua de Santa María;;W3.46;N41.47;12;
2;ESP;Segovia;Aldeanueva de la Serrezuela;;W3.77;N41.46;12;
2;ESP;Segovia;Aldeanueva del Codonal;;W4.52;N41.09;12;
2;ESP;Segovia;Aldeasoña;;W4.06;N41.48;12;
2;ESP;Segovia;Aldehorno;;W3.78;N41.52;12;
2;ESP;Segovia;Aldehuela del Codonal;;W4.53;N41.05;12;
2;ESP;Segovia;Aldeonte;;W3.69;N41.34;12;
2;ESP;Segovia;Anaya;;W4.31;N40.99;12;
2;ESP;Segovia;Añe;;W4.29;N41.04;12;
2;ESP;Segovia;Arahuetes;;W3.86;N41.15;12;
2;ESP;Segovia;Arcones;;W3.71;N41.11;12;
2;ESP;Segovia;Arevalillo de Cega;;W3.89;N41.17;12;
2;ESP;Segovia;Armuña;;W4.29;N41.07;12;
2;ESP;Segovia;Ayllón;;W3.34;N41.36;12;
2;ESP;Segovia;Barbolla;;W3.66;N41.31;12;
2;ESP;Segovia;Basardilla;;W3.97;N41.00;12;
2;ESP;Segovia;Bercial;;W4.43;N40.89;12;
2;ESP;Segovia;Bercimuel;;W3.56;N41.40;12;
2;ESP;Segovia;Bernardos;;W4.33;N41.13;12;
2;ESP;Segovia;Bernuy de Porreros;;W4.11;N41.00;12;
2;ESP;Segovia;Boceguillas;;W3.60;N41.32;12;
2;ESP;Segovia;Brieva;;W4.04;N41.04;12;
2;ESP;Segovia;Caballar;;W3.96;N41.13;12;
2;ESP;Segovia;Cabañas de Polendos;;W4.10;N41.05;12;
2;ESP;Segovia;Cabezuela;;W3.98;N41.23;12;
2;ESP;Segovia;Calabazas de Fuentidueña;;W4.01;N41.45;12;
2;ESP;Segovia;Campo de San Pedro;;W3.55;N41.46;12;
2;ESP;Segovia;Cantalejo;;W3.92;N41.26;12;
2;ESP;Segovia;Cantimpalos;;W4.161;N41.074;10;
2;ESP;Segovia;Carbonero el Mayor;;W4.29;N41.15;12;
2;ESP;Segovia;Carrascal del Río;;W3.88;N41.35;12;
2;ESP;Segovia;Casla;;W3.65;N41.16;12;
2;ESP;Segovia;Castillejo de Mesleón;;W3.59;N41.28;12;
2;ESP;Segovia;Castro de Fuentidueña;;W3.86;N41.42;12;
2;ESP;Segovia;Castrojimeno;;W3.84;N41.41;12;
2;ESP;Segovia;Castroserna de Abajo;;W3.73;N41.21;12;
2;ESP;Segovia;Castroserracín;;W3.80;N41.41;12;
2;ESP;Segovia;Cedillo de la Torre;;W3.63;N41.43;12;
2;ESP;Segovia;Cerezo de Abajo;;W3.58;N41.22;12;
2;ESP;Segovia;Cerezo de Arriba;;W3.52;N41.22;12;
2;ESP;Segovia;Chañe;;W4.43;N41.35;12;
2;ESP;Segovia;Cilleruelo de San Mamés;;W3.59;N41.44;12;
2;ESP;Segovia;Cobos de Fuentidueña;;W3.92;N41.39;12;
2;ESP;Segovia;Coca;;W4.53;N41.22;12;
2;ESP;Segovia;Codorniz;;W4.61;N41.06;12;
2;ESP;Segovia;Collado Hermoso;;W3.91;N41.02;12;
2;ESP;Segovia;Condado de Castilnovo;;W3.75;N41.25;12;
2;ESP;Segovia;Corral de Ayllón;;W3.45;N41.39;12;
2;ESP;Segovia;Cozuelos de Fuentidueña;;W4.08;N41.40;12;
2;ESP;Segovia;Cubillo;;W3.92;N41.11;12;
2;ESP;Segovia;Cuéllar;;W4.31;N41.37;12;
2;ESP;Segovia;Cuevas de Provanco;;W3.94;N41.54;12;
2;ESP;Segovia;Domingo García;;W4.39;N41.12;12;
2;ESP;Segovia;Donhierro;;W4.70;N41.11;12;
2;ESP;Segovia;Duruelo;;W3.64;N41.22;12;
2;ESP;Segovia;Encinas;;W3.68;N41.40;12;
