Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Tarragona;Aiguamúrcia;;E1.42;N41.37;12;
2;ESP;Tarragona;Albinyana;;E1.50;N41.24;12;
2;ESP;Tarragona;L'Albiol;;E1.12;N41.25;12;
2;ESP;Tarragona;Alcanar;;E0.48;N40.54;12;
2;ESP;Tarragona;Alcover;;E1.17;N41.27;12;
2;ESP;Tarragona;L'Aldea;;E0.61;N40.76;12;
2;ESP;Tarragona;Aldover;;E0.47;N40.87;12;
2;ESP;Tarragona;L'Aleixar;;E1.07;N41.21;12;
2;ESP;Tarragona;Alfara de Carles;;E0.33;N40.83;12;
2;ESP;Tarragona;Alforja;;E0.95;N41.21;12;
2;ESP;Tarragona;Alió;;E1.31;N41.30;12;
2;ESP;Tarragona;Almoster;;E1.10;N41.20;12;
2;ESP;Tarragona;Altafulla;;E1.38;N41.15;12;
2;ESP;Tarragona;L'Ametlla de Mar;;E0.79;N40.90;12;
2;ESP;Tarragona;L'Ampolla;;E0.69;N40.83;12;
2;ESP;Tarragona;Amposta;;E0.58;N40.71;12;
2;ESP;Tarragona;L'Arboç;;E1.61;N41.28;12;
2;ESP;Tarragona;Arbolí;;E0.96;N41.24;12;
2;ESP;Tarragona;L'Argentera;;E0.90;N41.13;12;
2;ESP;Tarragona;Arnes;;E0.26;N40.91;12;
2;ESP;Tarragona;Ascó;;E0.55;N41.16;12;
2;ESP;Tarragona;Banyeres del Penedès;;E1.56;N41.27;12;
2;ESP;Tarragona;Barberà de la Conca;;E1.22;N41.42;12;
2;ESP;Tarragona;Batea;;E0.30;N41.11;12;
2;ESP;Tarragona;Bellmunt del Priorat;;E0.76;N41.16;12;
2;ESP;Tarragona;Bellvei;;E1.57;N41.24;12;
2;ESP;Tarragona;Benifallet;;E0.52;N40.97;12;
2;ESP;Tarragona;Benissanet;;E0.58;N41.07;12;
2;ESP;Tarragona;La Bisbal de Falset;;E0.72;N41.28;12;
2;ESP;Tarragona;La Bisbal del Penedès;;E1.48;N41.28;12;
2;ESP;Tarragona;Blancafort;;E1.16;N41.44;12;
2;ESP;Tarragona;Bonastre;;E1.44;N41.22;12;
2;ESP;Tarragona;Les Borges del Camp;;E1.02;N41.18;12;
2;ESP;Tarragona;Bot;;E0.37;N41.02;12;
2;ESP;Tarragona;Botarell;;E1.01;N41.15;12;
2;ESP;Tarragona;Bràfim;;E1.34;N41.28;12;
2;ESP;Tarragona;Cabacés;;E0.73;N41.25;12;
2;ESP;Tarragona;Cabra del Camp;;E1.31;N41.40;12;
2;ESP;Tarragona;Calafell;;E1.57;N41.20;12;
2;ESP;Tarragona;Camarles;;E0.64;N40.79;12;
2;ESP;Tarragona;Cambrils;;E1.05;N41.08;12;
2;ESP;Tarragona;Capafonts;;E1.03;N41.30;12;
2;ESP;Tarragona;Capçanes;;E0.81;N41.10;12;
2;ESP;Tarragona;Caseres;;E0.28;N41.04;12;
2;ESP;Tarragona;Castellvell del Camp;;E1.09;N41.19;12;
2;ESP;Tarragona;El Catllar;;E1.31;N41.18;12;
2;ESP;Tarragona;Colldejou;;E0.88;N41.10;12;
2;ESP;Tarragona;Conesa;;E1.28;N41.52;12;
2;ESP;Tarragona;Constantí;;E1.21;N41.15;12;
2;ESP;Tarragona;Corbera d'Ebre;;E0.47;N41.11;12;
2;ESP;Tarragona;Cornudella de Montsant;;E0.93;N41.26;12;
2;ESP;Tarragona;Creixell;;E1.43;N41.18;12;
2;ESP;Tarragona;Cunit;;E1.63;N41.20;12;
2;ESP;Tarragona;Deltebre;;E0.79;N40.75;12;
2;ESP;Tarragona;Duesaigües;;E0.93;N41.16;12;
2;ESP;Tarragona;L'Espluga de Francolí;;E1.10;N41.42;12;
2;ESP;Tarragona;Falset;;E0.82;N41.17;12;
2;ESP;Tarragona;La Fatarella;;E0.49;N41.16;12;
2;ESP;Tarragona;La Febró;;E1.00;N41.27;12;
2;ESP;Tarragona;La Figuera;;E0.71;N41.21;12;
2;ESP;Tarragona;Figuerola del Camp;;E1.26;N41.36;12;
2;ESP;Tarragona;Flix;;E0.62;N41.28;12;
2;ESP;Tarragona;Forès;;E1.24;N41.50;12;
2;ESP;Tarragona;Freginals;;E0.52;N40.65;12;
2;ESP;Tarragona;La Galera;;E0.45;N40.70;12;
2;ESP;Tarragona;Gandesa;;E0.43;N41.05;12;
2;ESP;Tarragona;Garcia;;E0.65;N41.14;12;
2;ESP;Tarragona;Els Garidells;;E1.24;N41.21;12;
2;ESP;Tarragona;Ginestar;;E0.63;N41.03;12;
2;ESP;Tarragona;Godall;;E0.46;N40.67;12;
2;ESP;Tarragona;Gratallops;;E0.77;N41.19;12;
2;ESP;Tarragona;Els Guiamets;;E0.75;N41.11;12;
2;ESP;Tarragona;Horta de Sant Joan;;E0.32;N40.94;12;
2;ESP;Tarragona;El Lloar;;E0.74;N41.19;12;
2;ESP;Tarragona;Llorac;;E1.33;N41.56;12;
2;ESP;Tarragona;Llorenç del Penedès;;E1.54;N41.29;12;
2;ESP;Tarragona;Marçà;;E0.81;N41.12;12;
2;ESP;Tarragona;Margalef;;E0.78;N41.30;12;
2;ESP;Tarragona;Mas de Barberans;;E0.36;N40.72;12;
2;ESP;Tarragona;Masdenverge;;E0.53;N40.72;12;
2;ESP;Tarragona;Masllorenç;;E1.44;N41.27;12;
2;ESP;Tarragona;La Masó;;E1.22;N41.24;12;
2;ESP;Tarragona;Maspujols;;E1.03;N41.19;12;
2;ESP;Tarragona;El Masroig;;E0.73;N41.13;12;
2;ESP;Tarragona;El Milà;;E1.21;N41.25;12;
2;ESP;Tarragona;Miravet;;E0.58;N41.04;12;
2;ESP;Tarragona;El Molar;;E0.71;N41.17;12;
2;ESP;Tarragona;Montblanc;;E1.14;N41.35;12;
2;ESP;Tarragona;Montbrió del Camp;;E0.99;N41.12;12;
2;ESP;Tarragona;Montferri;;E1.38;N41.26;12;
2;ESP;Tarragona;El Montmell;;E1.50;N41.34;12;
2;ESP;Tarragona;Mont-ral;;E1.11;N41.30;12;
2;ESP;Tarragona;Mont-roig del Camp;;E0.96;N41.05;12;
2;ESP;Tarragona;Móra d'Ebre;;E0.60;N41.10;12;
2;ESP;Tarragona;Móra la Nova;;E0.66;N41.10;12;
2;ESP;Tarragona;El Morell;;E1.21;N41.20;12;
2;ESP;Tarragona;La Morera de Montsant;;E0.84;N41.26;12;
2;ESP;Tarragona;La Nou de Gaià;;E1.38;N41.19;12;
2;ESP;Tarragona;Nulles;;E1.29;N41.25;12;
2;ESP;Tarragona;Els Pallaresos;;E1.26;N41.17;12;
2;ESP;Tarragona;La Palma d'Ebre;;E0.67;N41.27;12;
