Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Teruel;Ababuj;;W0.83;N40.55;12;
2;ESP;Teruel;Abejuela;;W0.87;N39.91;12;
2;ESP;Teruel;Aguatón;;W1.22;N40.67;12;
2;ESP;Teruel;Aguaviva;;W0.20;N40.82;12;
2;ESP;Teruel;Aguilar del Alfambra;;W0.81;N40.59;12;
2;ESP;Teruel;Alacón;;W0.71;N41.05;12;
2;ESP;Teruel;Alba;;W1.36;N40.62;12;
2;ESP;Teruel;Albalate del Arzobispo;;W0.58;N41.11;12;
2;ESP;Teruel;Albarracín;;W1.54;N40.36;12;
2;ESP;Teruel;Albentosa;;W0.73;N40.09;12;
2;ESP;Teruel;Alcaine;;W0.71;N40.95;12;
2;ESP;Teruel;Alcalá de la Selva;;W0.70;N40.36;12;
2;ESP;Teruel;Alcañiz;;W0.19;N41.05;12;
2;ESP;Teruel;Alcorisa;;W0.35;N40.93;12;
2;ESP;Teruel;Alfambra;;W1.03;N40.53;12;
2;ESP;Teruel;Aliaga;;W0.68;N40.68;12;
2;ESP;Teruel;Allepuz;;W0.68;N40.47;12;
2;ESP;Teruel;Alloza;;W0.55;N40.97;12;
2;ESP;Teruel;Allueva;;W1.04;N40.98;12;
2;ESP;Teruel;Almohaja;;W1.43;N40.60;12;
2;ESP;Teruel;Alobras;;W1.38;N40.19;12;
2;ESP;Teruel;Alpeñés;;W1.08;N40.81;12;
2;ESP;Teruel;Anadón;;W0.97;N40.99;12;
2;ESP;Teruel;Andorra;;W0.41;N41.02;12;
2;ESP;Teruel;Arcos de las Salinas;;W1.06;N40.01;12;
2;ESP;Teruel;Arens de Lledó;;E0.27;N40.99;12;
2;ESP;Teruel;Argente;;W1.18;N40.69;12;
2;ESP;Teruel;Ariño;;W0.60;N41.05;12;
2;ESP;Teruel;Azaila;;W0.52;N41.33;12;
2;ESP;Teruel;Bádenas;;W1.12;N41.09;12;
2;ESP;Teruel;Báguena;;W1.35;N41.03;12;
2;ESP;Teruel;Bañón;;W1.21;N40.83;12;
2;ESP;Teruel;Barrachina;;W1.14;N40.89;12;
2;ESP;Teruel;Bea;;W1.14;N41.02;12;
2;ESP;Teruel;Beceite;;E0.18;N40.83;12;
2;ESP;Teruel;Bello;;W1.51;N40.92;12;
2;ESP;Teruel;Belmonte de San José;;W0.07;N40.87;12;
2;ESP;Teruel;Berge;;W0.41;N40.85;12;
2;ESP;Teruel;Bezas;;W1.33;N40.33;12;
