Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Valencia;Ademuz;;W1.22;N40.08;12;
2;ESP;Valencia;Ador;;W0.25;N38.93;12;
2;ESP;Valencia;Agullent;;W0.55;N38.84;12;
2;ESP;Valencia;Aielo de Malferit;;W0.60;N38.89;12;
2;ESP;Valencia;Aielo de Rugat;;W0.34;N38.88;12;
2;ESP;Valencia;Alaquàs;;W0.46;N39.46;12;
2;ESP;Valencia;Albaida;;W0.53;N38.85;12;
2;ESP;Valencia;Albal;;W0.41;N39.39;12;
2;ESP;Valencia;Albalat de la Ribera;;W0.37;N39.22;12;
2;ESP;Valencia;Albalat dels Sorells;;W0.34;N39.55;12;
2;ESP;Valencia;Albalat dels Tarongers;;W0.36;N39.68;12;
2;ESP;Valencia;Alberic;;W0.52;N39.12;12;
2;ESP;Valencia;Alborache;;W0.76;N39.38;12;
2;ESP;Valencia;Alboraya;;W0.34;N39.50;12;
2;ESP;Valencia;Albuixech;;W0.32;N39.54;12;
2;ESP;Valencia;Alcàntera de Xúquer;;W0.56;N39.07;12;
2;ESP;Valencia;Alcàsser;;W0.45;N39.38;12;
2;ESP;Valencia;Alcublas;;W0.69;N39.81;12;
2;ESP;Valencia;l'Alcúdia;;W0.51;N39.18;12;
2;ESP;Valencia;l'Alcúdia de Crespins;;W0.60;N38.97;12;
2;ESP;Valencia;Aldaia;;W0.46;N39.46;12;
2;ESP;Valencia;Alfafar;;W0.37;N39.41;12;
2;ESP;Valencia;Alfara de Algimia;;W0.35;N39.77;12;
2;ESP;Valencia;Alfara del Patriarca;;W0.38;N39.54;12;
2;ESP;Valencia;Alfarp;;W0.53;N39.28;12;
2;ESP;Valencia;Alfarrasí;;W0.50;N38.91;12;
2;ESP;Valencia;Alfauir;;W0.24;N38.93;12;
2;ESP;Valencia;Algar de Palancia;;W0.37;N39.78;12;
2;ESP;Valencia;Algemesí;;W0.42;N39.21;12;
2;ESP;Valencia;Algimia de Alfara;;W0.39;N39.74;12;
2;ESP;Valencia;Alginet;;W0.47;N39.26;12;
2;ESP;Valencia;Almàssera;;W0.35;N39.52;12;
2;ESP;Valencia;Almiserà;;W0.28;N38.92;12;
2;ESP;Valencia;Almoines;;W0.18;N38.95;12;
2;ESP;Valencia;Almussafes;;W0.41;N39.30;12;
2;ESP;Valencia;Alpuente;;W1.03;N39.92;12;
2;ESP;Valencia;l'Alqueria de la Comtessa;;W0.15;N38.94;12;
2;ESP;Valencia;Alzira;;W0.51;N39.14;12;
2;ESP;Valencia;Andilla;;W0.79;N39.83;12;
2;ESP;Valencia;Anna;;W0.64;N39.01;12;
2;ESP;Valencia;Antella;;W0.60;N39.09;12;
2;ESP;Valencia;Aras de los Olmos;;W1.16;N39.94;12;
