Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Vizcaya;Abadiño;;W2.62;N43.13;12;
2;ESP;Vizcaya;Abanto y Ciérvana-Abanto Zierbena;;W3.09;N43.35;12;
2;ESP;Vizcaya;Ajangiz;;W2.67;N43.30;12;
2;ESP;Vizcaya;Alonsotegi;;W2.98;N43.23;12;
2;ESP;Vizcaya;Amorebieta-Etxano;;W2.71;N43.22;12;
2;ESP;Vizcaya;Amoroto;;W2.50;N43.32;12;
2;ESP;Vizcaya;Arakaldo;;W2.93;N43.15;12;
2;ESP;Vizcaya;Arantzazu;;W2.78;N43.15;12;
2;ESP;Vizcaya;Areatza;;W2.78;N43.11;12;
2;ESP;Vizcaya;Arrankudiaga;;W2.92;N43.17;12;
2;ESP;Vizcaya;Arratzu;;W2.64;N43.31;12;
2;ESP;Vizcaya;Arrieta;;W2.76;N43.35;12;
2;ESP;Vizcaya;Arrigorriaga;;W2.887;N43.209;10;
2;ESP;Vizcaya;Artea;;W2.79;N43.13;12;
2;ESP;Vizcaya;Artzentales;;W3.24;N43.23;12;
2;ESP;Vizcaya;Atxondo;;W2.58;N43.11;12;
2;ESP;Vizcaya;Aulesti;;W2.48;N43.30;12;
2;ESP;Vizcaya;Bakio;;W2.81;N43.43;12;
2;ESP;Vizcaya;Balmaseda;;W3.21;N43.19;10;
2;ESP;Vizcaya;Barakaldo;;W2.99;N43.30;12;
2;ESP;Vizcaya;Barrika;;W2.96;N43.41;12;
2;ESP;Vizcaya;Basauri;;W2.88;N43.22;12;
2;ESP;Vizcaya;Bedia;;W2.82;N43.20;12;
2;ESP;Vizcaya;Berango;;W2.97;N43.36;12;
2;ESP;Vizcaya;Bermeo;;W2.72;N43.42;10;
2;ESP;Vizcaya;Berriatua;;W2.46;N43.32;12;
2;ESP;Vizcaya;Berriz;;W2.59;N43.19;12;
2;ESP;Vizcaya;Bilbao;;W2.93;N43.26;10;
